,rank,bib,rider,age,team,uci,point,time,stage,year
106,106,194,TOUZÉ Damien,22,"Cofidis, Solutions Crédits",,5,6:29:03,None,2019
107,107,162,CURVERS Roy,39,Team Sunweb,,5,6:29:03,None,2019
108,108,97,CORT Magnus,26,Astana Pro Team,,5,6:29:03,None,2019
109,109,223,DECLERCQ Benjamin,25,Sport Vlaanderen - Baloise,,5,6:29:03,None,2019
110,110,213,STEELS Stijn,29,Roompot - Charles,,5,6:29:03,None,2019
111,111,195,VAN LERBERGHE Bert,26,"Cofidis, Solutions Crédits",,5,6:29:03,None,2019
112,112,166,PEDERSEN Casper,23,Team Sunweb,,5,6:29:03,None,2019
113,113,25,DECLERCQ Tim,30,Deceuninck - Quick Step,,5,6:29:03,None,2019
114,114,117,SINKELDAM Ramon,30,Groupama - FDJ,,5,6:29:03,None,2019
115,115,44,SAGAN Juraj,30,BORA - hansgrohe,,5,6:29:03,None,2019
116,116,227,WARLOP Jordi,22,Sport Vlaanderen - Baloise,,5,6:29:03,None,2019
117,117,123,EISEL Bernhard,38,Team Dimension Data,,5,6:29:03,None,2019
118,118,225,PLANCKAERT Edward,24,Sport Vlaanderen - Baloise,,5,6:29:03,None,2019
119,119,63,VAN HOECKE Gijs,27,CCC Team,,5,6:29:03,None,2019
120,120,173,KIRSCH Alex,26,Trek - Segafredo,,5,6:29:03,None,2019
121,121,184,LAENGEN Vegard Stake,30,UAE-Team Emirates,,5,6:29:03,None,2019
122,122,52,DENZ Nico,25,AG2R La Mondiale,,5,6:29:03,None,2019
123,123,13,MAS Lluís,29,Movistar Team,,5,6:29:03,None,2019
124,124,47,BODNAR Maciej,34,BORA - hansgrohe,,5,6:29:03,None,2019
125,125,122,BAK Lars Ytting,39,Team Dimension Data,,5,6:29:38,None,2019
