,rank,bib,rider,age,team,uci,point,time,stage,year
1,1,11,SAGAN Peter,26,Tinkoff,500,275,6:10:37,None,2016
2,2,41,CANCELLARA Fabian,35,Trek - Segafredo,400,200,6:11:02,None,2016
3,3,61,VANMARCKE Sep,27,Team LottoNL-Jumbo,325,150,6:11:05,None,2016
4,4,1,KRISTOFF Alexander,28,Team Katusha ,275,120,6:11:26,None,2016
5,5,75,ROWE Luke,26,Team Sky,225,100,6:11:26,None,2016
6,6,118,VAN BAARLE Dylan,23,Cannondale Pro Cycling Team,175,90,6:11:26,None,2016
7,7,156,ERVITI Imanol,32,Movistar Team,150,80,6:11:26,None,2016
8,8,24,ŠTYBAR Zdeněk,30,Etixx - Quick Step,125,70,6:11:26,None,2016
9,9,194,CLAEYS Dimitri,28,Wanty - Groupe Gobert,100,60,6:11:26,None,2016
10,10,25,TERPSTRA Niki,31,Etixx - Quick Step,85,50,6:11:26,None,2016
11,11,101,BOOM Lars,30,Astana Pro Team,70,46,6:11:26,None,2016
12,12,77,THOMAS Geraint,29,Team Sky,60,42,6:11:26,None,2016
13,13,27,VANDENBERGH Stijn,31,Etixx - Quick Step,50,38,6:11:33,None,2016
14,14,105,LUTSENKO Alexey,23,Astana Pro Team,40,34,6:11:37,None,2016
15,15,21,BOONEN Tom,35,Etixx - Quick Step,35,30,6:11:37,None,2016
16,16,54,OSS Daniel,29,BMC Racing Team,30,28,6:11:39,None,2016
17,17,31,ROELANDTS Jürgen,30,Lotto Soudal,30,26,6:11:53,None,2016
18,18,102,DE VREESE Laurens,27,Astana Pro Team,30,24,6:11:53,None,2016
19,19,52,DRUCKER Jempy,29,BMC Racing Team,30,22,6:11:53,None,2016
20,20,208,THWAITES Scott,26,Bora - Argon 18,30,20,6:11:53,None,2016
21,21,166,KEUKELEIRE Jens,27,Orica GreenEDGE,20,19,6:11:53,None,2016
22,22,137,NAESEN Oliver,25,IAM Cycling,20,18,6:11:53,None,2016
23,23,81,BOASSON HAGEN Edvald,28,Team Dimension Data,20,17,6:11:53,None,2016
24,24,191,MARCATO Marco,32,Wanty - Groupe Gobert,20,16,6:11:53,None,2016
25,25,103,FUGLSANG Jakob,31,Astana Pro Team,20,15,6:11:53,None,2016
26,26,15,GATTO Oscar,31,Tinkoff,20,14,6:12:22,None,2016
27,27,71,KWIATKOWSKI Michał,25,Team Sky,20,13,6:12:34,None,2016
28,28,32,GREIPEL André,33,Lotto Soudal,20,12,6:12:38,None,2016
29,29,8,MØRKØV Michael,30,Team Katusha ,20,11,6:12:38,None,2016
30,30,186,VAN HOECKE Gijs,24,Topsport Vlaanderen - Baloise,20,10,6:12:40,None,2016
31,31,93,GAUDIN Damien,29,AG2R La Mondiale,10,9,6:12:40,None,2016
32,32,76,STANNARD Ian,28,Team Sky,10,8,6:12:46,None,2016
33,33,221,CHAVANEL Sylvain,36,Direct Energie,10,7,6:16:12,None,2016
34,34,26,TRENTIN Matteo,26,Etixx - Quick Step,10,6,6:16:12,None,2016
35,35,154,LOBATO Juan José,27,Movistar Team,10,5,6:17:56,None,2016
36,36,165,MEZGEC Luka,27,Orica GreenEDGE,10,5,6:17:56,None,2016
37,37,196,DEVRIENDT Tom,24,Wanty - Groupe Gobert,10,5,6:17:56,None,2016
38,38,47,THEUNS Edward,24,Trek - Segafredo,10,5,6:17:56,None,2016
39,39,65,VAN ASBROECK Tom,25,Team LottoNL-Jumbo,10,5,6:17:56,None,2016
40,40,35,BAK Lars Ytting,36,Lotto Soudal,10,5,6:17:56,None,2016
41,41,38,DE BUYST Jasper,22,Lotto Soudal,10,5,6:17:56,None,2016
42,42,135,KLUGE Roger,30,IAM Cycling,10,5,6:17:56,None,2016
43,43,37,SIEBERG Marcel,33,Lotto Soudal,10,5,6:17:56,None,2016
44,44,122,DELAGE Mickaël,30,FDJ,10,5,6:17:56,None,2016
45,45,17,SAGAN Juraj,27,Tinkoff,10,5,6:17:56,None,2016
46,46,227,PETIT Adrien,25,Direct Energie,10,5,6:17:56,None,2016
47,47,237,VAN GINNEKEN Sjoerd,23,Roompot - Oranje Peloton,10,5,6:17:56,None,2016
48,48,66,ROOSEN Timo,23,Team LottoNL-Jumbo,10,5,6:17:56,None,2016
49,49,192,BACKAERT Frederik,26,Wanty - Groupe Gobert,10,5,6:17:56,None,2016
50,50,157,SÜTTERLIN Jasha,23,Movistar Team,10,5,6:17:56,None,2016
51,51,184,STEELS Stijn,26,Topsport Vlaanderen - Baloise,5,5,6:17:56,None,2016
52,52,224,DUCHESNE Antoine,24,Direct Energie,5,5,6:17:56,None,2016
53,53,167,CORT Magnus,23,Orica GreenEDGE,5,5,6:17:56,None,2016
54,54,106,SMUKULIS Gatis,28,Astana Pro Team,5,5,6:17:56,None,2016
55,55,117,SKUJIŅŠ Toms,24,Cannondale Pro Cycling Team,5,5,6:17:56,None,2016
56,56,63,TEUNISSEN Mike,23,Team LottoNL-Jumbo,3,5,6:17:56,None,2016
57,57,97,SERGENT Jesse,27,AG2R La Mondiale,3,5,6:17:56,None,2016
58,58,203,DEMPSTER Zak,28,Bora - Argon 18,3,5,6:17:56,None,2016
59,59,232,DE VRIES Berden,27,Roompot - Oranje Peloton,3,5,6:17:56,None,2016
60,60,53,KÜNG Stefan,22,BMC Racing Team,3,5,6:17:56,None,2016
61,61,55,PHINNEY Taylor,25,BMC Racing Team,,5,6:17:56,None,2016
62,62,182,DECLERCQ Tim,27,Topsport Vlaanderen - Baloise,,5,6:17:56,None,2016
63,63,34,LIGTHART Pim,27,Lotto Soudal,,5,6:17:56,None,2016
64,64,151,AMADOR Andrey,29,Movistar Team,,5,6:17:56,None,2016
65,65,173,CURVERS Roy,36,Team Giant - Alpecin,,5,6:17:56,None,2016
66,66,228,PICHOT Alexandre,33,Direct Energie,,5,6:17:56,None,2016
67,67,174,DE BACKER Bert,32,Team Giant - Alpecin,,5,6:17:56,None,2016
68,68,134,HOLLENSTEIN Reto,30,IAM Cycling,,5,6:17:56,None,2016
69,69,213,MARYCZ Jarosław,28,CCC Sprandi Polkowice ,,5,6:17:56,None,2016
70,70,136,LAENGEN Vegard Stake,27,IAM Cycling,,5,6:17:56,None,2016
71,71,163,DURBRIDGE Luke,24,Orica GreenEDGE,,5,6:17:56,None,2016
72,72,72,KNEES Christian,35,Team Sky,,5,6:17:56,None,2016
73,73,207,SCHILLINGER Andreas,32,Bora - Argon 18,,5,6:17:56,None,2016
74,74,181,VAN HECKE Preben,33,Topsport Vlaanderen - Baloise,,5,6:17:56,None,2016
75,75,241,POZZATO Filippo,34,Wilier - Southeast,,5,6:17:56,None,2016
76,76,113,MARANGONI Alan,31,Cannondale Pro Cycling Team,,5,6:17:56,None,2016
77,77,78,MOSCON Gianni,21,Team Sky,,5,6:17:56,None,2016
78,78,96,MINARD Sébastien,33,AG2R La Mondiale,,5,6:17:56,None,2016
79,79,44,POPOVYCH Yaroslav,36,Trek - Segafredo,,5,6:17:56,None,2016
80,80,46,IRIZAR Markel,36,Trek - Segafredo,,5,6:17:56,None,2016
81,81,3,GUARNIERI Jacopo,28,Team Katusha ,,5,6:17:56,None,2016
82,82,74,PUCCIO Salvatore,26,Team Sky,,5,6:17:56,None,2016
83,83,197,THURAU Björn,27,Wanty - Groupe Gobert,,5,6:17:56,None,2016
84,84,107,GRUZDEV Dmitriy,30,Astana Pro Team,,5,6:17:56,None,2016
85,85,202,BÁRTA Jan,31,Bora - Argon 18,,5,6:17:56,None,2016
86,86,12,BRUTT Pavel,34,Tinkoff,,5,6:17:56,None,2016
87,87,178,WAEYTENS Zico,24,Team Giant - Alpecin,,5,6:17:56,None,2016
88,88,86,JANSE VAN RENSBURG Reinardt,27,Team Dimension Data,,5,6:17:56,None,2016
89,89,2,POLITT Nils,22,Team Katusha ,,5,6:17:56,None,2016
90,90,162,DOCKER Mitchell,29,Orica GreenEDGE,,5,6:17:56,None,2016
91,91,68,WYNANTS Maarten,33,Team LottoNL-Jumbo,,5,6:17:56,None,2016
92,92,238,WEENING Pieter,34,Roompot - Oranje Peloton,,5,6:17:56,None,2016
93,93,176,SINKELDAM Ramon,27,Team Giant - Alpecin,,5,6:17:56,None,2016
94,94,42,DEVOLDER Stijn,36,Trek - Segafredo,,5,6:18:09,None,2016
95,95,64,TJALLINGII Maarten,38,Team LottoNL-Jumbo,,5,6:23:25,None,2016
96,96,123,FISCHER Murilo Antonio,36,FDJ,,5,6:23:25,None,2016
97,97,128,LE GAC Olivier,22,FDJ,,5,6:23:25,None,2016
98,98,225,GÈNE Yohann,34,Direct Energie,,5,6:23:25,None,2016
99,99,22,KEISSE Iljo,33,Etixx - Quick Step,,5,6:23:25,None,2016
100,100,218,PONZI Simone,29,CCC Sprandi Polkowice ,,5,6:23:25,None,2016
101,101,73,GOŁAŚ Michał,31,Team Sky,,5,6:23:25,None,2016
102,102,212,KUREK Adrian,28,CCC Sprandi Polkowice ,,5,6:23:25,None,2016
103,103,215,ČERNÝ Josef,22,CCC Sprandi Polkowice ,,5,6:23:25,None,2016
104,104,148,ZURLO Federico,22,Lampre - Merida,,5,6:23:25,None,2016
105,105,211,KIENDYŚ Tomasz,38,CCC Sprandi Polkowice ,,5,6:23:25,None,2016
106,106,231,ASSELMAN Jesper,26,Roompot - Oranje Peloton,,5,6:23:25,None,2016
107,107,23,MAES Nikolas,29,Etixx - Quick Step,,5,6:23:25,None,2016
108,108,16,GOGL Michael,22,Tinkoff,,5,6:23:25,None,2016
109,109,223,ANDERSON Ryan,28,Direct Energie,,5,6:23:25,None,2016
110,110,125,KONOVALOVAS Ignatas,30,FDJ,,5,6:23:25,None,2016
111,111,95,HOULE Hugo,25,AG2R La Mondiale,,5,6:23:25,None,2016
112,112,28,MARTIN Tony,30,Etixx - Quick Step,,5,6:23:25,None,2016
113,113,4,HALLER Marco,25,Team Katusha ,,5,6:23:25,None,2016
114,114,115,LANGEVELD Sebastian,31,Cannondale Pro Cycling Team,,5,6:23:25,None,2016
115,115,234,KREDER Michel,28,Roompot - Oranje Peloton,,5,6:23:25,None,2016
116,116,7,LAGUTIN Sergey,35,Team Katusha ,,5,6:23:25,None,2016
117,117,85,FARRAR Tyler,31,Team Dimension Data,,5,6:23:25,None,2016
118,118,43,STUYVEN Jasper,23,Trek - Segafredo,,5,6:23:25,None,2016
