,rank,bib,rider,age,team,uci,point,time,stage,year
1,1,0,NUYENS Nick,30,Saxo Bank - Sungard,100,275,6:01:20,None,2011
2,2,0,CHAVANEL Sylvain,31,Quickstep Cycling Team,80,200,6:01:20,None,2011
3,3,0,CANCELLARA Fabian,30,Leopard Trek,70,150,6:01:20,None,2011
4,4,0,BOONEN Tom,30,Quickstep Cycling Team,60,120,6:01:22,None,2011
5,5,0,LANGEVELD Sebastian,26,Rabobank Cycling Team,50,100,6:01:25,None,2011
6,6,0,HINCAPIE George,37,BMC Racing Team,40,90,6:01:25,None,2011
7,7,0,LEUKEMANS Björn,33,Vacansoleil - DCM,30,80,6:01:25,None,2011
8,8,0,SCHEIRLINCKX Staf,32,Veranda's Willems - Accent,20,70,6:01:25,None,2011
9,9,0,GILBERT Philippe,28,Omega Pharma-Lotto ,10,60,6:01:25,None,2011
10,10,0,THOMAS Geraint,24,Sky Procycling,4,50,6:01:25,None,2011
11,11,0,FLECHA Juan Antonio,33,Sky Procycling,,46,6:01:25,None,2011
12,12,0,BALLAN Alessandro,31,BMC Racing Team,,42,6:01:29,None,2011
13,13,0,FARRAR Tyler,26,Team Garmin - Cervélo,,38,6:02:44,None,2011
14,14,0,EISEL Bernhard,30,HTC - High Road,,34,6:02:44,None,2011
15,15,0,ROLLIN Dominique,28,FDJ,,30,6:02:44,None,2011
16,16,0,HONDO Danilo,37,Lampre - ISD,,28,6:02:44,None,2011
17,17,0,MONDORY Lloyd,28,AG2R La Mondiale,,26,6:02:44,None,2011
18,18,0,ROJAS José Joaquín,25,Movistar Team,,24,6:02:44,None,2011
19,19,0,DUQUE Leonardo Fabio,30,"Cofidis, le Crédit en Ligne",,22,6:02:44,None,2011
20,20,0,WYNANTS Maarten,28,Rabobank Cycling Team,,20,6:02:44,None,2011
21,21,0,HAYMAN Mathew,32,Sky Procycling,,19,6:02:44,None,2011
22,22,0,VAN AVERMAET Greg,25,BMC Racing Team,,18,6:02:44,None,2011
23,23,0,BONNET William,28,FDJ,,17,6:02:44,None,2011
24,24,0,MINARD Sébastien,28,AG2R La Mondiale,,16,6:02:44,None,2011
25,25,0,BURGHARDT Marcus,27,BMC Racing Team,,15,6:02:44,None,2011
26,26,0,VAN WINDEN Dennis,23,Rabobank Cycling Team,,14,6:02:44,None,2011
27,27,0,AAEN JØRGENSEN Jonas,24,Saxo Bank - Sungard,,13,6:02:44,None,2011
28,28,0,VOECKLER Thomas,31,Team Europcar,,12,6:02:44,None,2011
29,29,0,JÉRÔME Vincent,26,Team Europcar,,11,6:02:44,None,2011
30,30,0,TOSATTO Matteo,36,Saxo Bank - Sungard,,10,6:02:44,None,2011
31,31,0,SCHEIRLINCKX Bert,36,Landbouwkrediet,,9,6:02:44,None,2011
32,32,0,STEEGMANS Gert,30,Quickstep Cycling Team,,8,6:02:44,None,2011
33,33,0,MARCATO Marco,27,Vacansoleil - DCM,,7,6:02:44,None,2011
34,34,0,BAK Lars Ytting,31,HTC - High Road,,6,6:02:44,None,2011
35,35,0,VAITKUS Tomas,29,Pro Team Astana,,5,6:02:44,None,2011
36,36,0,GUESDON Frédéric,39,FDJ,,5,6:02:44,None,2011
37,37,0,BOOM Lars,25,Rabobank Cycling Team,,5,6:02:44,None,2011
38,38,0,POZZATO Filippo,29,Team Katusha ,,5,6:02:44,None,2011
39,39,0,IVANOV Sergei,36,Team Katusha ,,5,6:02:44,None,2011
40,40,0,BOASSON HAGEN Edvald,23,Sky Procycling,,5,6:02:44,None,2011
41,41,0,VAN GROEN Arnoud,27,Veranda's Willems - Accent,,5,6:02:44,None,2011
42,42,0,RAST Grégory,31,RadioShack,,5,6:02:44,None,2011
43,43,0,GUSEV Vladimir,28,Team Katusha ,,5,6:02:44,None,2011
44,44,0,MURAVYEV Dmitriy,31,RadioShack,,5,6:02:44,None,2011
45,45,0,HINAULT Sébastien,37,AG2R La Mondiale,,5,6:02:44,None,2011
46,46,0,LEEZER Tom,25,Rabobank Cycling Team,,5,6:03:57,None,2011
47,47,0,GODDAERT Kristof,24,AG2R La Mondiale,,5,6:05:49,None,2011
48,48,0,DE GENDT Thomas,24,Vacansoleil - DCM,,5,6:05:49,None,2011
49,49,0,SCHÄR Michael,24,BMC Racing Team,,5,6:05:49,None,2011
50,50,0,STANNARD Ian,23,Sky Procycling,,5,6:05:49,None,2011
51,51,0,PICHOT Alexandre,28,Team Europcar,,5,6:05:49,None,2011
52,52,0,DEVENYNS Dries,27,Quickstep Cycling Team,,5,6:05:49,None,2011
53,53,0,HUSHOVD Thor,33,Team Garmin - Cervélo,,5,6:05:49,None,2011
54,54,0,ROELANDTS Jürgen,25,Omega Pharma-Lotto ,,5,6:05:49,None,2011
55,55,0,DEVOLDER Stijn,31,Vacansoleil - DCM,,5,6:05:49,None,2011
56,56,0,HOSTE Leif,33,Team Katusha ,,5,6:05:49,None,2011
57,57,0,PAOLINI Luca,34,Team Katusha ,,5,6:09:22,None,2011
58,58,0,LARSSON Gustav Erik,30,Saxo Bank - Sungard,,5,6:09:22,None,2011
59,59,0,QUINZIATO Manuel,31,BMC Racing Team,,5,6:09:22,None,2011
60,60,0,WYSS Danilo,25,BMC Racing Team,,5,6:09:22,None,2011
61,61,0,HAUSSLER Heinrich,27,Team Garmin - Cervélo,,5,6:09:22,None,2011
62,62,0,IZAGIRRE Gorka,23,Euskaltel - Euskadi,,5,6:10:34,None,2011
63,63,0,MCEWEN Robbie,38,RadioShack,,5,6:13:57,None,2011
64,64,0,GRIVKO Andrey,27,Pro Team Astana,,5,6:13:57,None,2011
65,65,0,VELITS Martin,26,HTC - High Road,,5,6:13:57,None,2011
66,66,0,ERVITI Imanol,27,Movistar Team,,5,6:13:57,None,2011
67,67,0,VAN KEIRSBULCK Guillaume,20,Quickstep Cycling Team,,5,6:13:57,None,2011
68,68,0,VAN IMPE Kevin,29,Quickstep Cycling Team,,5,6:13:57,None,2011
69,69,0,O'GRADY Stuart,37,Leopard Trek,,5,6:13:57,None,2011
70,70,0,CLARKE Simon,24,Pro Team Astana,,5,6:13:57,None,2011
71,71,0,ISTA Kevyn,26,"Cofidis, le Crédit en Ligne",,5,6:14:50,None,2011
72,72,0,VANLANDSCHOOT James,32,Veranda's Willems - Accent,,5,6:16:48,None,2011
73,73,0,STEURS Geert,29,Topsport Vlaanderen - Mercator,,5,6:16:48,None,2011
74,74,0,DE VREESE Laurens,22,Topsport Vlaanderen - Mercator,,5,6:16:48,None,2011
75,75,0,REYNÉS Vicente,29,Omega Pharma-Lotto ,,5,6:16:48,None,2011
76,76,0,GREIPEL André,28,Omega Pharma-Lotto ,,5,6:16:48,None,2011
77,77,0,SIEBERG Marcel,28,Omega Pharma-Lotto ,,5,6:16:48,None,2011
78,78,0,GAUTIER Cyril,23,Team Europcar,,5,6:16:48,None,2011
79,79,0,COMMEYNE Davy,30,Landbouwkrediet,,5,6:16:48,None,2011
80,80,0,GOUROV Maxim,32,Pro Team Astana,,5,6:16:48,None,2011
81,81,0,TURGOT Sébastien,26,Team Europcar,,5,6:16:48,None,2011
82,82,0,VERHEYEN Geert,38,Landbouwkrediet,,5,6:16:48,None,2011
83,83,0,GHYSELINCK Jan,23,HTC - High Road,,5,6:16:48,None,2011
84,84,0,LODEWYCK Klaas,23,Omega Pharma-Lotto ,,5,6:16:48,None,2011
85,85,0,MARYCZ Jarosław,23,Saxo Bank - Sungard,,5,6:16:48,None,2011
86,86,0,CHAINEL Steve,27,FDJ,,5,6:16:48,None,2011
87,87,0,COOKE Baden,32,Saxo Bank - Sungard,,5,6:16:48,None,2011
88,88,0,LABBÉ Arnaud,34,"Cofidis, le Crédit en Ligne",,5,6:16:48,None,2011
89,89,0,JACOBS Pieter,24,Topsport Vlaanderen - Mercator,,5,6:16:48,None,2011
90,90,0,MØRKØV Michael,25,Saxo Bank - Sungard,,5,6:16:48,None,2011
91,91,0,TJALLINGII Maarten,33,Rabobank Cycling Team,,5,6:16:48,None,2011
92,92,0,DE BACKER Bert,27,Skil - Shimano,,5,6:16:48,None,2011
93,93,0,LEQUATRE Geoffroy,29,RadioShack,,5,6:16:48,None,2011
94,94,0,DEGENKOLB John,22,HTC - High Road,,5,6:16:48,None,2011
96,96,0,AMORISON Frédéric,33,Landbouwkrediet,,5,6:16:48,None,2011
97,97,0,VAN HECKE Preben,28,Topsport Vlaanderen - Mercator,,5,6:16:48,None,2011
98,98,0,AMADOR Andrey,24,Movistar Team,,5,6:16:48,None,2011
99,99,0,BOŽIČ Borut,30,Vacansoleil - DCM,,5,6:16:48,None,2011
100,100,0,DE KORT Koen,28,Skil - Shimano,,5,6:16:48,None,2011
101,101,0,STAMSNIJDER Tom,25,Leopard Trek,,5,6:16:48,None,2011
