,rank,bib,rider,age,team,uci,point,time,stage,year
1,1,1,CANCELLARA Fabian,33,Trek Factory Racing ,100,275,6:15:18,None,2014
2,2,78,VAN AVERMAET Greg,28,BMC Racing Team,80,200,6:15:18,None,2014
3,3,66,VANMARCKE Sep,25,Belkin-Pro Cycling Team,70,150,6:15:18,None,2014
4,4,38,VANDENBERGH Stijn,29,Omega Pharma - Quick-Step,60,120,6:15:18,None,2014
5,5,153,KRISTOFF Alexander,26,Team Katusha ,50,100,6:15:26,None,2014
6,6,35,TERPSTRA Niki,29,Omega Pharma - Quick-Step,40,90,6:15:36,None,2014
7,7,31,BOONEN Tom,33,Omega Pharma - Quick-Step,30,80,6:15:53,None,2014
8,8,167,THOMAS Geraint,27,Team Sky,20,70,6:15:55,None,2014
9,9,245,LEUKEMANS Björn,36,Wanty - Groupe Gobert,10,60,6:15:59,None,2014
10,10,94,LANGEVELD Sebastian,29,Garmin Sharp,4,50,6:16:01,None,2014
11,11,136,JÉRÔME Vincent,29,Team Europcar,,46,6:16:30,None,2014
12,12,71,BURGHARDT Marcus,30,BMC Racing Team,,42,6:16:30,None,2014
13,13,177,SØRENSEN Nicki,38,Tinkoff - Saxo,,38,6:16:33,None,2014
14,14,145,DEVENYNS Dries,30,Team Giant - Shimano,,34,6:16:37,None,2014
15,15,144,DEGENKOLB John,25,Team Giant - Shimano,,30,6:16:43,None,2014
16,16,11,SAGAN Peter,24,Cannondale ,,28,6:16:43,None,2014
17,17,106,POZZATO Filippo,32,Lampre - Merida,,26,6:16:43,None,2014
18,18,34,ŠTYBAR Zdeněk,28,Omega Pharma - Quick-Step,,24,6:16:43,None,2014
19,19,201,CHAVANEL Sylvain,34,IAM Cycling,,22,6:16:43,None,2014
20,20,46,MINARD Sébastien,31,AG2R La Mondiale,,20,6:16:43,None,2014
21,21,88,OFFREDO Yoann,27,FDJ.fr ,,19,6:16:43,None,2014
22,22,161,BOASSON HAGEN Edvald,26,Team Sky,,18,6:16:43,None,2014
23,23,28,GALLOPIN Tony,25,Lotto Belisol ,,17,6:16:43,None,2014
24,24,241,DE VREESE Laurens,25,Wanty - Groupe Gobert,,16,6:16:53,None,2014
25,25,14,GATTO Oscar,29,Cannondale ,,15,6:16:59,None,2014
26,26,32,KEISSE Iljo,31,Omega Pharma - Quick-Step,,14,6:17:01,None,2014
27,27,47,MONDORY Lloyd,31,AG2R La Mondiale,,13,6:17:01,None,2014
28,28,43,CHAINEL Steve,30,AG2R La Mondiale,,12,6:17:01,None,2014
29,29,213,KONOVALOVAS Ignatas,28,MTN - Qhubeka,,11,6:17:01,None,2014
30,30,63,TANKINK Bram,35,Belkin-Pro Cycling Team,,10,6:17:01,None,2014
31,31,221,BÁRTA Jan,29,Team NetApp – Endura,,9,6:17:01,None,2014
32,32,168,WIGGINS Bradley,33,Team Sky,,8,6:17:01,None,2014
33,33,111,AMADOR Andrey,27,Movistar Team,,7,6:17:01,None,2014
34,34,68,WYNANTS Maarten,31,Belkin-Pro Cycling Team,,6,6:17:01,None,2014
35,35,237,WAEYTENS Zico,22,Topsport Vlaanderen - Baloise,,5,6:17:01,None,2014
36,36,156,PAOLINI Luca,37,Team Katusha ,,5,6:19:10,None,2014
37,37,126,KEUKELEIRE Jens,25,Orica GreenEDGE,,5,6:19:10,None,2014
38,38,13,BODNAR Maciej,29,Cannondale ,,5,6:19:10,None,2014
39,39,138,PICHOT Alexandre,31,Team Europcar,,5,6:19:10,None,2014
40,40,75,PHINNEY Taylor,23,BMC Racing Team,,5,6:19:30,None,2014
41,41,12,SABATINI Fabio,29,Cannondale ,,5,6:19:30,None,2014
42,42,22,BROECKX Stig,23,Lotto Belisol ,,5,6:19:30,None,2014
43,43,65,VAN EMDEN Jos,29,Belkin-Pro Cycling Team,,5,6:19:30,None,2014
44,44,37,VAN KEIRSBULCK Guillaume,23,Omega Pharma - Quick-Step,,5,6:19:30,None,2014
45,45,246,SELVAGGI Mirko,29,Wanty - Groupe Gobert,,5,6:19:30,None,2014
46,46,72,DILLIER Silvan,23,BMC Racing Team,,5,6:19:30,None,2014
47,47,92,FARRAR Tyler,29,Garmin Sharp,,5,6:19:30,None,2014
48,48,195,LEMOINE Cyril,31,"Cofidis, Solutions Crédits",,5,6:19:30,None,2014
49,49,51,BOŽIČ Borut,33,Astana Pro Team,,5,6:19:30,None,2014
50,50,48,TURGOT Sébastien,29,AG2R La Mondiale,,5,6:19:30,None,2014
51,51,123,HAYMAN Mathew,35,Orica GreenEDGE,,5,6:19:30,None,2014
52,52,125,IMPEY Daryl,29,Orica GreenEDGE,,5,6:19:30,None,2014
53,53,223,DEMPSTER Zak,26,Team NetApp – Endura,,5,6:19:30,None,2014
54,54,143,DE KORT Koen,31,Team Giant - Shimano,,5,6:19:30,None,2014
55,55,113,ERVITI Imanol,30,Movistar Team,,5,6:19:30,None,2014
56,56,76,QUINZIATO Manuel,34,BMC Racing Team,,5,6:19:30,None,2014
57,57,17,LONGO BORGHINI Paolo,33,Cannondale ,,5,6:19:30,None,2014
58,58,36,TRENTIN Matteo,24,Omega Pharma - Quick-Step,,5,6:19:30,None,2014
59,59,53,GRIVKO Andrey,30,Astana Pro Team,,5,6:22:59,None,2014
60,60,162,EISEL Bernhard,33,Team Sky,,5,6:22:59,None,2014
61,61,8,STUYVEN Jasper,21,Trek Factory Racing ,,5,6:22:59,None,2014
62,62,166,ROWE Luke,24,Team Sky,,5,6:22:59,None,2014
63,63,81,BONNET William,31,FDJ.fr ,,5,6:22:59,None,2014
64,64,146,JANSE VAN RENSBURG Reinardt,25,Team Giant - Shimano,,5,6:22:59,None,2014
65,65,164,PUCCIO Salvatore,24,Team Sky,,5,6:22:59,None,2014
66,66,26,BAK Lars Ytting,34,Lotto Belisol ,,5,6:23:35,None,2014
67,67,62,LEEZER Tom,28,Belkin-Pro Cycling Team,,5,6:23:35,None,2014
68,68,235,VAN HECKE Preben,31,Topsport Vlaanderen - Baloise,,5,6:23:35,None,2014
69,69,86,LADAGNOUS Matthieu,29,FDJ.fr ,,5,6:23:35,None,2014
70,70,77,SCHÄR Michael,27,BMC Racing Team,,5,6:23:35,None,2014
71,71,234,VAN ASBROECK Tom,23,Topsport Vlaanderen - Baloise,,5,6:23:35,None,2014
72,72,236,VANBILSEN Kenneth,23,Topsport Vlaanderen - Baloise,,5,6:23:35,None,2014
73,73,193,GARCÍA Egoitz,28,"Cofidis, Solutions Crédits",,5,6:23:35,None,2014
74,74,16,KOREN Kristijan,27,Cannondale ,,5,6:23:35,None,2014
75,75,137,MARTINEZ Yannick,25,Team Europcar,,5,6:23:35,None,2014
76,76,207,PINEAU Jérôme,34,IAM Cycling,,5,6:23:35,None,2014
77,77,151,GUSEV Vladimir,31,Team Katusha ,,5,6:23:35,None,2014
78,78,228,THWAITES Scott,24,Team NetApp – Endura,,5,6:25:07,None,2014
79,79,3,IRIZAR Markel,34,Trek Factory Racing ,,5,6:25:07,None,2014
80,80,64,TJALLINGII Maarten,36,Belkin-Pro Cycling Team,,5,6:25:07,None,2014
81,81,91,BAUER Jack,28,Garmin Sharp,,5,6:25:07,None,2014
82,82,158,TSATEVICH Alexey,24,Team Katusha ,,5,6:25:07,None,2014
83,83,18,MARANGONI Alan,29,Cannondale ,,5,6:25:07,None,2014
84,84,174,JUUL-JENSEN Christopher,24,Tinkoff - Saxo,,5,6:25:07,None,2014
85,85,142,CURVERS Roy,34,Team Giant - Shimano,,5,6:25:07,None,2014
86,86,2,DEVOLDER Stijn,34,Trek Factory Racing ,,5,6:25:07,None,2014
87,87,181,BANDIERA Marco,29,Androni Giocattoli - Venezuela,,5,6:25:07,None,2014
88,88,147,SINKELDAM Ramon,25,Team Giant - Shimano,,5,6:25:07,None,2014
89,89,97,VAN BAARLE Dylan,21,Garmin Sharp,,5,6:25:07,None,2014
90,90,73,HUSHOVD Thor,36,BMC Racing Team,,5,6:25:07,None,2014
91,91,102,CIMOLAI Davide,24,Lampre - Merida,,5,6:25:07,None,2014
92,92,194,JÕEÄÄR Gert,26,"Cofidis, Solutions Crédits",,5,6:25:07,None,2014
93,93,61,BOOM Lars,28,Belkin-Pro Cycling Team,,5,6:25:07,None,2014
94,94,131,COUSIN Jérôme,24,Team Europcar,,5,6:25:07,None,2014
95,95,163,KNEES Christian,33,Team Sky,,5,6:25:07,None,2014
96,96,206,KLUGE Roger,28,IAM Cycling,,5,6:27:43,None,2014
97,97,121,DOCKER Mitchell,27,Orica GreenEDGE,,5,6:27:56,None,2014
98,98,124,HEPBURN Michael,22,Orica GreenEDGE,,5,6:27:56,None,2014
99,99,217,THOMSON Jay Robert,27,MTN - Qhubeka,,5,6:27:56,None,2014
100,100,154,KUSCHYNSKI Aleksandr,34,Team Katusha ,,5,6:27:56,None,2014
101,101,247,VANLANDSCHOOT James,35,Wanty - Groupe Gobert,,5,6:27:56,None,2014
102,102,176,KROON Karsten,38,Tinkoff - Saxo,,5,6:27:56,None,2014
