,rank,bib,rider,age,team,uci,point,time,stage,year
1,1,51,VAN DER POEL Mathieu,25,Alpecin-Fenix,500,275,5:43:17,None,2020
2,2,41,VAN AERT Wout,26,Team Jumbo-Visma,400,200,5:43:17,None,2020
3,3,181,KRISTOFF Alexander,33,UAE-Team Emirates,325,150,5:43:25,None,2020
4,4,245,TURGIS Anthony,26,Team Total Direct Energie,275,120,5:43:25,None,2020
5,5,15,LAMPAERT Yves,29,Deceuninck - Quick Step,225,100,5:43:25,None,2020
6,6,192,CLAEYS Dimitri,33,"Cofidis, Solutions Crédits",175,90,5:43:25,None,2020
7,7,31,NAESEN Oliver,30,AG2R La Mondiale,150,80,5:43:25,None,2020
8,8,157,VAN BAARLE Dylan,28,INEOS Grenadiers,125,70,5:43:25,None,2020
9,9,23,DEGENKOLB John,31,Lotto Soudal,100,60,5:43:25,None,2020
10,10,161,BENOOT Tiesj,26,Team Sunweb,85,50,5:43:25,None,2020
11,11,117,TEUNS Dylan,28,Bahrain - McLaren,70,46,5:43:25,None,2020
12,12,16,SÉNÉCHAL Florian,27,Deceuninck - Quick Step,60,42,5:43:25,None,2020
13,13,12,ASGREEN Kasper,25,Deceuninck - Quick Step,50,38,5:43:25,None,2020
14,14,96,MADOUAS Valentin,24,Groupama - FDJ,40,34,5:43:25,None,2020
15,15,215,MEURISSE Xandro,28,Circus - Wanty Gobert,35,30,5:43:25,None,2020
16,16,1,BETTIOL Alberto,26,EF Pro Cycling,30,28,5:43:25,None,2020
17,17,2,VANMARCKE Sep,32,EF Pro Cycling,30,26,5:43:33,None,2020
18,18,22,DE BUYST Jasper,26,Lotto Soudal,30,24,5:45:58,None,2020
19,19,101,POLITT Nils,26,Israel Start-Up Nation,30,22,5:45:58,None,2020
20,20,183,BYSTRØM Sven Erik,28,UAE-Team Emirates,30,20,5:45:58,None,2020
21,21,145,VALGREN Michael,28,NTT Pro Cycling,20,19,5:45:58,None,2020
22,22,222,CAPIOT Amaury,27,Sport Vlaanderen - Baloise,20,18,5:45:58,None,2020
23,23,126,MEZGEC Luka,32,Mitchelton-Scott,20,17,5:45:58,None,2020
24,24,217,PASQUALON Andrea,32,Circus - Wanty Gobert,20,16,5:45:58,None,2020
25,25,37,BARDET Romain,29,AG2R La Mondiale,20,15,5:45:58,None,2020
26,26,86,STUYVEN Jasper,28,Trek - Segafredo,20,14,5:45:58,None,2020
27,27,4,KEUKELEIRE Jens,31,EF Pro Cycling,20,13,5:45:58,None,2020
28,28,144,GOGL Michael,26,NTT Pro Cycling,20,12,5:46:06,None,2020
29,29,202,LIVYNS Arjen,26,Bingoal - Wallonie Bruxelles,20,11,5:46:22,None,2020
30,30,143,WALSCHEID Max,27,NTT Pro Cycling,20,10,5:47:20,None,2020
