,rank,bib,rider,age,team,uci,point,time,stage,year
61,61,53,DILLIER Silvan,24,BMC Racing Team,,5,6:33:40,None,2015
62,62,28,SIEBERG Marcel,32,Lotto Soudal,,5,6:33:40,None,2015
63,63,63,DELAGE Mickaël,29,FDJ,,5,6:33:40,None,2015
64,64,182,THWAITES Scott,25,Bora - Argon 18,,5,6:33:40,None,2015
65,65,5,ROULSTON Hayden,34,Trek Factory Racing ,,5,6:33:40,None,2015
66,66,215,KREDER Wesley,24,Roompot - Oranje Peloton,,5,6:33:40,None,2015
67,67,205,JANSE VAN RENSBURG Reinardt,26,MTN - Qhubeka,,5,6:33:40,None,2015
68,68,172,BANDIERA Marco,30,Androni Giocattoli - Sidermec,,5,6:33:40,None,2015
69,69,146,VAN ASBROECK Tom,24,Team LottoNL-Jumbo,,5,6:33:40,None,2015
70,70,213,HOOGERLAND Johnny,31,Roompot - Oranje Peloton,,5,6:33:40,None,2015
71,71,143,LEEZER Tom,29,Team LottoNL-Jumbo,,5,6:33:40,None,2015
72,72,148,WYNANTS Maarten,32,Team LottoNL-Jumbo,,5,6:33:40,None,2015
73,73,163,BRESCHEL Matti,30,Tinkoff - Saxo,,5,6:33:40,None,2015
74,74,221,BERNAUDEAU Giovanni,31,Team Europcar,,5,6:34:04,None,2015
75,75,233,SALOMEIN Jarl,26,Topsport Vlaanderen - Baloise,,5,6:35:49,None,2015
76,76,246,SELVAGGI Mirko,30,Wanty - Groupe Gobert,,5,6:35:49,None,2015
77,77,136,PORSEV Alexander,29,Team Katusha ,,5,6:35:49,None,2015
78,78,138,TSATEVICH Alexey,25,Team Katusha ,,5,6:35:49,None,2015
79,79,214,KERKHOF Tim,21,Roompot - Oranje Peloton,,5,6:35:49,None,2015
80,80,137,BYSTRØM Sven Erik,23,Team Katusha ,,5,6:35:49,None,2015
81,81,123,CURVERS Roy,35,Team Giant - Alpecin,,5,6:35:49,None,2015
82,82,122,ARNDT Nikias,23,Team Giant - Alpecin,,5,6:35:49,None,2015
83,83,12,KEISSE Iljo,32,Etixx - Quick Step,,5,6:35:49,None,2015
84,84,97,SÜTTERLIN Jasha,22,Movistar Team,,5,6:35:49,None,2015
85,85,224,GÈNE Yohann,33,Team Europcar,,5,6:35:49,None,2015
86,86,58,LODEWYCK Klaas,27,BMC Racing Team,,5,6:35:49,None,2015
87,87,151,WIGGINS Bradley,34,Team Sky,,5,6:35:49,None,2015
88,88,16,TRENTIN Matteo,25,Etixx - Quick Step,,5,6:35:49,None,2015
89,89,37,MINARD Sébastien,32,AG2R La Mondiale,,5,6:35:49,None,2015
90,90,195,SÉNÉCHAL Florian,21,"Cofidis, Solutions Crédits",,5,6:35:49,None,2015
91,91,234,THEUNS Edward,23,Topsport Vlaanderen - Baloise,,5,6:36:59,None,2015
92,92,124,DE BACKER Bert,31,Team Giant - Alpecin,,5,6:36:59,None,2015
93,93,115,MARANGONI Alan,30,Team Cannondale - Garmin ,,5,6:36:59,None,2015
94,94,35,HOULE Hugo,24,AG2R La Mondiale,,5,6:36:59,None,2015
95,95,113,KOREN Kristijan,28,Team Cannondale - Garmin ,,5,6:36:59,None,2015
96,96,164,JUUL-JENSEN Christopher,25,Tinkoff - Saxo,,5,6:36:59,None,2015
97,97,14,MAES Nikolas,28,Etixx - Quick Step,,5,6:36:59,None,2015
98,98,57,SCHÄR Michael,28,BMC Racing Team,,5,6:36:59,None,2015
99,99,152,EISEL Bernhard,34,Team Sky,,5,6:36:59,None,2015
100,100,2,IRIZAR Markel,35,Trek Factory Racing ,,5,6:36:59,None,2015
101,101,167,TOSATTO Matteo,40,Tinkoff - Saxo,,5,6:36:59,None,2015
102,102,108,CORT Magnus,22,Orica GreenEDGE,,5,6:36:59,None,2015
103,103,145,TJALLINGII Maarten,37,Team LottoNL-Jumbo,,5,6:36:59,None,2015
104,104,236,VAN HOECKE Gijs,23,Topsport Vlaanderen - Baloise,,5,6:36:59,None,2015
105,105,31,VANSUMMEREN Johan,34,AG2R La Mondiale,,5,6:36:59,None,2015
106,106,238,WALLAYS Jelle,25,Topsport Vlaanderen - Baloise,,5,6:36:59,None,2015
107,107,231,VAN LERBERGHE Bert,22,Topsport Vlaanderen - Baloise,,5,6:39:27,None,2015
108,108,235,VAN HECKE Preben,32,Topsport Vlaanderen - Baloise,,5,6:39:27,None,2015
109,109,25,BROECKX Stig,24,Lotto Soudal,,5,6:39:27,None,2015
110,110,225,HUREL Tony,27,Team Europcar,,5,6:39:27,None,2015
111,111,102,DOCKER Mitchell,28,Orica GreenEDGE,,5,6:39:27,None,2015
112,112,112,HANSEN Lasse Norman,23,Team Cannondale - Garmin ,,5,6:39:27,None,2015
113,113,118,ZEPUNTKE Ruben,22,Team Cannondale - Garmin ,,5,6:39:27,None,2015
114,114,228,TULIK Angélo,24,Team Europcar,,5,6:39:27,None,2015
115,115,48,TLEUBAYEV Ruslan,28,Astana Pro Team,,5,6:39:27,None,2015
116,116,85,PIBERNIK Luka,21,Lampre - Merida,,5,6:39:27,None,2015
117,117,107,HOWARD Leigh,25,Orica GreenEDGE,,5,6:39:27,None,2015
118,118,222,DUCHESNE Antoine,23,Team Europcar,,5,6:39:27,None,2015
119,119,91,ERVITI Imanol,31,Movistar Team,,5,6:39:27,None,2015
120,120,217,VAN GINNEKEN Sjoerd,22,Roompot - Oranje Peloton,,5,6:39:27,None,2015
121,121,184,PFINGSTEN Christoph,27,Bora - Argon 18,,5,6:39:27,None,2015
122,122,166,BRUTT Pavel,33,Tinkoff - Saxo,,5,6:39:27,None,2015
123,123,33,GAUDIN Damien,28,AG2R La Mondiale,,5,6:39:27,None,2015
124,124,193,LEMOINE Cyril,32,"Cofidis, Solutions Crédits",,5,6:39:27,None,2015
125,125,101,BEWLEY Sam,27,Orica GreenEDGE,,5,6:41:34,None,2015
126,126,218,VAN GOETHEM Brian,23,Roompot - Oranje Peloton,,5,6:41:34,None,2015
127,127,116,SKJERPING Kristoffer,21,Team Cannondale - Garmin ,,5,6:41:34,None,2015
128,128,198,VERHELST Louis,24,"Cofidis, Solutions Crédits",,5,6:41:34,None,2015
129,129,247,VANLANDSCHOOT James,36,Wanty - Groupe Gobert,,5,6:41:34,None,2015
130,130,44,AYAZBAYEV Maxat,23,Astana Pro Team,,5,6:41:34,None,2015
131,131,211,DE VRIES Berden,26,Roompot - Oranje Peloton,,5,6:41:34,None,2015
132,132,61,BONNET William,32,FDJ,,5,6:41:34,None,2015
133,133,241,BACKAERT Frederik,25,Wanty - Groupe Gobert,,5,6:41:34,None,2015
