,rank,bib,rider,age,team,uci,point,time,stage,year
1,1,131,KRISTOFF Alexander,27,Team Katusha ,100,275,6:26:32,None,2015
2,2,11,TERPSTRA Niki,30,Etixx - Quick Step,80,200,6:26:32,None,2015
3,3,51,VAN AVERMAET Greg,29,BMC Racing Team,70,150,6:26:39,None,2015
4,4,161,SAGAN Peter,25,Tinkoff - Saxo,60,120,6:26:48,None,2015
5,5,23,BENOOT Tiesj,21,Lotto Soudal,50,100,6:27:08,None,2015
6,6,41,BOOM Lars,29,Astana Pro Team,40,90,6:27:08,None,2015
7,7,121,DEGENKOLB John,26,Team Giant - Alpecin,30,80,6:27:21,None,2015
8,8,21,ROELANDTS Jürgen,29,Lotto Soudal,20,70,6:27:21,None,2015
9,9,15,ŠTYBAR Zdeněk,29,Etixx - Quick Step,10,60,6:27:21,None,2015
10,10,73,ELMIGER Martin,36,IAM Cycling,4,50,6:27:21,None,2015
11,11,55,OSS Daniel,28,BMC Racing Team,,46,6:27:21,None,2015
12,12,81,POZZATO Filippo,33,Lampre - Merida,,42,6:27:21,None,2015
13,13,1,DEVOLDER Stijn,35,Trek Factory Racing ,,38,6:27:21,None,2015
14,14,158,THOMAS Geraint,28,Team Sky,,34,6:27:21,None,2015
15,15,27,GREIPEL André,32,Lotto Soudal,,30,6:29:00,None,2015
16,16,52,BURGHARDT Marcus,31,BMC Racing Team,,28,6:29:00,None,2015
17,17,43,DE VREESE Laurens,26,Astana Pro Team,,26,6:29:00,None,2015
18,18,245,MARCATO Marco,31,Wanty - Groupe Gobert,,24,6:29:00,None,2015
19,19,106,KEUKELEIRE Jens,26,Orica GreenEDGE,,22,6:29:00,None,2015
20,20,87,OLIVEIRA Nelson,26,Lampre - Merida,,20,6:29:06,None,2015
21,21,72,DEVENYNS Dries,31,IAM Cycling,,19,6:29:34,None,2015
22,22,47,LUTSENKO Alexey,22,Astana Pro Team,,18,6:29:43,None,2015
23,23,64,DÉMARE Arnaud,23,FDJ,,17,6:29:55,None,2015
24,24,13,LAMPAERT Yves,23,Etixx - Quick Step,,16,6:29:55,None,2015
25,25,26,DEBUSSCHERE Jens,25,Lotto Soudal,,15,6:29:55,None,2015
26,26,74,HAUSSLER Heinrich,31,IAM Cycling,,14,6:29:55,None,2015
27,27,244,LEUKEMANS Björn,37,Wanty - Groupe Gobert,,13,6:29:55,None,2015
28,28,54,DRUCKER Jempy,28,BMC Racing Team,,12,6:29:55,None,2015
29,29,4,RAST Grégory,35,Trek Factory Racing ,,11,6:29:55,None,2015
30,30,67,OFFREDO Yoann,28,FDJ,,10,6:29:55,None,2015
31,31,128,WAEYTENS Zico,23,Team Giant - Alpecin,,9,6:29:55,None,2015
32,32,7,STUYVEN Jasper,22,Trek Factory Racing ,,8,6:29:55,None,2015
33,33,134,KUZNETSOV Viacheslav,25,Team Katusha ,,7,6:29:55,None,2015
34,34,95,ROJAS José Joaquín,29,Movistar Team,,6,6:29:55,None,2015
35,35,232,NAESEN Oliver,24,Topsport Vlaanderen - Baloise,,5,6:29:55,None,2015
36,36,42,BOŽIČ Borut,34,Astana Pro Team,,5,6:29:55,None,2015
37,37,117,VAN BAARLE Dylan,22,Team Cannondale - Garmin ,,5,6:29:55,None,2015
38,38,45,GRIVKO Andrey,31,Astana Pro Team,,5,6:29:55,None,2015
39,39,104,HAYMAN Mathew,36,Orica GreenEDGE,,5,6:29:55,None,2015
40,40,188,VOSS Paul,29,Bora - Argon 18,,5,6:29:55,None,2015
41,41,185,SCHILLINGER Andreas,31,Bora - Argon 18,,5,6:29:55,None,2015
42,42,125,DE KORT Koen,32,Team Giant - Alpecin,,5,6:29:55,None,2015
43,43,103,DURBRIDGE Luke,23,Orica GreenEDGE,,5,6:29:55,None,2015
44,44,83,CIMOLAI Davide,25,Lampre - Merida,,5,6:29:55,None,2015
45,45,71,CHAVANEL Sylvain,35,IAM Cycling,,5,6:29:55,None,2015
46,46,17,VAN KEIRSBULCK Guillaume,24,Etixx - Quick Step,,5,6:29:55,None,2015
47,47,171,GATTO Oscar,30,Androni Giocattoli - Sidermec,,5,6:29:55,None,2015
48,48,133,HALLER Marco,24,Team Katusha ,,5,6:29:55,None,2015
49,49,56,QUINZIATO Manuel,35,BMC Racing Team,,5,6:29:55,None,2015
50,50,156,ROWE Luke,25,Team Sky,,5,6:29:55,None,2015
51,51,18,VANDENBERGH Stijn,30,Etixx - Quick Step,,5,6:29:55,None,2015
52,52,135,PAOLINI Luca,38,Team Katusha ,,5,6:30:01,None,2015
53,53,141,VANMARCKE Sep,26,Team LottoNL-Jumbo,,5,6:30:01,None,2015
54,54,114,LANGEVELD Sebastian,30,Team Cannondale - Garmin ,,5,6:30:07,None,2015
55,55,98,VENTOSO Francisco José,32,Movistar Team,,5,6:33:08,None,2015
56,56,111,BAUER Jack,29,Team Cannondale - Garmin ,,5,6:33:08,None,2015
57,57,157,STANNARD Ian,27,Team Sky,,5,6:33:08,None,2015
58,58,204,FARRAR Tyler,30,MTN - Qhubeka,,5,6:33:40,None,2015
59,59,126,SINKELDAM Ramon,26,Team Giant - Alpecin,,5,6:33:40,None,2015
60,60,46,GRUZDEV Dmitriy,29,Astana Pro Team,,5,6:33:40,None,2015
