,rank,bib,rider,age,team,uci,point,time,stage,year
55,55,0,HUSHOVD Thor,34,BMC Racing Team,,5,6:07:59,None,2012
56,56,0,COMMEYNE Davy,31,Landbouwkrediet - Euphony,,5,6:07:59,None,2012
57,57,0,STANNARD Ian,24,Sky Procycling,,5,6:07:59,None,2012
58,58,0,KNEES Christian,31,Sky Procycling,,5,6:07:59,None,2012
59,59,0,DEGENKOLB John,23,Argos - Shimano,,5,6:07:59,None,2012
60,60,0,OSS Daniel,25,Liquigas - Cannondale,,5,6:07:59,None,2012
61,61,0,GODDAERT Kristof,25,AG2R La Mondiale,,5,6:09:16,None,2012
62,62,0,PÉREZ Rubén,30,Euskaltel - Euskadi,,5,6:09:16,None,2012
63,63,0,CAPPELLE Andy,32,Accent.jobs – Willems Veranda’s,,5,6:09:16,None,2012
64,64,0,BAUER Jack,26,Team Garmin - Barracuda,,5,6:09:16,None,2012
65,65,0,GUESDON Frédéric,40,FDJ - BigMat,,5,6:09:16,None,2012
66,66,0,VAN HECKE Preben,29,Topsport Vlaanderen - Mercator,,5,6:09:16,None,2012
67,67,0,SIEBERG Marcel,29,Lotto Belisol Team,,5,6:09:16,None,2012
68,68,0,MORI Manuele,31,Lampre - ISD,,5,6:09:16,None,2012
69,69,0,VANTOMME Maxime,26,Team Katusha ,,5,6:09:16,None,2012
70,70,0,DEBUSSCHERE Jens,22,Lotto Belisol Team,,5,6:09:16,None,2012
71,71,0,BAUGNIES Jérôme,25,Team Netapp,,5,6:09:16,None,2012
72,72,0,VEILLEUX David,24,Team Europcar,,5,6:09:16,None,2012
73,73,0,BAZAYEV Assan,31,Astana Pro Team,,5,6:09:16,None,2012
74,74,0,PICHOT Alexandre,29,Team Europcar,,5,6:09:16,None,2012
75,75,0,GILBERT Philippe,29,BMC Racing Team,,5,6:09:16,None,2012
76,76,0,DELAGE Mickaël,26,FDJ - BigMat,,5,6:09:16,None,2012
77,77,0,KING Edward,29,Liquigas - Cannondale,,5,6:09:16,None,2012
78,78,0,ERVITI Imanol,28,Movistar Team,,5,6:09:16,None,2012
79,79,0,HAYMAN Mathew,33,Sky Procycling,,5,6:09:16,None,2012
80,80,0,MOL Wouter,29,Vacansoleil - DCM,,5,6:09:16,None,2012
81,81,0,VAN WINDEN Dennis,24,Rabobank Cycling Team,,5,6:09:16,None,2012
82,82,0,POPOVYCH Yaroslav,32,RadioShack - Nissan,,5,6:09:16,None,2012
83,83,0,KLIER Andreas,36,Team Garmin - Barracuda,,5,6:09:16,None,2012
84,84,0,STAMSNIJDER Tom,26,Argos - Shimano,,5,6:09:16,None,2012
85,85,0,VAITKUS Tomas,30,Orica GreenEDGE,,5,6:09:16,None,2012
86,86,0,BOUCHER David,32,FDJ - BigMat,,5,6:09:16,None,2012
87,87,0,PLANCKAERT Baptiste,23,Landbouwkrediet - Euphony,,5,6:09:16,None,2012
88,88,0,ISAYCHEV Vladimir,25,Team Katusha ,,5,6:20:07,None,2012
89,89,0,ROBERTS Luke,35,Team Saxo Bank - Tinkoff Bank,,5,6:20:07,None,2012
90,90,0,BILBAO Pello,22,Euskaltel - Euskadi,,5,6:20:07,None,2012
91,91,0,KUSCHYNSKI Aleksandr,32,Team Katusha ,,5,6:20:07,None,2012
92,92,0,DOCKX Gert,23,Lotto Belisol Team,,5,6:20:07,None,2012
93,93,0,BOECKMANS Kris,25,Vacansoleil - DCM,,5,6:20:07,None,2012
94,94,0,BENNATI Daniele,31,RadioShack - Nissan,,5,6:20:07,None,2012
95,95,0,BELLETTI Manuel,26,AG2R La Mondiale,,5,6:20:07,None,2012
96,96,0,RATHE Jacob,21,Team Garmin - Barracuda,,5,6:20:07,None,2012
97,97,0,SCHEIRLINCKX Staf,33,Accent.jobs – Willems Veranda’s,,5,6:20:07,None,2012
98,98,0,LASTRAS Pablo,36,Movistar Team,,5,6:20:07,None,2012
99,99,0,FARRAR Tyler,27,Team Garmin - Barracuda,,5,6:20:07,None,2012
100,100,0,BODNAR Maciej,27,Liquigas - Cannondale,,5,6:20:07,None,2012
101,101,0,MARYCZ Jarosław,24,Team Saxo Bank - Tinkoff Bank,,5,6:20:07,None,2012
102,102,0,AAEN JØRGENSEN Jonas,25,Team Saxo Bank - Tinkoff Bank,,5,6:20:07,None,2012
103,103,0,LUND Anders,27,Team Saxo Bank - Tinkoff Bank,,5,6:20:07,None,2012
104,104,0,ROLLIN Dominique,29,FDJ - BigMat,,5,6:20:07,None,2012
