,rank,bib,rider,age,team,uci,point,time,stage,year
1,1,0,BOONEN Tom,31,Omega Pharma - Quick-Step,100,275,6:04:33,None,2012
2,2,0,POZZATO Filippo,30,Farnese Vini-Neri-Sottoli,80,200,6:04:33,None,2012
3,3,0,BALLAN Alessandro,32,BMC Racing Team,70,150,6:04:34,None,2012
4,4,0,VAN AVERMAET Greg,26,BMC Racing Team,60,120,6:05:11,None,2012
5,5,0,SAGAN Peter,22,Liquigas - Cannondale,50,100,6:05:11,None,2012
6,6,0,TERPSTRA Niki,27,Omega Pharma - Quick-Step,40,90,6:05:11,None,2012
7,7,0,PAOLINI Luca,35,Team Katusha ,30,80,6:05:11,None,2012
8,8,0,VOECKLER Thomas,32,Team Europcar,20,70,6:05:11,None,2012
9,9,0,BRESCHEL Matti,27,Rabobank Cycling Team,10,60,6:05:11,None,2012
10,10,0,CHAVANEL Sylvain,32,Omega Pharma - Quick-Step,4,50,6:05:11,None,2012
11,11,0,RAST Grégory,32,RadioShack - Nissan,,46,6:05:11,None,2012
12,12,0,FREIRE Óscar,36,Team Katusha ,,42,6:05:11,None,2012
13,13,0,SABATINI Fabio,27,Liquigas - Cannondale,,38,6:05:11,None,2012
14,14,0,LEUKEMANS Björn,34,Vacansoleil - DCM,,34,6:05:11,None,2012
15,15,0,KRISTOFF Alexander,24,Team Katusha ,,30,6:05:11,None,2012
16,16,0,LADAGNOUS Matthieu,27,FDJ - BigMat,,28,6:05:11,None,2012
17,17,0,FLORENCIO Xavier,32,Team Katusha ,,26,6:05:11,None,2012
18,18,0,KROON Karsten,36,Team Saxo Bank - Tinkoff Bank,,24,6:05:11,None,2012
19,19,0,BOASSON HAGEN Edvald,24,Sky Procycling,,22,6:05:11,None,2012
20,20,0,FLECHA Juan Antonio,34,Sky Procycling,,20,6:05:11,None,2012
21,21,0,ROULSTON Hayden,31,RadioShack - Nissan,,19,6:05:11,None,2012
22,22,0,FAVILLI Elia,23,Farnese Vini-Neri-Sottoli,,18,6:05:11,None,2012
23,23,0,IGLINSKIY Maxim,30,Astana Pro Team,,17,6:05:11,None,2012
24,24,0,GALLOPIN Tony,23,RadioShack - Nissan,,16,6:05:11,None,2012
25,25,0,WYNANTS Maarten,29,Rabobank Cycling Team,,15,6:05:11,None,2012
26,26,0,TURGOT Sébastien,27,Team Europcar,,14,6:05:11,None,2012
27,27,0,JÉRÔME Vincent,27,Team Europcar,,13,6:05:11,None,2012
28,28,0,SCHÄR Michael,25,BMC Racing Team,,12,6:05:11,None,2012
29,29,0,MARCATO Marco,28,Vacansoleil - DCM,,11,6:05:11,None,2012
30,30,0,HAUSSLER Heinrich,28,Team Garmin - Barracuda,,10,6:05:11,None,2012
31,31,0,KEUKELEIRE Jens,23,Orica GreenEDGE,,9,6:05:11,None,2012
32,32,0,CHAINEL Steve,28,FDJ - BigMat,,8,6:05:11,None,2012
33,33,0,MONDORY Lloyd,29,AG2R La Mondiale,,7,6:05:11,None,2012
34,34,0,HONDO Danilo,38,Lampre - ISD,,6,6:05:11,None,2012
35,35,0,JUODVALKIS Egidijus,23,Landbouwkrediet - Euphony,,5,6:05:11,None,2012
36,36,0,BURGHARDT Marcus,28,BMC Racing Team,,5,6:05:11,None,2012
37,37,0,HOSTE Leif,34,Accent.jobs – Willems Veranda’s,,5,6:05:11,None,2012
38,38,0,HULSMANS Kevin,33,Farnese Vini-Neri-Sottoli,,5,6:05:11,None,2012
39,39,0,MURAVYEV Dmitriy,32,Astana Pro Team,,5,6:05:11,None,2012
40,40,0,VANDENBERGH Stijn,27,Omega Pharma - Quick-Step,,5,6:05:11,None,2012
41,41,0,LARSSON Gustav Erik,31,Vacansoleil - DCM,,5,6:05:11,None,2012
42,42,0,DE WAELE Bert,36,Landbouwkrediet - Euphony,,5,6:05:11,None,2012
43,43,0,FAILLI Francesco,28,Farnese Vini-Neri-Sottoli,,5,6:05:11,None,2012
44,44,0,AMADOR Andrey,25,Movistar Team,,5,6:05:11,None,2012
45,45,0,GATTO Oscar,27,Farnese Vini-Neri-Sottoli,,5,6:05:11,None,2012
46,46,0,DEVENYNS Dries,28,Omega Pharma - Quick-Step,,5,6:05:11,None,2012
47,47,0,TOSATTO Matteo,37,Team Saxo Bank - Tinkoff Bank,,5,6:05:21,None,2012
48,48,0,VANMARCKE Sep,23,Team Garmin - Barracuda,,5,6:05:21,None,2012
49,49,0,VANSUMMEREN Johan,31,Team Garmin - Barracuda,,5,6:05:39,None,2012
50,50,0,MINARD Sébastien,29,AG2R La Mondiale,,5,6:05:51,None,2012
51,51,0,JACOBS Pieter,25,Topsport Vlaanderen - Mercator,,5,6:07:59,None,2012
52,52,0,HINCAPIE George,38,BMC Racing Team,,5,6:07:59,None,2012
53,53,0,TANKINK Bram,33,Rabobank Cycling Team,,5,6:07:59,None,2012
54,54,0,EISEL Bernhard,31,Sky Procycling,,5,6:07:59,None,2012
