,rank,bib,rider,age,team,uci,point,time,stage,year
88,88,183,CAPIOT Amaury,24,Sport Vlaanderen - Baloise,,5,6:34:37,None,2018
89,89,16,PFINGSTEN Christoph,30,BORA - hansgrohe,,5,6:35:56,None,2018
90,90,215,PEYSKENS Dimitri,26,WB Aqua Protect Veranclassic ,,5,6:35:56,None,2018
91,91,185,DECLERCQ Benjamin,24,Sport Vlaanderen - Baloise,,5,6:35:56,None,2018
92,92,15,SAGAN Juraj,29,BORA - hansgrohe,,5,6:35:56,None,2018
93,93,164,MULLEN Ryan,23,Trek - Segafredo,,5,6:35:56,None,2018
94,94,229,VAN SCHIP Jan-Willem,23,Roompot - Nederlandse Loterij,,5,6:35:56,None,2018
95,95,127,VENTER Jaco,31,Team Dimension Data,,5,6:35:56,None,2018
96,96,123,DOUGALL Nic,25,Team Dimension Data,,5,6:35:56,None,2018
97,97,97,SINKELDAM Ramon,29,Groupama - FDJ,,5,6:35:56,None,2018
98,98,52,BRESCHEL Matti,33,Team EF Education First-Drapac p/b Cannondale,,5,6:35:56,None,2018
99,99,104,EDMONDSON Alex,24,Mitchelton-Scott,,5,6:35:56,None,2018
100,100,55,PHINNEY Taylor,27,Team EF Education First-Drapac p/b Cannondale,,5,6:35:56,None,2018
101,101,135,PLANCKAERT Baptiste,29,Team Katusha Alpecin,,5,6:35:56,None,2018
102,102,212,JULES Justin,31,WB Aqua Protect Veranclassic ,,5,6:35:56,None,2018
103,103,244,LEMOINE Cyril,35,"Cofidis, Solutions Crédits",,5,6:35:56,None,2018
104,104,193,STEELS Stijn,28,Vérandas Willems-Crelan ,,5,6:35:56,None,2018
