,rank,bib,rider,age,team,uci,point,time,stage,year
1,1,141,CANCELLARA Fabian,32,RadioShack - Leopard,100,275,6:06:01,None,2013
2,2,51,SAGAN Peter,23,Cannondale Pro Cycling Team,80,200,6:07:28,None,2013
3,3,111,ROELANDTS Jürgen,27,Lotto Belisol Team,70,150,6:07:30,None,2013
4,4,94,KRISTOFF Alexander,25,Team Katusha ,60,120,6:07:40,None,2013
5,5,77,LADAGNOUS Matthieu,28,FDJ,50,100,6:07:40,None,2013
6,6,214,HAUSSLER Heinrich,29,IAM Cycling,40,90,6:07:40,None,2013
7,7,48,VAN AVERMAET Greg,27,BMC Racing Team,30,80,6:07:40,None,2013
8,8,227,TURGOT Sébastien,28,Team Europcar,20,70,6:07:40,None,2013
9,9,164,DEGENKOLB John,24,Team Argos - Shimano,10,60,6:07:40,None,2013
10,10,135,LANGEVELD Sebastian,28,Orica GreenEDGE,4,50,6:07:40,None,2013
11,11,31,BOOM Lars,27,Blanco Pro Cycling Team,,46,6:07:40,None,2013
12,12,44,OSS Daniel,26,BMC Racing Team,,42,6:07:40,None,2013
13,13,2,CHAVANEL Sylvain,33,Omega Pharma - Quick-Step,,38,6:07:40,None,2013
14,14,8,VANDENBERGH Stijn,28,Omega Pharma - Quick-Step,,34,6:07:40,None,2013
15,15,256,GATTO Oscar,28,Vini Fantini,,30,6:07:40,None,2013
16,16,78,OFFREDO Yoann,26,FDJ,,28,6:07:40,None,2013
17,17,151,BOASSON HAGEN Edvald,25,Sky Procycling,,26,6:07:40,None,2013
18,18,184,LEUKEMANS Björn,35,Vacansoleil - DCM,,24,6:07:40,None,2013
19,19,225,JÉRÔME Vincent,28,Team Europcar,,22,6:07:40,None,2013
20,20,88,VANSUMMEREN Johan,32,Garmin Sharp,,20,6:07:40,None,2013
21,21,181,FLECHA Juan Antonio,35,Vacansoleil - DCM,,19,6:07:40,None,2013
22,22,42,BURGHARDT Marcus,29,BMC Racing Team,,18,6:07:40,None,2013
23,23,96,PAOLINI Luca,36,Team Katusha ,,17,6:07:49,None,2013
24,24,74,DÉMARE Arnaud,21,FDJ,,16,6:08:31,None,2013
25,25,172,BRESCHEL Matti,28,Team Saxo - Tinkoff,,15,6:08:50,None,2013
26,26,215,HINAULT Sébastien,39,IAM Cycling,,14,6:08:50,None,2013
27,27,114,DEBUSSCHERE Jens,23,Lotto Belisol Team,,13,6:08:50,None,2013
28,28,237,VOSS Paul,27,Team NetApp – Endura,,12,6:08:50,None,2013
29,29,36,VANMARCKE Sep,24,Blanco Pro Cycling Team,,11,6:08:50,None,2013
30,30,14,CHAINEL Steve,29,AG2R La Mondiale,,10,6:08:50,None,2013
31,31,208,VANTOMME Maxime,27,Crelan-Euphony,,9,6:08:50,None,2013
32,32,47,SCHÄR Michael,26,BMC Racing Team,,8,6:08:50,None,2013
33,33,212,ELMIGER Martin,34,IAM Cycling,,7,6:08:50,None,2013
34,34,26,IGLINSKIY Maxim,31,Astana Pro Team,,6,6:08:50,None,2013
35,35,228,VOECKLER Thomas,33,Team Europcar,,5,6:08:50,None,2013
36,36,6,ŠTYBAR Zdeněk,27,Omega Pharma - Quick-Step,,5,6:08:50,None,2013
37,37,54,KOREN Kristijan,26,Cannondale Pro Cycling Team,,5,6:08:50,None,2013
38,38,22,BOŽIČ Borut,32,Astana Pro Team,,5,6:08:50,None,2013
39,39,27,MURAVYEV Dmitriy,33,Astana Pro Team,,5,6:08:50,None,2013
40,40,4,KWIATKOWSKI Michał,22,Omega Pharma - Quick-Step,,5,6:08:50,None,2013
41,41,158,THOMAS Geraint,26,Sky Procycling,,5,6:08:50,None,2013
42,42,148,RAST Grégory,33,RadioShack - Leopard,,5,6:08:50,None,2013
43,43,38,WYNANTS Maarten,30,Blanco Pro Cycling Team,,5,6:10:57,None,2013
44,44,107,POZZATO Filippo,31,Lampre - Merida,,5,6:10:57,None,2013
45,45,127,VENTOSO Francisco José,30,Movistar Team,,5,6:11:41,None,2013
46,46,82,FARRAR Tyler,28,Garmin Sharp,,5,6:11:57,None,2013
47,47,257,HULSMANS Kevin,34,Vini Fantini,,5,6:11:57,None,2013
48,48,211,BANDIERA Marco,28,IAM Cycling,,5,6:11:57,None,2013
49,49,56,SABATINI Fabio,28,Cannondale Pro Cycling Team,,5,6:11:57,None,2013
50,50,3,KEISSE Iljo,30,Omega Pharma - Quick-Step,,5,6:11:57,None,2013
51,51,115,GREIPEL André,30,Lotto Belisol Team,,5,6:11:57,None,2013
52,52,34,TJALLINGII Maarten,35,Blanco Pro Cycling Team,,5,6:11:57,None,2013
53,53,206,JUODVALKIS Egidijus,24,Crelan-Euphony,,5,6:11:57,None,2013
54,54,17,MINARD Sébastien,30,AG2R La Mondiale,,5,6:11:57,None,2013
55,55,91,FLORENCIO Xavier,33,Team Katusha ,,5,6:11:57,None,2013
56,56,113,WILLEMS Frederik,33,Lotto Belisol Team,,5,6:11:57,None,2013
57,57,46,QUINZIATO Manuel,33,BMC Racing Team,,5,6:11:57,None,2013
58,58,142,DEVOLDER Stijn,33,RadioShack - Leopard,,5,6:11:57,None,2013
59,59,121,AMADOR Andrey,26,Movistar Team,,5,6:11:57,None,2013
60,60,101,CATTANEO Mattia,22,Lampre - Merida,,5,6:13:46,None,2013
