,rank,bib,rider,age,team,uci,point,time,stage,year
61,61,213,GODDAERT Kristof,26,IAM Cycling,,5,6:16:53,None,2013
62,62,232,DOWNING Russell,34,Team NetApp – Endura,,5,6:16:53,None,2013
63,63,178,TOSATTO Matteo,38,Team Saxo - Tinkoff,,5,6:16:53,None,2013
64,64,241,DE VREESE Laurens,24,Topsport Vlaanderen - Baloise,,5,6:16:53,None,2013
65,65,57,BODNAR Maciej,28,Cannondale Pro Cycling Team,,5,6:16:53,None,2013
66,66,23,PONZI Simone,26,Astana Pro Team,,5,6:16:53,None,2013
67,67,92,GUSEV Vladimir,30,Team Katusha ,,5,6:16:53,None,2013
68,68,182,BOLE Grega,27,Vacansoleil - DCM,,5,6:16:53,None,2013
69,69,186,SELVAGGI Mirko,28,Vacansoleil - DCM,,5,6:16:53,None,2013
70,70,217,LARSSON Gustav Erik,32,IAM Cycling,,5,6:16:53,None,2013
71,71,185,LINDEMAN Bert-Jan,23,Vacansoleil - DCM,,5,6:16:53,None,2013
72,72,84,MAASKANT Martijn,29,Garmin Sharp,,5,6:16:53,None,2013
73,73,131,COOKE Baden,34,Orica GreenEDGE,,5,6:16:53,None,2013
74,74,45,LODEWYCK Klaas,25,BMC Racing Team,,5,6:16:53,None,2013
75,75,166,JANSE VAN RENSBURG Reinardt,24,Team Argos - Shimano,,5,6:16:53,None,2013
76,76,167,SINKELDAM Ramon,24,Team Argos - Shimano,,5,6:16:53,None,2013
77,77,205,HOVELIJNCK Kurt,31,Crelan-Euphony,,5,6:19:36,None,2013
78,78,197,VANLANDSCHOOT James,34,Accent.jobs – Wanty,,5,6:19:36,None,2013
79,79,245,VAN ASBROECK Tom,22,Topsport Vlaanderen - Baloise,,5,6:19:36,None,2013
80,80,161,ARNDT Nikias,21,Team Argos - Shimano,,5,6:19:36,None,2013
81,81,162,CURVERS Roy,33,Team Argos - Shimano,,5,6:19:36,None,2013
82,82,244,SALOMEIN Jarl,24,Topsport Vlaanderen - Baloise,,5,6:19:36,None,2013
83,83,81,BAUER Jack,27,Garmin Sharp,,5,6:19:36,None,2013
84,84,138,BEPPU Fumiyuki,29,Orica GreenEDGE,,5,6:19:36,None,2013
85,85,117,BAK Lars Ytting,33,Lotto Belisol Team,,5,6:19:36,None,2013
86,86,53,KING Edward,30,Cannondale Pro Cycling Team,,5,6:19:36,None,2013
87,87,198,VERRAES Benjamin,26,Accent.jobs – Wanty,,5,6:19:36,None,2013
88,88,85,KREDER Raymond,23,Garmin Sharp,,5,6:19:36,None,2013
89,89,112,REYNÉS Vicente,31,Lotto Belisol Team,,5,6:19:36,None,2013
90,90,123,ERVITI Imanol,29,Movistar Team,,5,6:19:36,None,2013
91,91,63,OROZ Juan José,32,Euskaltel - Euskadi,,5,6:19:36,None,2013
92,92,226,VEILLEUX David,25,Team Europcar,,5,6:19:36,None,2013
93,93,155,ROWE Luke,23,Sky Procycling,,5,6:19:36,None,2013
94,94,145,IRIZAR Markel,33,RadioShack - Leopard,,5,6:19:36,None,2013
95,95,165,DE KORT Koen,30,Team Argos - Shimano,,5,6:19:36,None,2013
96,96,37,WAGNER Robert,29,Blanco Pro Cycling Team,,5,6:19:36,None,2013
97,97,35,VAN EMDEN Jos,28,Blanco Pro Cycling Team,,5,6:19:36,None,2013
98,98,75,FISCHER Murilo Antonio,33,FDJ,,5,6:19:36,None,2013
99,99,242,JACOBS Pieter,26,Topsport Vlaanderen - Baloise,,5,6:19:36,None,2013
100,100,93,ISAYCHEV Vladimir,26,Team Katusha ,,5,6:19:36,None,2013
101,101,235,SCHILLINGER Andreas,29,Team NetApp – Endura,,5,6:19:36,None,2013
102,102,176,LUND Anders,28,Team Saxo - Tinkoff,,5,6:19:36,None,2013
103,103,156,STANNARD Ian,25,Sky Procycling,,5,6:19:36,None,2013
104,104,144,HONDO Danilo,39,RadioShack - Leopard,,5,6:19:36,None,2013
105,105,221,THURAU Björn,24,Team Europcar,,5,6:19:36,None,2013
106,106,233,EICHLER Markus,31,Team NetApp – Endura,,5,6:19:36,None,2013
107,107,132,DOCKER Mitchell,26,Orica GreenEDGE,,5,6:19:36,None,2013
108,108,15,HOULE Hugo,22,AG2R La Mondiale,,5,6:19:36,None,2013
109,109,187,VAN POPPEL Boy,25,Vacansoleil - DCM,,5,6:19:36,None,2013
110,110,134,KEUKELEIRE Jens,24,Orica GreenEDGE,,5,6:19:36,None,2013
111,111,83,KLIER Andreas,37,Garmin Sharp,,5,6:19:36,None,2013
112,112,246,VAN HOECKE Gijs,21,Topsport Vlaanderen - Baloise,,5,6:19:36,None,2013
113,113,7,TERPSTRA Niki,28,Omega Pharma - Quick-Step,,5,6:19:36,None,2013
114,114,216,KLEMME Dominic,26,IAM Cycling,,5,6:19:36,None,2013
115,115,183,BOECKMANS Kris,26,Vacansoleil - DCM,,5,6:19:36,None,2013
