,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,6,+1:06,74,SÁNCHEZ Luis León,34,Astana Pro Team,20,30,3:19:59,tour-of-the-alps/2018/stage-4,2018
2,2,7,+1:10,132,BENNETT George,28,Team LottoNL-Jumbo,10,18,3:20:05,tour-of-the-alps/2018/stage-4,2018
3,3,15,+3:27,133,BOUWMAN Koen,24,Team LottoNL-Jumbo,5,12,3:20:10,tour-of-the-alps/2018/stage-4,2018
4,4,1,+0:00,141,PINOT Thibaut,27,Groupama - FDJ,,7,3:20:10,tour-of-the-alps/2018/stage-4,2018
5,5,5,+0:50,31,ARU Fabio,27,UAE-Team Emirates,,4,3:20:10,tour-of-the-alps/2018/stage-4,2018
6,6,2,+0:15,155,POZZOVIVO Domenico,35,Bahrain Merida Pro Cycling Team,,3,3:20:10,tour-of-the-alps/2018/stage-4,2018
7,7,18,+4:34,41,CONCI Nicola,21,Italy,,2,3:20:10,tour-of-the-alps/2018/stage-4,2018
8,8,3,+0:15,71,LÓPEZ Miguel Ángel,24,Astana Pro Team,,1,3:20:10,tour-of-the-alps/2018/stage-4,2018
9,9,11,+2:36,72,BILBAO Pello,28,Astana Pro Team,,,3:20:10,tour-of-the-alps/2018/stage-4,2018
10,10,4,+0:16,1,FROOME Chris,32,Team Sky,,,3:20:10,tour-of-the-alps/2018/stage-4,2018
11,11,9,+1:45,163,CICCONE Giulio,23,Bardiani - CSF,,,3:20:10,tour-of-the-alps/2018/stage-4,2018
12,12,13,+2:42,77,ZEITS Andrey,31,Astana Pro Team,,,3:20:10,tour-of-the-alps/2018/stage-4,2018
13,13,10,+1:55,73,HIRT Jan,27,Astana Pro Team,,,3:20:10,tour-of-the-alps/2018/stage-4,2018
14,14,8,+1:36,116,O'CONNOR Ben,22,Team Dimension Data,,,3:20:10,tour-of-the-alps/2018/stage-4,2018
15,15,30,+14:52,156,VISCONTI Giovanni,35,Bahrain Merida Pro Cycling Team,,,3:20:49,tour-of-the-alps/2018/stage-4,2018
16,16,16,+3:33,153,PADUN Mark,21,Bahrain Merida Pro Cycling Team,,,3:20:49,tour-of-the-alps/2018/stage-4,2018
17,17,55,+33:39,62,EIBEGGER Markus,33,Team Felbermayr - Simplon Wels ,,,3:20:49,tour-of-the-alps/2018/stage-4,2018
18,18,24,+8:31,113,KUDUS Merhawi,24,Team Dimension Data,,,3:20:49,tour-of-the-alps/2018/stage-4,2018
19,19,12,+2:37,176,SCHLEGEL Michal,22,CCC Sprandi Polkowice ,,,3:20:49,tour-of-the-alps/2018/stage-4,2018
20,20,52,+32:40,181,FIRSANOV Sergey,35,Gazprom-RusVelo,,,3:20:49,tour-of-the-alps/2018/stage-4,2018
21,21,21,+6:15,82,BIZKARRA Mikel,28,Euskadi - Murias,,,3:20:49,tour-of-the-alps/2018/stage-4,2018
22,22,19,+4:39,125,MASNADA Fausto,24,Androni Giocattoli - Sidermec,,,3:20:49,tour-of-the-alps/2018/stage-4,2018
23,23,20,+6:12,25,SANTAROMITA Ivan,33,Nippo - Vini Fantini - Europa Ovini,,,3:20:49,tour-of-the-alps/2018/stage-4,2018
24,24,59,+35:08,2,DEIGNAN Philip,34,Team Sky,,,3:20:49,tour-of-the-alps/2018/stage-4,2018
25,25,69,+38:30,121,BALLERINI Davide,23,Androni Giocattoli - Sidermec,,,3:21:17,tour-of-the-alps/2018/stage-4,2018
26,26,14,+3:09,193,HERMANS Ben,31,Israel Cycling Academy,,,3:21:17,tour-of-the-alps/2018/stage-4,2018
27,27,40,+22:16,55,TURRIN Alex,25,Wilier Triestina - Selle Italia,,,3:21:17,tour-of-the-alps/2018/stage-4,2018
28,28,17,+3:53,61,ZOIDL Riccardo,30,Team Felbermayr - Simplon Wels ,,,3:21:17,tour-of-the-alps/2018/stage-4,2018
29,29,26,+11:27,3,ELISSONDE Kenny,26,Team Sky,,,3:21:17,tour-of-the-alps/2018/stage-4,2018
30,30,23,+7:45,21,CUNEGO Damiano,36,Nippo - Vini Fantini - Europa Ovini,,,3:22:34,tour-of-the-alps/2018/stage-4,2018
31,31,46,+25:55,127,TORRES Rodolfo Andrés,31,Androni Giocattoli - Sidermec,,,3:22:34,tour-of-the-alps/2018/stage-4,2018
32,32,44,+23:49,5,HENAO Sebastián,24,Team Sky,,,3:22:34,tour-of-the-alps/2018/stage-4,2018
33,33,34,+16:49,187,VLASOV Aleksandr,21,Gazprom-RusVelo,,,3:23:01,tour-of-the-alps/2018/stage-4,2018
34,34,22,+7:21,114,MEINTJES Louis,26,Team Dimension Data,,,3:23:01,tour-of-the-alps/2018/stage-4,2018
35,35,54,+32:40,52,FLÓREZ Miguel Eduardo,22,Wilier Triestina - Selle Italia,,,3:23:01,tour-of-the-alps/2018/stage-4,2018
36,36,39,+21:58,11,MONTAGUTI Matteo,34,AG2R La Mondiale,,,3:23:01,tour-of-the-alps/2018/stage-4,2018
37,37,35,+20:07,122,BISOLTI Alessandro,33,Androni Giocattoli - Sidermec,,,3:23:01,tour-of-the-alps/2018/stage-4,2018
38,38,37,+20:34,85,ITURRIA Mikel,26,Euskadi - Murias,,,3:23:01,tour-of-the-alps/2018/stage-4,2018
39,39,48,+28:02,57,RAGGIO Luca,23,Wilier Triestina - Selle Italia,,,3:23:01,tour-of-the-alps/2018/stage-4,2018
40,40,42,+23:21,75,STALNOV Nikita,26,Astana Pro Team,,,3:23:05,tour-of-the-alps/2018/stage-4,2018
41,41,27,+11:35,146,REICHENBACH Sébastien,28,Groupama - FDJ,,,3:24:45,tour-of-the-alps/2018/stage-4,2018
42,42,66,+37:58,7,ROSA Diego,29,Team Sky,,,3:25:04,tour-of-the-alps/2018/stage-4,2018
43,43,43,+23:33,101,GROßSCHARTNER Felix,24,BORA - hansgrohe,,,3:25:04,tour-of-the-alps/2018/stage-4,2018
44,44,79,+44:52,183,ARSLANOV Ildar,24,Gazprom-RusVelo,,,3:25:54,tour-of-the-alps/2018/stage-4,2018
45,45,25,+10:01,76,VILLELLA Davide,26,Astana Pro Team,,,3:25:54,tour-of-the-alps/2018/stage-4,2018
46,46,31,+15:21,14,DUPONT Hubert,37,AG2R La Mondiale,,,3:28:08,tour-of-the-alps/2018/stage-4,2018
47,47,47,+25:59,4,DE LA CRUZ David,28,Team Sky,,,3:28:58,tour-of-the-alps/2018/stage-4,2018
48,48,28,+12:56,37,RAVASI Edward,23,UAE-Team Emirates,,,3:29:09,tour-of-the-alps/2018/stage-4,2018
49,49,41,+22:49,34,LAENGEN Vegard Stake,29,UAE-Team Emirates,,,3:29:09,tour-of-the-alps/2018/stage-4,2018
50,50,33,+16:45,162,CARBONI Giovanni,22,Bardiani - CSF,,,3:29:22,tour-of-the-alps/2018/stage-4,2018
51,51,107,+56:37,111,ANTÓN Igor,35,Team Dimension Data,,,3:29:22,tour-of-the-alps/2018/stage-4,2018
52,52,92,+50:37,23,BAGIOLI Nicola,23,Nippo - Vini Fantini - Europa Ovini,,,3:29:22,tour-of-the-alps/2018/stage-4,2018
53,53,76,+42:25,44,COVILI Luca,21,Italy,,,3:29:43,tour-of-the-alps/2018/stage-4,2018
54,54,106,+56:28,53,MOSCA Jacopo,24,Wilier Triestina - Selle Italia,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
55,55,73,+40:49,124,GAVAZZI Francesco,33,Androni Giocattoli - Sidermec,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
56,56,87,+48:07,35,NIEMIEC Przemysław,38,UAE-Team Emirates,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
57,57,112,+59:09,182,KOBERNYAK Evgeny,23,Gazprom-RusVelo,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
58,58,82,+45:56,123,FRAPPORTI Marco,33,Androni Giocattoli - Sidermec,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
59,59,67,+38:20,32,CONTI Valerio,25,UAE-Team Emirates,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
60,60,57,+34:43,154,AGNOLI Valerio,33,Bahrain Merida Pro Cycling Team,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
61,61,111,+58:58,63,FORTIN Filippo,29,Team Felbermayr - Simplon Wels ,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
62,62,85,+46:55,194,DÍAZ José Manuel,23,Israel Cycling Academy,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
63,63,58,+34:51,165,ROTA Lorenzo,22,Bardiani - CSF,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
64,64,110,+57:47,84,BARCELÓ Fernando,22,Euskadi - Murias,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
65,65,65,+37:52,56,VELASCO Simone,22,Wilier Triestina - Selle Italia,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
66,66,36,+20:27,166,SENNI Manuel,26,Bardiani - CSF,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
68,68,98,+52:59,137,VAN HOECKE Gijs,26,Team LottoNL-Jumbo,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
70,70,84,+46:51,64,KRIZEK Matthias,29,Team Felbermayr - Simplon Wels ,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
71,71,95,+51:42,197,TUREK Daniel,25,Israel Cycling Academy,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
72,72,78,+43:37,96,ZIMMERMANN Georg,20,Tirol Cycling Team,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
73,73,80,+45:11,143,LUDVIGSSON Tobias,27,Groupama - FDJ,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
74,74,50,+32:19,42,AMICI Alberto,24,Italy,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
75,75,102,+54:16,47,PICCOT Michel,21,Italy,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
76,76,83,+46:40,24,NAKANE Hideto,27,Nippo - Vini Fantini - Europa Ovini,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
77,77,104,+56:01,46,BERNARDINETTI Marco,26,Italy,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
78,78,103,+55:31,67,SCHLEMMER Lukas,23,Team Felbermayr - Simplon Wels ,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
79,79,105,+56:20,94,SCHINNAGEL Johannes,21,Tirol Cycling Team,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
80,80,45,+23:51,131,BATTAGLIN Enrico,28,Team LottoNL-Jumbo,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
81,81,99,+53:09,172,KOCH Jonas,24,CCC Sprandi Polkowice ,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
82,82,60,+35:15,36,PETILLI Simone,24,UAE-Team Emirates,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
83,83,88,+48:17,6,PUCCIO Salvatore,28,Team Sky,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
84,84,109,+57:44,134,EENKHOORN Pascal,21,Team LottoNL-Jumbo,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
85,85,81,+45:38,105,PFINGSTEN Christoph,30,BORA - hansgrohe,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
86,86,56,+34:37,22,BOU Joan,21,Nippo - Vini Fantini - Europa Ovini,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
87,87,74,+41:20,65,LEHNER Daniel,24,Team Felbermayr - Simplon Wels ,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
88,88,53,+32:40,192,EARLE Nathan,29,Israel Cycling Academy,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
89,89,70,+38:57,66,RABITSCH Stephan,26,Team Felbermayr - Simplon Wels ,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
90,90,49,+32:11,171,ANTUNES Amaro,27,CCC Sprandi Polkowice ,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
91,91,96,+51:42,136,OLIVIER Daan,25,Team LottoNL-Jumbo,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
92,92,51,+32:33,161,ANDREETTA Simone,24,Bardiani - CSF,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
93,93,62,+35:33,54,ZARDINI Edoardo,28,Wilier Triestina - Selle Italia,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
94,94,75,+41:37,112,BERHANE Natnael,27,Team Dimension Data,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
95,95,120,+1:10:47,196,GOLDSTEIN Omer,21,Israel Cycling Academy,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
96,96,117,+1:01:01,177,STOSZ Patryk,23,CCC Sprandi Polkowice ,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
97,97,113,+59:31,86,RODRÍGUEZ Óscar,22,Euskadi - Murias,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
98,98,89,+48:24,184,CHERKASOV Nikolay,21,Gazprom-RusVelo,,,3:31:54,tour-of-the-alps/2018/stage-4,2018
