,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,2,+0:27,53,GEOGHEGAN HART Tao,24,Team Sky,20,30,3:26:32,tour-of-the-alps/2019/stage-4,2019
2,2,4,+0:33,1,NIBALI Vincenzo,34,Bahrain Merida,10,18,3:26:32,tour-of-the-alps/2019/stage-4,2019
3,3,3,+0:31,13,MAJKA Rafał,29,BORA - hansgrohe,5,12,3:26:32,tour-of-the-alps/2019/stage-4,2019
4,4,1,+0:00,55,SIVAKOV Pavel,21,Team Sky,,7,3:26:32,tour-of-the-alps/2019/stage-4,2019
5,5,9,+2:34,52,FROOME Chris,33,Team Sky,,4,3:27:12,tour-of-the-alps/2019/stage-4,2019
6,6,6,+1:03,93,CATTANEO Mattia,28,Androni Giocattoli - Sidermec,,3,3:27:12,tour-of-the-alps/2019/stage-4,2019
7,7,7,+2:04,41,VLASOV Aleksandr,23,Gazprom-RusVelo,,2,3:27:12,tour-of-the-alps/2019/stage-4,2019
8,8,21,+6:47,34,DUPONT Hubert,38,AG2R La Mondiale,,1,3:27:12,tour-of-the-alps/2019/stage-4,2019
9,9,23,+7:20,121,BIZKARRA Mikel,29,Euskadi Basque Country - Murias,,,3:27:12,tour-of-the-alps/2019/stage-4,2019
10,10,5,+0:48,24,HIRT Jan,28,Astana Pro Team,,,3:27:12,tour-of-the-alps/2019/stage-4,2019
11,11,14,+3:41,23,CATALDO Dario,34,Astana Pro Team,,,3:27:15,tour-of-the-alps/2019/stage-4,2019
12,12,8,+2:30,112,CARBONI Giovanni,23,Bardiani - CSF,,,3:27:15,tour-of-the-alps/2019/stage-4,2019
13,13,11,+3:20,125,ITURRIA Mikel,27,Euskadi Basque Country - Murias,,,3:27:15,tour-of-the-alps/2019/stage-4,2019
14,14,10,+2:39,21,BILBAO Pello,29,Astana Pro Team,,,3:27:15,tour-of-the-alps/2019/stage-4,2019
15,15,12,+3:26,27,ZEITS Andrey,32,Astana Pro Team,,,3:27:15,tour-of-the-alps/2019/stage-4,2019
16,16,13,+3:37,95,MASNADA Fausto,25,Androni Giocattoli - Sidermec,,,3:28:34,tour-of-the-alps/2019/stage-4,2019
17,17,30,+13:20,135,VELASCO Simone,23,Neri Sottoli - Selle Italia - KTM,,,3:29:19,tour-of-the-alps/2019/stage-4,2019
18,18,15,+3:48,6,PERNSTEINER Hermann,28,Bahrain Merida,,,3:29:19,tour-of-the-alps/2019/stage-4,2019
19,19,20,+6:40,66,MAISON Jérémy,25,Team Arkéa Samsic,,,3:29:19,tour-of-the-alps/2019/stage-4,2019
20,20,16,+3:55,142,THALMANN Roland,25,Team Vorarlberg Santic,,,3:29:19,tour-of-the-alps/2019/stage-4,2019
21,21,22,+7:13,44,NYCH Artem,24,Gazprom-RusVelo,,,3:29:19,tour-of-the-alps/2019/stage-4,2019
22,22,19,+6:37,26,STALNOV Nikita,27,Astana Pro Team,,,3:29:19,tour-of-the-alps/2019/stage-4,2019
23,23,17,+5:12,37,VUILLERMOZ Alexis,30,AG2R La Mondiale,,,3:29:19,tour-of-the-alps/2019/stage-4,2019
24,24,42,+22:16,67,MOINARD Amaël,37,Team Arkéa Samsic,,,3:29:19,tour-of-the-alps/2019/stage-4,2019
25,25,51,+27:05,33,BOUCHARD Geoffrey,27,AG2R La Mondiale,,,3:29:32,tour-of-the-alps/2019/stage-4,2019
26,26,26,+9:27,73,OSORIO Alejandro,20,Nippo Vini Fantini Faizanè,,,3:30:20,tour-of-the-alps/2019/stage-4,2019
27,27,35,+17:31,51,ELISSONDE Kenny,27,Team Sky,,,3:30:23,tour-of-the-alps/2019/stage-4,2019
28,28,52,+27:32,83,GARCÍA Jhojan,21,Manzana Postobon,,,3:30:30,tour-of-the-alps/2019/stage-4,2019
29,29,25,+9:14,81,REYES Aldemar,24,Manzana Postobon,,,3:30:30,tour-of-the-alps/2019/stage-4,2019
30,30,18,+5:59,94,FLÓREZ Miguel Eduardo,23,Androni Giocattoli - Sidermec,,,3:30:30,tour-of-the-alps/2019/stage-4,2019
31,31,29,+10:24,113,COVILI Luca,22,Bardiani - CSF,,,3:30:30,tour-of-the-alps/2019/stage-4,2019
32,32,62,+35:36,72,SANTAROMITA Ivan,34,Nippo Vini Fantini Faizanè,,,3:30:30,tour-of-the-alps/2019/stage-4,2019
33,33,27,+9:55,134,QUINTANA Dayer,26,Neri Sottoli - Selle Italia - KTM,,,3:30:30,tour-of-the-alps/2019/stage-4,2019
34,34,24,+7:46,132,GABBURO Davide,26,Neri Sottoli - Selle Italia - KTM,,,3:31:31,tour-of-the-alps/2019/stage-4,2019
35,35,55,+31:16,156,WILDAUER Markus,20,Tirol KTM Cycling Team,,,3:32:16,tour-of-the-alps/2019/stage-4,2019
36,36,31,+14:17,187,ZURLO Federico,25,Giotti Victoria - Palomar,,,3:32:19,tour-of-the-alps/2019/stage-4,2019
37,37,33,+16:10,147,DÍAZ José Manuel,24,Team Vorarlberg Santic,,,3:32:19,tour-of-the-alps/2019/stage-4,2019
38,38,54,+31:07,117,SENNI Manuel,27,Bardiani - CSF,,,3:32:19,tour-of-the-alps/2019/stage-4,2019
39,39,61,+34:08,25,GREGAARD Jonas,22,Astana Pro Team,,,3:32:19,tour-of-the-alps/2019/stage-4,2019
40,40,39,+20:14,176,RABITSCH Stephan,27,Team Felbermayr - Simplon Wels ,,,3:32:19,tour-of-the-alps/2019/stage-4,2019
41,41,28,+10:23,103,AMEZQUETA Julen,25,Caja Rural - Seguros RGA,,,3:32:19,tour-of-the-alps/2019/stage-4,2019
42,42,47,+24:26,115,ROMANO Francesco,21,Bardiani - CSF,,,3:32:19,tour-of-the-alps/2019/stage-4,2019
43,43,37,+18:28,86,QUINTERO Carlos,33,Manzana Postobon,,,3:32:19,tour-of-the-alps/2019/stage-4,2019
44,44,49,+26:25,32,BIDARD François,27,AG2R La Mondiale,,,3:32:19,tour-of-the-alps/2019/stage-4,2019
45,45,44,+22:42,97,GAVAZZI Francesco,34,Androni Giocattoli - Sidermec,,,3:32:19,tour-of-the-alps/2019/stage-4,2019
46,46,43,+22:17,35,GASTAUER Ben,31,AG2R La Mondiale,,,3:32:57,tour-of-the-alps/2019/stage-4,2019
47,47,60,+33:43,163,DOUBLE Paul,22,Team Colpack,,,3:32:57,tour-of-the-alps/2019/stage-4,2019
48,48,45,+22:46,101,ARANBURU Alex,23,Caja Rural - Seguros RGA,,,3:32:57,tour-of-the-alps/2019/stage-4,2019
49,49,40,+20:27,14,POLJAŃSKI Paweł,28,BORA - hansgrohe,,,3:33:35,tour-of-the-alps/2019/stage-4,2019
50,50,58,+33:19,43,SHILOV Sergey,31,Gazprom-RusVelo,,,3:33:35,tour-of-the-alps/2019/stage-4,2019
51,51,32,+16:08,45,RYBALKIN Aleksey,25,Gazprom-RusVelo,,,3:33:35,tour-of-the-alps/2019/stage-4,2019
52,52,68,+37:44,131,BONGIORNO Francesco Manuel,28,Neri Sottoli - Selle Italia - KTM,,,3:33:35,tour-of-the-alps/2019/stage-4,2019
53,53,70,+38:44,87,OSORIO Juan Felipe,24,Manzana Postobon,,,3:35:32,tour-of-the-alps/2019/stage-4,2019
54,54,48,+26:07,137,ZARDINI Edoardo,29,Neri Sottoli - Selle Italia - KTM,,,3:35:32,tour-of-the-alps/2019/stage-4,2019
55,55,64,+35:52,145,STÜSSI Colin,25,Team Vorarlberg Santic,,,3:35:32,tour-of-the-alps/2019/stage-4,2019
56,56,34,+17:10,4,GAROSIO Andrea,25,Bahrain Merida,,,3:35:32,tour-of-the-alps/2019/stage-4,2019
57,57,67,+37:21,74,ACOSTA Ruben Dario,22,Nippo Vini Fantini Faizanè,,,3:35:32,tour-of-the-alps/2019/stage-4,2019
58,58,63,+35:49,133,RAGGIO Luca,24,Neri Sottoli - Selle Italia - KTM,,,3:37:50,tour-of-the-alps/2019/stage-4,2019
59,59,89,+56:01,153,EL GOUZI Omar,19,Tirol KTM Cycling Team,,,3:38:06,tour-of-the-alps/2019/stage-4,2019
60,60,38,+19:05,157,ZIMMERMANN Georg,21,Tirol KTM Cycling Team,,,3:38:06,tour-of-the-alps/2019/stage-4,2019
61,61,36,+18:18,22,BOARO Manuele,32,Astana Pro Team,,,3:38:06,tour-of-the-alps/2019/stage-4,2019
62,62,59,+33:40,143,BANZER Gordian,22,Team Vorarlberg Santic,,,3:38:35,tour-of-the-alps/2019/stage-4,2019
63,63,56,+31:27,2,AGNOLI Valerio,34,Bahrain Merida,,,3:38:35,tour-of-the-alps/2019/stage-4,2019
64,64,73,+40:49,76,BAGIOLI Nicola,24,Nippo Vini Fantini Faizanè,,,3:38:35,tour-of-the-alps/2019/stage-4,2019
65,65,76,+45:09,42,SHALUNOV Evgeny,27,Gazprom-RusVelo,,,3:38:35,tour-of-the-alps/2019/stage-4,2019
66,66,46,+23:40,141,SCHELLING Patrick,28,Team Vorarlberg Santic,,,3:38:35,tour-of-the-alps/2019/stage-4,2019
67,67,41,+21:54,5,NIBALI Antonio,26,Bahrain Merida,,,3:38:35,tour-of-the-alps/2019/stage-4,2019
68,68,95,+57:29,123,BAGÜES Aritz,29,Euskadi Basque Country - Murias,,,3:40:09,tour-of-the-alps/2019/stage-4,2019
69,69,65,+36:04,64,GESBERT Élie,23,Team Arkéa Samsic,,,3:40:09,tour-of-the-alps/2019/stage-4,2019
70,70,92,+56:19,63,FEILLU Brice,33,Team Arkéa Samsic,,,3:40:09,tour-of-the-alps/2019/stage-4,2019
71,71,72,+40:06,127,SAMITIER Sergio,23,Euskadi Basque Country - Murias,,,3:40:09,tour-of-the-alps/2019/stage-4,2019
72,72,69,+38:39,114,ORSINI Umberto,24,Bardiani - CSF,,,3:40:09,tour-of-the-alps/2019/stage-4,2019
73,73,53,+29:48,91,BISOLTI Alessandro,34,Androni Giocattoli - Sidermec,,,3:40:09,tour-of-the-alps/2019/stage-4,2019
74,74,80,+48:48,171,BAJC Andi,30,Team Felbermayr - Simplon Wels ,,,3:40:48,tour-of-the-alps/2019/stage-4,2019
75,75,74,+40:59,54,PUCCIO Salvatore,29,Team Sky,,,3:40:48,tour-of-the-alps/2019/stage-4,2019
76,76,86,+53:20,173,KRIZEK Matthias,30,Team Felbermayr - Simplon Wels ,,,3:40:48,tour-of-the-alps/2019/stage-4,2019
77,77,77,+46:39,151,BAYER Tobias,19,Tirol KTM Cycling Team,,,3:40:48,tour-of-the-alps/2019/stage-4,2019
78,78,79,+48:00,85,SUAZA Bernardo,26,Manzana Postobon,,,3:40:48,tour-of-the-alps/2019/stage-4,2019
79,79,75,+44:22,195,CORRADINI Michele,23,Italy,,,3:40:48,tour-of-the-alps/2019/stage-4,2019
80,80,83,+50:21,166,ROCCHETTI Filippo,23,Team Colpack,,,3:40:48,tour-of-the-alps/2019/stage-4,2019
81,81,97,+59:13,164,DURANTI Jalel,25,Team Colpack,,,3:40:48,tour-of-the-alps/2019/stage-4,2019
82,82,82,+49:41,197,TIZZA Marco,27,Italy,,,3:40:48,tour-of-the-alps/2019/stage-4,2019
83,83,66,+36:41,162,BOTTA Davide,22,Team Colpack,,,3:42:02,tour-of-the-alps/2019/stage-4,2019
84,84,57,+32:22,116,SAVINI Daniel,21,Bardiani - CSF,,,3:43:25,tour-of-the-alps/2019/stage-4,2019
85,85,78,+47:48,106,NICOLAU Joel,21,Caja Rural - Seguros RGA,,,3:43:25,tour-of-the-alps/2019/stage-4,2019
86,86,84,+50:49,124,LÓPEZ-CÓZAR Juan Antonio,24,Euskadi Basque Country - Murias,,,3:43:25,tour-of-the-alps/2019/stage-4,2019
87,87,71,+38:57,126,BARCELÓ Fernando,23,Euskadi Basque Country - Murias,,,3:43:25,tour-of-the-alps/2019/stage-4,2019
88,88,96,+58:59,105,CUADROS Álvaro,24,Caja Rural - Seguros RGA,,,3:43:25,tour-of-the-alps/2019/stage-4,2019
89,89,99,+59:38,167,TONIATTI Andrea,26,Team Colpack,,,3:45:12,tour-of-the-alps/2019/stage-4,2019
90,90,107,+1:02:16,47,KOBERNYAK Evgeny,24,Gazprom-RusVelo,,,3:45:12,tour-of-the-alps/2019/stage-4,2019
91,91,85,+52:21,92,BUSATO Matteo,31,Androni Giocattoli - Sidermec,,,3:45:12,tour-of-the-alps/2019/stage-4,2019
92,92,100,+1:01:07,75,CIMA Damiano,25,Nippo Vini Fantini Faizanè,,,3:45:12,tour-of-the-alps/2019/stage-4,2019
93,93,109,+1:05:00,15,SAGAN Juraj,30,BORA - hansgrohe,,,3:45:12,tour-of-the-alps/2019/stage-4,2019
94,94,94,+56:58,16,SCHILLINGER Andreas,35,BORA - hansgrohe,,,3:45:12,tour-of-the-alps/2019/stage-4,2019
95,95,88,+55:32,186,VULCAN Denis Marian,19,Giotti Victoria - Palomar,,,3:45:12,tour-of-the-alps/2019/stage-4,2019
96,96,102,+1:01:34,3,WANG Meiyin,30,Bahrain Merida,,,3:45:12,tour-of-the-alps/2019/stage-4,2019
97,97,112,+1:12:42,56,BASSO Leonardo,25,Team Sky,,,3:45:12,tour-of-the-alps/2019/stage-4,2019
98,98,98,+59:27,174,LEHNER Daniel,25,Team Felbermayr - Simplon Wels ,,,3:45:12,tour-of-the-alps/2019/stage-4,2019
99,99,90,+56:14,146,KUEN Maximilian,26,Team Vorarlberg Santic,,,3:45:12,tour-of-the-alps/2019/stage-4,2019
100,100,106,+1:02:05,182,DIMA Emil,22,Giotti Victoria - Palomar,,,3:45:12,tour-of-the-alps/2019/stage-4,2019
