,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,5,+0:10,0,CUNEGO Damiano,30,Lampre - ISD,20,30,3:59:30,tour-of-the-alps/2012/stage-2,2012
2,2,3,+0:07,0,BETANCUR Carlos,22,Acqua & Sapone,14,18,3:59:30,tour-of-the-alps/2012/stage-2,2012
3,3,2,+0:03,0,KREUZIGER Roman,25,Astana Pro Team,8,12,3:59:30,tour-of-the-alps/2012/stage-2,2012
4,4,7,+0:19,0,CAPECCHI Eros,25,Liquigas - Cannondale,7,7,3:59:33,tour-of-the-alps/2012/stage-2,2012
5,5,6,+0:16,0,REDA Francesco,29,Acqua & Sapone,6,4,3:59:33,tour-of-the-alps/2012/stage-2,2012
6,6,11,+0:52,0,DUPONT Hubert,31,AG2R La Mondiale,5,3,3:59:33,tour-of-the-alps/2012/stage-2,2012
7,7,1,+0:00,0,FRANK Mathias,25,BMC Racing Team,4,2,3:59:33,tour-of-the-alps/2012/stage-2,2012
8,8,12,+0:55,0,DE MAAR Marc,28,UnitedHealthcare Presented by Maxxis,2,1,3:59:39,tour-of-the-alps/2012/stage-2,2012
9,9,13,+1:00,0,BISOLTI Alessandro,27,Team Idea,,,3:59:39,tour-of-the-alps/2012/stage-2,2012
10,10,9,+0:29,0,HUZARSKI Bartosz,31,Team Netapp,,,3:59:39,tour-of-the-alps/2012/stage-2,2012
11,11,14,+1:01,0,ROCHE Nicolas,27,AG2R La Mondiale,,,3:59:42,tour-of-the-alps/2012/stage-2,2012
12,12,4,+0:09,0,PINOTTI Marco,36,BMC Racing Team,,,3:59:42,tour-of-the-alps/2012/stage-2,2012
13,13,10,+0:34,0,SCARPONI Michele,32,Lampre - ISD,,,3:59:44,tour-of-the-alps/2012/stage-2,2012
14,14,8,+0:27,0,RUBIANO Miguel Angel,27,Androni Giocattoli - Venezuela,,,3:59:44,tour-of-the-alps/2012/stage-2,2012
15,15,29,+2:12,0,GADRET John,32,AG2R La Mondiale,,,3:59:51,tour-of-the-alps/2012/stage-2,2012
16,16,21,+1:27,0,SARMIENTO Cayetano José,25,Liquigas - Cannondale,,,3:59:51,tour-of-the-alps/2012/stage-2,2012
17,17,16,+1:04,0,AGNOLI Valerio,27,Liquigas - Cannondale,,,4:00:18,tour-of-the-alps/2012/stage-2,2012
18,18,15,+1:03,0,POZZOVIVO Domenico,29,Colnago CSF Bardiani,,,4:00:23,tour-of-the-alps/2012/stage-2,2012
19,19,17,+1:21,0,RUJANO José Humberto,30,Androni Giocattoli - Venezuela,,,4:00:39,tour-of-the-alps/2012/stage-2,2012
20,20,18,+1:21,0,SERPA José Rodolfo,33,Androni Giocattoli - Venezuela,,,4:00:39,tour-of-the-alps/2012/stage-2,2012
21,21,20,+1:25,0,SZMYD Sylwester,34,Liquigas - Cannondale,,,4:00:39,tour-of-the-alps/2012/stage-2,2012
22,22,19,+1:21,0,SELLA Emanuele,31,Androni Giocattoli - Venezuela,,,4:00:39,tour-of-the-alps/2012/stage-2,2012
23,23,28,+2:08,0,ATAPUMA Darwin,24,Colombia - Coldeportes,,,4:00:39,tour-of-the-alps/2012/stage-2,2012
24,24,23,+1:56,0,VILA Francisco Javier,36,Utensilnord - Named,,,4:00:52,tour-of-the-alps/2012/stage-2,2012
25,25,39,+3:45,0,SALERNO Cristiano,27,Liquigas - Cannondale,,,4:00:59,tour-of-the-alps/2012/stage-2,2012
26,26,30,+2:18,0,MONTAGUTI Matteo,28,AG2R La Mondiale,,,4:00:59,tour-of-the-alps/2012/stage-2,2012
27,27,22,+1:43,0,PIRAZZI Stefano,25,Colnago CSF Bardiani,,,4:01:03,tour-of-the-alps/2012/stage-2,2012
28,28,25,+2:01,0,NIEMIEC Przemysław,32,Lampre - ISD,,,4:01:11,tour-of-the-alps/2012/stage-2,2012
29,29,26,+2:01,0,MARZANO Marco,31,Lampre - ISD,,,4:01:11,tour-of-the-alps/2012/stage-2,2012
30,30,27,+2:06,0,BASSO Ivan,34,Liquigas - Cannondale,,,4:01:20,tour-of-the-alps/2012/stage-2,2012
31,31,32,+2:34,0,ROLLAND Pierre,25,Team Europcar,,,4:01:20,tour-of-the-alps/2012/stage-2,2012
32,32,31,+2:32,0,OCHOA Carlos José,31,Androni Giocattoli - Venezuela,,,4:01:20,tour-of-the-alps/2012/stage-2,2012
33,33,33,+2:34,0,GAUTIER Cyril,24,Team Europcar,,,4:01:20,tour-of-the-alps/2012/stage-2,2012
34,34,34,+2:39,0,BONNAFOND Guillaume,24,AG2R La Mondiale,,,4:01:20,tour-of-the-alps/2012/stage-2,2012
35,35,24,+1:57,0,TIRALONGO Paolo,34,Astana Pro Team,,,4:01:20,tour-of-the-alps/2012/stage-2,2012
36,36,36,+3:14,0,BOILY David,21,Spidertech Powered by C10,,,4:02:04,tour-of-the-alps/2012/stage-2,2012
37,37,54,+5:39,0,COMINELLI Cristian,23,Team Idea,,,4:02:09,tour-of-the-alps/2012/stage-2,2012
38,38,35,+3:05,0,PAGANI Angelo,23,Colnago CSF Bardiani,,,4:02:25,tour-of-the-alps/2012/stage-2,2012
39,39,37,+3:41,0,RABOTTINI Matteo,24,Farnese Vini-Neri-Sottoli,,,4:02:25,tour-of-the-alps/2012/stage-2,2012
40,40,44,+4:00,0,BUTLER Chris,24,Champion System Pro Cycling Team,,,4:02:41,tour-of-the-alps/2012/stage-2,2012
41,41,48,+4:26,0,FRAPPORTI Marco,27,Team Idea,,,4:03:05,tour-of-the-alps/2012/stage-2,2012
42,42,38,+3:42,0,SEELDRAEYERS Kevin,25,Astana Pro Team,,,4:03:05,tour-of-the-alps/2012/stage-2,2012
