,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,2,+0:07,61,PINOT Thibaut,26,FDJ,20,30,5:13:01,tour-of-the-alps/2017/stage-5,2017
2,2,11,+1:49,35,BOOKWALTER Brent,33,BMC Racing Team,10,18,5:13:01,tour-of-the-alps/2017/stage-5,2017
3,3,1,+0:00,5,THOMAS Geraint,30,Team Sky,5,12,5:13:01,tour-of-the-alps/2017/stage-5,2017
4,4,3,+0:20,11,POZZOVIVO Domenico,34,AG2R La Mondiale,,7,5:13:01,tour-of-the-alps/2017/stage-5,2017
5,5,6,+0:52,55,ROLLAND Pierre,30,Cannondale-Drapac Pro Cycling Team,,4,5:13:03,tour-of-the-alps/2017/stage-5,2017
6,6,4,+0:27,21,SCARPONI Michele,37,Astana Pro Team,,3,5:13:03,tour-of-the-alps/2017/stage-5,2017
7,7,9,+1:02,72,BERNAL Egan,20,Androni - Sidermec - Bottecchia,,2,5:13:03,tour-of-the-alps/2017/stage-5,2017
8,8,8,+0:54,176,CELANO Danilo,27,Italy,,1,5:13:03,tour-of-the-alps/2017/stage-5,2017
9,9,5,+0:42,1,LANDA Mikel,27,Team Sky,,,5:13:03,tour-of-the-alps/2017/stage-5,2017
10,10,7,+0:54,43,BUCHMANN Emanuel,24,BORA - hansgrohe,,,5:13:03,tour-of-the-alps/2017/stage-5,2017
11,11,13,+2:18,101,PARDILLA Sergio,33,Caja Rural - Seguros RGA,,,5:13:03,tour-of-the-alps/2017/stage-5,2017
12,12,10,+1:16,73,TORRES Rodolfo Andrés,30,Androni - Sidermec - Bottecchia,,,5:13:08,tour-of-the-alps/2017/stage-5,2017
13,13,19,+4:46,32,DENNIS Rohan,26,BMC Racing Team,,,5:13:15,tour-of-the-alps/2017/stage-5,2017
14,14,12,+2:03,14,DUPONT Hubert,36,AG2R La Mondiale,,,5:13:58,tour-of-the-alps/2017/stage-5,2017
15,15,15,+3:35,121,CUNEGO Damiano,35,Nippo - Vini Fantini ,,,5:14:31,tour-of-the-alps/2017/stage-5,2017
16,16,18,+4:42,131,AMEZQUETA Julen,23,Wilier Triestina - Selle Italia,,,5:14:56,tour-of-the-alps/2017/stage-5,2017
17,17,32,+16:03,33,SENNI Manuel,25,BMC Racing Team,,,5:14:56,tour-of-the-alps/2017/stage-5,2017
18,18,17,+4:32,138,RODRÍGUEZ Cristián,22,Wilier Triestina - Selle Italia,,,5:14:56,tour-of-the-alps/2017/stage-5,2017
