,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,1,+0:00,53,GEOGHEGAN HART Tao,24,Team Sky,20,30,3:30:48,tour-of-the-alps/2019/stage-1,2019
2,2,21,+0:14,101,ARANBURU Alex,23,Caja Rural - Seguros RGA,10,18,3:30:48,tour-of-the-alps/2019/stage-1,2019
3,3,2,+0:06,142,THALMANN Roland,25,Team Vorarlberg Santic,5,12,3:30:48,tour-of-the-alps/2019/stage-1,2019
4,4,3,+0:10,21,BILBAO Pello,29,Astana Pro Team,,7,3:30:48,tour-of-the-alps/2019/stage-1,2019
5,5,4,+0:10,26,STALNOV Nikita,27,Astana Pro Team,,4,3:30:48,tour-of-the-alps/2019/stage-1,2019
6,6,5,+0:10,52,FROOME Chris,33,Team Sky,,3,3:30:48,tour-of-the-alps/2019/stage-1,2019
7,7,6,+0:10,41,VLASOV Aleksandr,22,Gazprom-RusVelo,,2,3:30:48,tour-of-the-alps/2019/stage-1,2019
8,8,7,+0:10,13,MAJKA Rafał,29,BORA - hansgrohe,,1,3:30:48,tour-of-the-alps/2019/stage-1,2019
9,9,8,+0:10,112,CARBONI Giovanni,23,Bardiani - CSF,,,3:30:48,tour-of-the-alps/2019/stage-1,2019
10,10,9,+0:10,134,QUINTANA Dayer,26,Neri Sottoli - Selle Italia - KTM,,,3:30:48,tour-of-the-alps/2019/stage-1,2019
11,11,10,+0:10,93,CATTANEO Mattia,28,Androni Giocattoli - Sidermec,,,3:30:48,tour-of-the-alps/2019/stage-1,2019
12,12,11,+0:10,132,GABBURO Davide,26,Neri Sottoli - Selle Italia - KTM,,,3:30:48,tour-of-the-alps/2019/stage-1,2019
13,13,12,+0:10,37,VUILLERMOZ Alexis,30,AG2R La Mondiale,,,3:30:48,tour-of-the-alps/2019/stage-1,2019
14,14,13,+0:10,94,FLÓREZ Miguel Eduardo,23,Androni Giocattoli - Sidermec,,,3:30:48,tour-of-the-alps/2019/stage-1,2019
15,15,14,+0:10,125,ITURRIA Mikel,27,Euskadi Basque Country - Murias,,,3:30:48,tour-of-the-alps/2019/stage-1,2019
16,16,15,+0:10,191,RAVANELLI Simone,23,Italy,,,3:30:48,tour-of-the-alps/2019/stage-1,2019
17,17,16,+0:10,1,NIBALI Vincenzo,34,Bahrain Merida,,,3:30:48,tour-of-the-alps/2019/stage-1,2019
18,18,17,+0:10,51,ELISSONDE Kenny,27,Team Sky,,,3:30:48,tour-of-the-alps/2019/stage-1,2019
19,19,18,+0:10,6,PERNSTEINER Hermann,28,Bahrain Merida,,,3:30:48,tour-of-the-alps/2019/stage-1,2019
20,20,19,+0:10,55,SIVAKOV Pavel,21,Team Sky,,,3:30:48,tour-of-the-alps/2019/stage-1,2019
21,21,20,+0:10,24,HIRT Jan,28,Astana Pro Team,,,3:30:48,tour-of-the-alps/2019/stage-1,2019
22,22,22,+1:16,77,CANOLA Marco,30,Nippo Vini Fantini Faizanè,,,3:31:54,tour-of-the-alps/2019/stage-1,2019
23,23,23,+1:16,27,ZEITS Andrey,32,Astana Pro Team,,,3:31:54,tour-of-the-alps/2019/stage-1,2019
24,24,24,+1:26,16,SCHILLINGER Andreas,35,BORA - hansgrohe,,,3:32:04,tour-of-the-alps/2019/stage-1,2019
