,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,2,+0:09,84,ZARDINI Edoardo,24,Bardiani - CSF Pro Team,20,30,4:25:39,tour-of-the-alps/2014/stage-2,2014
2,2,3,+0:17,31,NIEMIEC Przemysław,34,Lampre - Merida,14,18,4:25:58,tour-of-the-alps/2014/stage-2,2014
3,3,4,+0:23,92,DUARTE Fabio,27,Team Colombia,8,12,4:25:58,tour-of-the-alps/2014/stage-2,2014
4,4,1,+0:00,51,EVANS Cadel,37,BMC Racing Team,7,7,4:25:58,tour-of-the-alps/2014/stage-2,2014
5,5,10,+0:38,11,POZZOVIVO Domenico,31,AG2R La Mondiale,6,4,4:26:02,tour-of-the-alps/2014/stage-2,2014
6,6,6,+0:26,2,ARU Fabio,23,Astana Pro Team,5,3,4:26:05,tour-of-the-alps/2014/stage-2,2014
7,7,15,+0:56,71,PELLIZOTTI Franco,36,Androni Giocattoli - Venezuela,4,2,4:26:15,tour-of-the-alps/2014/stage-2,2014
8,8,14,+0:55,104,FRAILE Omar,23,Caja Rural - Seguros RGA,2,1,4:26:15,tour-of-the-alps/2014/stage-2,2014
9,9,7,+0:31,21,ANTÓN Igor,31,Movistar Team,,,4:26:17,tour-of-the-alps/2014/stage-2,2014
10,10,5,+0:24,151,MACHADO Tiago,28,Team NetApp – Endura,,,4:26:17,tour-of-the-alps/2014/stage-2,2014
11,11,16,+0:57,83,BONGIORNO Francesco Manuel,23,Bardiani - CSF Pro Team,,,4:26:17,tour-of-the-alps/2014/stage-2,2014
12,12,9,+0:38,1,SCARPONI Michele,34,Astana Pro Team,,,4:26:17,tour-of-the-alps/2014/stage-2,2014
13,13,13,+0:53,32,ANACONA Winner,25,Lampre - Merida,,,4:26:28,tour-of-the-alps/2014/stage-2,2014
14,14,11,+0:40,66,SIUTSOU Kanstantsin,31,Team Sky,,,4:26:29,tour-of-the-alps/2014/stage-2,2014
15,15,19,+1:06,124,MEINTJES Louis,22,MTN - Qhubeka,,,4:26:34,tour-of-the-alps/2014/stage-2,2014
16,16,21,+1:14,108,FERNÁNDEZ Rubén,23,Caja Rural - Seguros RGA,,,4:26:34,tour-of-the-alps/2014/stage-2,2014
17,17,20,+1:10,16,DUPONT Hubert,33,AG2R La Mondiale,,,4:26:34,tour-of-the-alps/2014/stage-2,2014
18,18,38,+2:08,5,LANDA Mikel,24,Astana Pro Team,,,4:26:34,tour-of-the-alps/2014/stage-2,2014
19,19,12,+0:49,42,BENNETT George,24,Cannondale ,,,4:26:34,tour-of-the-alps/2014/stage-2,2014
20,20,8,+0:36,56,MORABITO Steve,31,BMC Racing Team,,,4:26:34,tour-of-the-alps/2014/stage-2,2014
21,21,23,+1:18,134,FINETTO Mauro,28,Neri Sottoli,,,4:26:48,tour-of-the-alps/2014/stage-2,2014
22,22,22,+1:15,144,ZAKARIN Ilnur,24,RusVelo,,,4:26:52,tour-of-the-alps/2014/stage-2,2014
23,23,26,+1:22,131,RABOTTINI Matteo,26,Neri Sottoli,,,4:26:52,tour-of-the-alps/2014/stage-2,2014
24,24,18,+1:06,22,CAPECCHI Eros,27,Movistar Team,,,4:26:52,tour-of-the-alps/2014/stage-2,2014
25,25,39,+2:11,146,LAGUTIN Sergey,33,RusVelo,,,4:26:57,tour-of-the-alps/2014/stage-2,2014
26,26,17,+1:04,157,MENDES José,28,Team NetApp – Endura,,,4:26:57,tour-of-the-alps/2014/stage-2,2014
27,27,24,+1:20,141,OVECHKIN Artem,27,RusVelo,,,4:26:57,tour-of-the-alps/2014/stage-2,2014
28,28,32,+1:46,73,ROSA Diego,25,Androni Giocattoli - Venezuela,,,4:27:05,tour-of-the-alps/2014/stage-2,2014
29,29,28,+1:37,127,PARDILLA Sergio,30,MTN - Qhubeka,,,4:27:05,tour-of-the-alps/2014/stage-2,2014
30,30,30,+1:39,123,JANSE VAN RENSBURG Jacques,26,MTN - Qhubeka,,,4:27:07,tour-of-the-alps/2014/stage-2,2014
31,31,33,+1:47,88,PAGANI Angelo,25,Bardiani - CSF Pro Team,,,4:27:07,tour-of-the-alps/2014/stage-2,2014
