,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,2,+3:19,57,SIUTSOU Kanstantsin,30,Sky Procycling,20,30,5:48:07,tour-of-the-alps/2013/stage-2,2013
2,2,7,+4:06,108,SANTAMBROGIO Mauro,28,Vini Fantini,14,18,5:48:11,tour-of-the-alps/2013/stage-2,2013
3,3,5,+3:57,11,NIBALI Vincenzo,28,Astana Pro Team,8,12,5:48:26,tour-of-the-alps/2013/stage-2,2013
4,4,4,+3:48,51,WIGGINS Bradley,32,Sky Procycling,7,7,5:48:26,tour-of-the-alps/2013/stage-2,2013
5,5,13,+5:02,1,POZZOVIVO Domenico,30,AG2R La Mondiale,6,4,5:48:35,tour-of-the-alps/2013/stage-2,2013
6,6,10,+4:38,82,PIRAZZI Stefano,26,Bardiani Valvole - CSF Inox ,5,3,5:48:41,tour-of-the-alps/2013/stage-2,2013
7,7,8,+4:19,13,ARU Fabio,22,Astana Pro Team,4,2,5:48:44,tour-of-the-alps/2013/stage-2,2013
8,8,9,+4:20,17,DYACHENKO Alexandr,29,Astana Pro Team,2,1,5:48:45,tour-of-the-alps/2013/stage-2,2013
9,9,11,+4:49,67,ROLLAND Pierre,26,Team Europcar,,,5:48:52,tour-of-the-alps/2013/stage-2,2013
10,10,14,+5:03,21,EVANS Cadel,36,BMC Racing Team,,,5:48:52,tour-of-the-alps/2013/stage-2,2013
11,11,24,+6:31,83,LOCATELLI Stefano,24,Bardiani Valvole - CSF Inox ,,,5:49:11,tour-of-the-alps/2013/stage-2,2013
12,12,15,+5:34,117,CARDOSO André,28,Caja Rural - Seguros RGA,,,5:49:13,tour-of-the-alps/2013/stage-2,2013
13,13,23,+6:17,132,BUTLER Chris,25,Champion System Pro Cycling Team,,,5:49:13,tour-of-the-alps/2013/stage-2,2013
14,14,12,+4:52,45,NIEMIEC Przemysław,33,Lampre - Merida,,,5:49:14,tour-of-the-alps/2013/stage-2,2013
15,15,16,+5:39,115,GARCÍA Marcos,26,Caja Rural - Seguros RGA,,,5:49:18,tour-of-the-alps/2013/stage-2,2013
16,16,20,+6:10,173,ROVNY Ivan,25,Ceramica Flaminia - Fondriest,,,5:49:40,tour-of-the-alps/2013/stage-2,2013
17,17,18,+5:54,121,REBELLIN Davide,41,CCC Polsat Polkowice,,,5:49:40,tour-of-the-alps/2013/stage-2,2013
18,18,17,+5:51,31,BASSO Ivan,35,Cannondale Pro Cycling Team,,,5:49:40,tour-of-the-alps/2013/stage-2,2013
19,19,19,+6:07,76,ROSA Diego,24,Androni Giocattoli - Venezuela,,,5:50:01,tour-of-the-alps/2013/stage-2,2013
20,20,1,+0:00,5,BOUET Maxime,26,AG2R La Mondiale,,,5:50:30,tour-of-the-alps/2013/stage-2,2013
21,21,22,+6:16,153,KÖNIG Leopold,25,Team NetApp – Endura,,,5:50:30,tour-of-the-alps/2013/stage-2,2013
22,22,25,+6:32,18,KESSIAKOFF Fredrik,32,Astana Pro Team,,,5:50:57,tour-of-the-alps/2013/stage-2,2013
23,23,28,+6:54,15,AGNOLI Valerio,28,Astana Pro Team,,,5:51:19,tour-of-the-alps/2013/stage-2,2013
24,24,30,+7:50,147,PARDILLA Sergio,29,MTN - Qhubeka,,,5:51:37,tour-of-the-alps/2013/stage-2,2013
25,25,29,+7:48,38,WURF Cameron,29,Cannondale Pro Cycling Team,,,5:51:37,tour-of-the-alps/2013/stage-2,2013
26,26,39,+9:41,111,FERNÁNDEZ Rubén,22,Caja Rural - Seguros RGA,,,5:52:26,tour-of-the-alps/2013/stage-2,2013
27,27,38,+8:47,113,TXURRUKA Amets,30,Caja Rural - Seguros RGA,,,5:52:26,tour-of-the-alps/2013/stage-2,2013
28,28,34,+8:27,104,MONSALVE Yonathan,23,Vini Fantini,,,5:52:26,tour-of-the-alps/2013/stage-2,2013
29,29,36,+8:32,71,PELLIZOTTI Franco,35,Androni Giocattoli - Venezuela,,,5:52:26,tour-of-the-alps/2013/stage-2,2013
30,30,31,+8:01,12,TIRALONGO Paolo,35,Astana Pro Team,,,5:52:26,tour-of-the-alps/2013/stage-2,2013
31,31,37,+8:37,25,SANTAROMITA Ivan,28,BMC Racing Team,,,5:52:26,tour-of-the-alps/2013/stage-2,2013
32,32,35,+8:32,78,RUBIANO Miguel Angel,28,Androni Giocattoli - Venezuela,,,5:52:26,tour-of-the-alps/2013/stage-2,2013
33,33,33,+8:04,42,CATTANEO Mattia,22,Lampre - Merida,,,5:52:26,tour-of-the-alps/2013/stage-2,2013
34,34,32,+8:04,41,SCARPONI Michele,33,Lampre - Merida,,,5:52:26,tour-of-the-alps/2013/stage-2,2013
35,35,3,+3:35,165,KOCHETKOV Pavel,27,RusVelo,,,5:53:27,tour-of-the-alps/2013/stage-2,2013
36,36,41,+9:54,7,DUPONT Hubert,32,AG2R La Mondiale,,,5:53:27,tour-of-the-alps/2013/stage-2,2013
37,37,43,+10:02,94,PANTANO Jarlinson,24,Team Colombia,,,5:53:34,tour-of-the-alps/2013/stage-2,2013
38,38,42,+9:55,105,RABOTTINI Matteo,25,Vini Fantini,,,5:53:54,tour-of-the-alps/2013/stage-2,2013
39,39,40,+9:47,158,DE LA CRUZ David,23,Team NetApp – Endura,,,5:54:01,tour-of-the-alps/2013/stage-2,2013
40,40,62,+13:41,91,CORTI Marco,27,Team Colombia,,,5:54:27,tour-of-the-alps/2013/stage-2,2013
41,41,6,+4:02,97,RODRIGUEZ Michael,23,Team Colombia,,,5:54:27,tour-of-the-alps/2013/stage-2,2013
42,42,61,+13:16,101,MONGUZZI Cristiano,27,Vini Fantini,,,5:54:27,tour-of-the-alps/2013/stage-2,2013
43,43,44,+10:23,16,KANGERT Tanel,26,Astana Pro Team,,,5:54:48,tour-of-the-alps/2013/stage-2,2013
44,44,50,+11:55,131,BEYER Chad,26,Champion System Pro Cycling Team,,,5:54:51,tour-of-the-alps/2013/stage-2,2013
45,45,47,+11:07,145,MEINTJES Louis,21,MTN - Qhubeka,,,5:54:54,tour-of-the-alps/2013/stage-2,2013
46,46,45,+10:53,46,SERPA José Rodolfo,34,Lampre - Merida,,,5:55:15,tour-of-the-alps/2013/stage-2,2013
47,47,49,+11:54,166,RYBAKOV Alexander,24,RusVelo,,,5:55:30,tour-of-the-alps/2013/stage-2,2013
48,48,46,+10:57,52,CATALDO Dario,28,Sky Procycling,,,5:55:35,tour-of-the-alps/2013/stage-2,2013
49,49,21,+6:13,174,DAL SANTO Nicola,24,Ceramica Flaminia - Fondriest,,,5:55:55,tour-of-the-alps/2013/stage-2,2013
50,50,48,+11:54,62,BERHANE Natnael,22,Team Europcar,,,5:55:57,tour-of-the-alps/2013/stage-2,2013
51,51,51,+12:08,37,SARMIENTO Cayetano José,26,Cannondale Pro Cycling Team,,,5:55:57,tour-of-the-alps/2013/stage-2,2013
52,52,52,+12:17,167,POMOSHNIKOV Sergey,22,RusVelo,,,5:55:57,tour-of-the-alps/2013/stage-2,2013
53,53,53,+12:25,95,QUINTERO Carlos,27,Team Colombia,,,5:55:57,tour-of-the-alps/2013/stage-2,2013
54,54,54,+12:27,178,ANTUNES Amaro,22,Ceramica Flaminia - Fondriest,,,5:55:57,tour-of-the-alps/2013/stage-2,2013
55,55,26,+6:35,143,JANSE VAN RENSBURG Jacques,25,MTN - Qhubeka,,,5:56:32,tour-of-the-alps/2013/stage-2,2013
56,56,56,+12:56,162,OVECHKIN Artem,26,RusVelo,,,5:56:36,tour-of-the-alps/2013/stage-2,2013
