,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,,,0,VOECKLER Thomas,31,Team Europcar,20,30,4:47:51,tour-of-the-alps/2011/stage-2,2011
2,2,,,0,SCARPONI Michele,31,Lampre - ISD,14,18,4:47:51,tour-of-the-alps/2011/stage-2,2011
3,3,,,0,NIEMIEC Przemysław,31,Lampre - ISD,8,12,4:48:16,tour-of-the-alps/2011/stage-2,2011
4,4,,,0,MORABITO Steve,28,BMC Racing Team,7,7,4:48:16,tour-of-the-alps/2011/stage-2,2011
5,5,,,0,BALIANI Fortunato,36,D'Angelo Antenucci-Nippo Corporation,6,4,4:48:16,tour-of-the-alps/2011/stage-2,2011
6,6,,,0,TIRALONGO Paolo,33,Pro Team Astana,5,3,4:48:16,tour-of-the-alps/2011/stage-2,2011
7,7,,,0,ASCANI Luca,27,D'Angelo Antenucci-Nippo Corporation,4,2,4:48:16,tour-of-the-alps/2011/stage-2,2011
8,8,,,0,SERPA José Rodolfo,32,Androni Giocattoli - Serramenti PVC Diquigiovanni,2,1,4:48:16,tour-of-the-alps/2011/stage-2,2011
9,9,,,0,NIBALI Vincenzo,26,Liquigas - Cannondale,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
10,10,,,0,TABORRE Fabio,25,Acqua & Sapone,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
11,11,,,0,ZABALLA Constantino,32,Miche-Guerciotti ,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
12,12,,,0,SELLA Emanuele,30,Androni Giocattoli - Serramenti PVC Diquigiovanni,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
13,13,,,0,CARUSO Giampaolo,30,Team Katusha ,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
14,14,,,0,KIŠERLOVSKI Robert,24,Pro Team Astana,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
15,15,,,0,RUJANO José Humberto,29,Androni Giocattoli - Serramenti PVC Diquigiovanni,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
16,16,,,0,POZZOVIVO Domenico,28,Colnago - CSF Inox,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
17,17,,,0,MACHADO Tiago,25,RadioShack,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
18,18,,,0,OCHOA Carlos José,30,Androni Giocattoli - Serramenti PVC Diquigiovanni,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
19,19,,,0,SZMYD Sylwester,33,Liquigas - Cannondale,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
20,20,,,0,LOSADA Alberto,29,Team Katusha ,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
21,21,,,0,MUTO Pasquale,30,Miche-Guerciotti ,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
22,22,,,0,CANO Alex,28,Cafe de Colombia - Colombia Es Pasion,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
23,23,,,0,RODRÍGUEZ Jackson,26,Androni Giocattoli - Serramenti PVC Diquigiovanni,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
24,24,,,0,WEGELIUS Charles,32,UnitedHealthcare Presented by Maxxis,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
25,25,,,0,MIHOLJEVIĆ Vladimir,37,Acqua & Sapone,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
26,26,,,0,MENDES José,25,CCC - Polsat - Polkowice,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
27,27,,,0,MARZANO Marco,30,Lampre - ISD,,,4:48:16,tour-of-the-alps/2011/stage-2,2011
28,28,,,0,MASCIARELLI Francesco,24,Pro Team Astana,,,4:48:28,tour-of-the-alps/2011/stage-2,2011
29,29,,,0,BRAMBILLA Gianluca,23,Colnago - CSF Inox,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
30,30,,,0,PIRAZZI Stefano,24,Colnago - CSF Inox,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
31,31,,,0,BAILETTI Paolo,30,De Rosa - Ceramica Flaminia,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
32,32,,,0,KERN Christophe,30,Team Europcar,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
33,33,,,0,PEREZ Jahir,24,,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
34,34,,,0,MERINO Pedro,23,Miche-Guerciotti ,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
35,35,,,0,PLIUȘCHIN Alexandr,24,Team Katusha ,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
36,36,,,0,KERS Koos Jeroen,24,,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
37,37,,,0,CHAVES Esteban,21,Cafe de Colombia - Colombia Es Pasion,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
38,38,,,0,RUBIANO Miguel Angel,26,D'Angelo Antenucci-Nippo Corporation,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
39,39,,,0,CHALAPUD Robinson,27,Cafe de Colombia - Colombia Es Pasion,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
40,40,,,0,PRONI Alessandro,28,Acqua & Sapone,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
41,41,,,0,PANTANO Jarlinson,22,,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
42,42,,,0,AGNOLI Valerio,26,Liquigas - Cannondale,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
43,43,,,0,ŠPILAK Simon,24,Lampre - ISD,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
44,44,,,0,GARZELLI Stefano,37,Acqua & Sapone,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
45,45,,,0,MURAGLIA Giuseppe,31,D'Angelo Antenucci-Nippo Corporation,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
46,46,,,0,ROLLAND Pierre,24,Team Europcar,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
47,47,,,0,DUPONT Hubert,30,AG2R La Mondiale,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
48,48,,,0,KREUZIGER Roman,24,Pro Team Astana,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
49,49,,,0,CODOL Massimo,38,Acqua & Sapone,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
50,50,,,0,DUARTE Fabio,24,Geox-TMC Transformers,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
51,51,,,0,BUTLER Chris,23,BMC Racing Team,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
52,52,,,0,PERGET Mathieu,26,AG2R La Mondiale,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
53,53,,,0,POPOVYCH Yaroslav,31,RadioShack,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
54,54,,,0,MONTAGUTI Matteo,27,AG2R La Mondiale,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
55,55,,,0,VICIOSO Ángel,34,Androni Giocattoli - Serramenti PVC Diquigiovanni,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
56,56,,,0,PETROV Evgeni,32,Pro Team Astana,,,4:49:02,tour-of-the-alps/2011/stage-2,2011
57,57,,,0,FELLINE Fabio,21,Geox-TMC Transformers,,,4:49:36,tour-of-the-alps/2011/stage-2,2011
58,58,,,0,VILLEGAS Juan Pablo,23,Cafe de Colombia - Colombia Es Pasion,,,4:49:36,tour-of-the-alps/2011/stage-2,2011
59,59,,,0,LAVERDE Luis Felipe,31,,,,4:49:36,tour-of-the-alps/2011/stage-2,2011
60,60,,,0,MEIER Christian,26,UnitedHealthcare Presented by Maxxis,,,4:49:36,tour-of-the-alps/2011/stage-2,2011
61,61,,,0,SARMIENTO Cayetano José,24,Acqua & Sapone,,,4:49:36,tour-of-the-alps/2011/stage-2,2011
62,62,,,0,RATTO Daniele,21,Geox-TMC Transformers,,,4:49:36,tour-of-the-alps/2011/stage-2,2011
63,63,,,0,BETANCUR Carlos,21,Acqua & Sapone,,,4:49:36,tour-of-the-alps/2011/stage-2,2011
64,64,,,0,COBO Juan José,30,Geox-TMC Transformers,,,4:50:36,tour-of-the-alps/2011/stage-2,2011
65,65,,,0,MARCZYŃSKI Tomasz,27,CCC - Polsat - Polkowice,,,4:50:36,tour-of-the-alps/2011/stage-2,2011
66,66,,,0,RUTKIEWICZ Marek,29,CCC - Polsat - Polkowice,,,4:50:36,tour-of-the-alps/2011/stage-2,2011
67,67,,,0,ROVNY Ivan,23,RadioShack,,,4:50:36,tour-of-the-alps/2011/stage-2,2011
68,68,,,0,JONES Chris,31,UnitedHealthcare Presented by Maxxis,,,4:50:47,tour-of-the-alps/2011/stage-2,2011
69,69,,,0,GASTAUER Ben,23,AG2R La Mondiale,,,4:50:47,tour-of-the-alps/2011/stage-2,2011
70,70,,,0,DESSEL Cyril,36,AG2R La Mondiale,,,4:50:47,tour-of-the-alps/2011/stage-2,2011
71,71,,,0,SUTHERLAND Rory,29,UnitedHealthcare Presented by Maxxis,,,4:50:47,tour-of-the-alps/2011/stage-2,2011
72,72,,,0,GIRARDI Edoardo,25,De Rosa - Ceramica Flaminia,,,4:50:47,tour-of-the-alps/2011/stage-2,2011
73,73,,,0,JUFRÉ Josep,35,Pro Team Astana,,,4:50:47,tour-of-the-alps/2011/stage-2,2011
74,74,,,0,MORAJKO Jacek,29,CCC - Polsat - Polkowice,,,4:50:47,tour-of-the-alps/2011/stage-2,2011
75,75,,,0,ROCCHETTI Federico,25,De Rosa - Ceramica Flaminia,,,4:50:47,tour-of-the-alps/2011/stage-2,2011
76,76,,,0,LOUBET Julien,26,AG2R La Mondiale,,,4:50:47,tour-of-the-alps/2011/stage-2,2011
77,77,,,0,CANUTI Federico,25,Colnago - CSF Inox,,,4:50:47,tour-of-the-alps/2011/stage-2,2011
78,78,,,0,BRUTT Pavel,29,Team Katusha ,,,4:50:47,tour-of-the-alps/2011/stage-2,2011
79,79,,,0,BODNAR Łukasz,28,CCC - Polsat - Polkowice,,,4:52:11,tour-of-the-alps/2011/stage-2,2011
80,80,,,0,SALERNO Cristiano,26,Liquigas - Cannondale,,,4:53:38,tour-of-the-alps/2011/stage-2,2011
81,81,,,0,SCHUMACHER Stefan,29,Miche-Guerciotti ,,,4:53:38,tour-of-the-alps/2011/stage-2,2011
82,82,,,0,REZA Kévin,22,Team Europcar,,,4:53:38,tour-of-the-alps/2011/stage-2,2011
83,83,,,0,SANO Junya,29,D'Angelo Antenucci-Nippo Corporation,,,4:53:38,tour-of-the-alps/2011/stage-2,2011
84,84,,,0,DE MARCHI Alessandro,24,Androni Giocattoli - Serramenti PVC Diquigiovanni,,,4:53:38,tour-of-the-alps/2011/stage-2,2011
85,85,,,0,KLÖDEN Andreas,35,RadioShack,,,4:53:38,tour-of-the-alps/2011/stage-2,2011
86,86,,,0,SILIN Egor,22,Team Katusha ,,,4:53:38,tour-of-the-alps/2011/stage-2,2011
87,87,,,0,TOROSANTUCCI Davide,29,D'Angelo Antenucci-Nippo Corporation,,,4:53:38,tour-of-the-alps/2011/stage-2,2011
88,88,,,0,CAPECCHI Eros,24,Liquigas - Cannondale,,,4:53:38,tour-of-the-alps/2011/stage-2,2011
89,89,,,0,BÉRARD Julien,23,AG2R La Mondiale,,,4:54:18,tour-of-the-alps/2011/stage-2,2011
90,90,,,0,STORTONI Simone,25,Colnago - CSF Inox,,,4:54:18,tour-of-the-alps/2011/stage-2,2011
91,91,,,0,ARASHIRO Yukiya,26,Team Europcar,,,4:54:18,tour-of-the-alps/2011/stage-2,2011
92,92,,,0,JÉRÔME Vincent,26,Team Europcar,,,4:54:18,tour-of-the-alps/2011/stage-2,2011
93,93,,,0,CHARTEAU Anthony,31,Team Europcar,,,4:54:18,tour-of-the-alps/2011/stage-2,2011
94,94,,,0,HONKISZ Adrian,23,CCC - Polsat - Polkowice,,,4:54:18,tour-of-the-alps/2011/stage-2,2011
95,95,,,0,HORRACH Joan,37,Team Katusha ,,,4:54:18,tour-of-the-alps/2011/stage-2,2011
96,96,,,0,EIJSSEN Yannick,21,BMC Racing Team,,,4:54:18,tour-of-the-alps/2011/stage-2,2011
97,97,,,0,BALLAN Alessandro,31,BMC Racing Team,,,4:54:18,tour-of-the-alps/2011/stage-2,2011
98,98,,,0,ROE Timothy,21,BMC Racing Team,,,4:54:18,tour-of-the-alps/2011/stage-2,2011
99,99,,,0,BONO Matteo,27,Lampre - ISD,,,4:54:18,tour-of-the-alps/2011/stage-2,2011
100,100,,,0,GAIA Michele,25,Miche-Guerciotti ,,,4:54:18,tour-of-the-alps/2011/stage-2,2011
101,101,,,0,BERTOLINI Alessandro,39,Androni Giocattoli - Serramenti PVC Diquigiovanni,,,4:56:09,tour-of-the-alps/2011/stage-2,2011
102,102,,,0,IGNATIEV Mikhail,25,Team Katusha ,,,4:56:14,tour-of-the-alps/2011/stage-2,2011
103,103,,,0,ARGUELYES Arkimedes,22,Team Katusha ,,,4:56:14,tour-of-the-alps/2011/stage-2,2011
104,104,,,0,CADDEO Manuele,25,Colnago - CSF Inox,,,4:56:14,tour-of-the-alps/2011/stage-2,2011
105,105,,,0,VANOTTI Alessandro,30,Liquigas - Cannondale,,,4:56:14,tour-of-the-alps/2011/stage-2,2011
106,106,,,0,WITECKI Mariusz,29,CCC - Polsat - Polkowice,,,4:56:14,tour-of-the-alps/2011/stage-2,2011
107,107,,,0,ZAGORODNII Vladimir,29,Miche-Guerciotti ,,,4:56:14,tour-of-the-alps/2011/stage-2,2011
108,108,,,0,BERNAUDEAU Giovanni,27,Team Europcar,,,4:56:14,tour-of-the-alps/2011/stage-2,2011
109,109,,,0,CAMPAGNARO Simone,24,D'Angelo Antenucci-Nippo Corporation,,,4:56:14,tour-of-the-alps/2011/stage-2,2011
110,110,,,0,SAVINI Filippo,25,Colnago - CSF Inox,,,4:56:14,tour-of-the-alps/2011/stage-2,2011
111,111,,,0,UCHIMA Kohei,22,D'Angelo Antenucci-Nippo Corporation,,,4:56:14,tour-of-the-alps/2011/stage-2,2011
112,112,,,0,JENKINS Max,24,UnitedHealthcare Presented by Maxxis,,,4:56:14,tour-of-the-alps/2011/stage-2,2011
113,113,,,0,FEDI Matteo,22,De Rosa - Ceramica Flaminia,,,4:56:14,tour-of-the-alps/2011/stage-2,2011
114,114,,,0,KRIVTSOV Yuriy,32,AG2R La Mondiale,,,4:56:44,tour-of-the-alps/2011/stage-2,2011
115,115,,,0,RIGHI Daniele,35,Lampre - ISD,,,4:57:31,tour-of-the-alps/2011/stage-2,2011
116,116,,,0,BATEK Dariusz,24,CCC - Polsat - Polkowice,,,4:57:31,tour-of-the-alps/2011/stage-2,2011
117,117,,,0,HUNTER Robert,33,RadioShack,,,4:57:31,tour-of-the-alps/2011/stage-2,2011
118,118,,,0,KOHUT Sławomir,33,Miche-Guerciotti ,,,4:57:31,tour-of-the-alps/2011/stage-2,2011
119,119,,,0,PINIZZOTTO Leonardo,24,Miche-Guerciotti ,,,4:59:05,tour-of-the-alps/2011/stage-2,2011
120,120,,,0,GOUROV Maxim,32,Pro Team Astana,,,4:59:05,tour-of-the-alps/2011/stage-2,2011
121,121,,,0,KING Ben,22,RadioShack,,,4:59:05,tour-of-the-alps/2011/stage-2,2011
122,122,,,0,KVACHUK Oleksandr,27,Lampre - ISD,,,4:59:05,tour-of-the-alps/2011/stage-2,2011
