,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,34,+14:33,42,GROßSCHARTNER Felix,27,BORA - hansgrohe,20,30,3:03:38,tour-of-the-alps/2021/stage-5,2021
2,2,43,+17:45,124,ROCHE Nicolas,36,Team DSM,10,18,3:04:12,tour-of-the-alps/2021/stage-5,2021
3,3,63,+27:15,92,DE MARCHI Alessandro,34,Israel Start-Up Nation,5,12,3:04:12,tour-of-the-alps/2021/stage-5,2021
4,4,23,+10:07,4,MOSCON Gianni,27,INEOS Grenadiers,,7,3:04:18,tour-of-the-alps/2021/stage-5,2021
5,5,14,+4:25,182,OSORIO Alejandro,22,Caja Rural - Seguros RGA,,4,3:04:18,tour-of-the-alps/2021/stage-5,2021
6,6,9,+3:12,121,BARDET Romain,30,Team DSM,,3,3:04:18,tour-of-the-alps/2021/stage-5,2021
7,7,29,+12:05,34,SÁNCHEZ Luis León,37,Astana - Premier Tech,,2,3:04:18,tour-of-the-alps/2021/stage-5,2021
8,8,8,+3:12,63,GUERREIRO Ruben,26,EF Education - Nippo,,1,3:04:18,tour-of-the-alps/2021/stage-5,2021
9,9,72,+31:11,105,PADUN Mark,24,Bahrain - Victorious,,,3:04:18,tour-of-the-alps/2021/stage-5,2021
10,10,12,+3:59,41,FABBRO Matteo,26,BORA - hansgrohe,,,3:04:18,tour-of-the-alps/2021/stage-5,2021
11,11,96,+56:20,126,VANDENABEELE Henri,21,Team DSM,,,3:04:18,tour-of-the-alps/2021/stage-5,2021
12,12,1,+0:00,51,YATES Simon,28,Team BikeExchange,,,3:04:18,tour-of-the-alps/2021/stage-5,2021
13,13,10,+3:36,57,SCHULTZ Nick,26,Team BikeExchange,,,3:04:18,tour-of-the-alps/2021/stage-5,2021
14,14,2,+0:58,101,BILBAO Pello,31,Bahrain - Victorious,,,3:04:18,tour-of-the-alps/2021/stage-5,2021
15,15,3,+1:06,31,VLASOV Aleksandr,25,Astana - Premier Tech,,,3:04:18,tour-of-the-alps/2021/stage-5,2021
16,16,16,+5:01,85,POZZOVIVO Domenico,38,Team Qhubeka ASSOS,,,3:04:18,tour-of-the-alps/2021/stage-5,2021
17,17,11,+3:53,112,BOUCHARD Geoffrey,29,AG2R Citroën Team,,,3:04:18,tour-of-the-alps/2021/stage-5,2021
18,18,7,+2:54,151,QUINTANA Nairo,31,Team Arkéa Samsic,,,3:04:18,tour-of-the-alps/2021/stage-5,2021
19,19,27,+11:38,16,VALTER Attila,22,Groupama - FDJ,,,3:04:18,tour-of-the-alps/2021/stage-5,2021
20,20,5,+2:37,62,CARTHY Hugh,26,EF Education - Nippo,,,3:04:18,tour-of-the-alps/2021/stage-5,2021
21,21,36,+15:43,116,PRODHOMME Nicolas,24,AG2R Citroën Team,,,3:04:18,tour-of-the-alps/2021/stage-5,2021
22,22,17,+6:20,73,DOMBROWSKI Joe,29,UAE-Team Emirates,,,3:04:18,tour-of-the-alps/2021/stage-5,2021
23,23,13,+4:21,3,MARTÍNEZ Daniel Felipe,24,INEOS Grenadiers,,,3:04:25,tour-of-the-alps/2021/stage-5,2021
24,24,6,+2:44,1,SIVAKOV Pavel,23,INEOS Grenadiers,,,3:04:25,tour-of-the-alps/2021/stage-5,2021
25,25,4,+2:25,132,CEPEDA Jefferson Alexander,22,Androni Giocattoli - Sidermec,,,3:04:25,tour-of-the-alps/2021/stage-5,2021
26,26,18,+6:28,201,LIPOWITZ Florian,20,Tirol KTM Cycling Team,,,3:04:50,tour-of-the-alps/2021/stage-5,2021
27,27,15,+4:35,96,MARTIN Dan,34,Israel Start-Up Nation,,,3:04:52,tour-of-the-alps/2021/stage-5,2021
28,28,31,+13:13,97,NIV Guy,27,Israel Start-Up Nation,,,3:05:36,tour-of-the-alps/2021/stage-5,2021
29,29,19,+8:21,22,GHEBREIGZABHIER Amanuel,26,Trek - Segafredo,,,3:05:43,tour-of-the-alps/2021/stage-5,2021
30,30,62,+27:13,94,GOLDSTEIN Omer,24,Israel Start-Up Nation,,,3:05:43,tour-of-the-alps/2021/stage-5,2021
31,31,51,+22:12,137,TESFATSION Natnael,21,Androni Giocattoli - Sidermec,,,3:05:43,tour-of-the-alps/2021/stage-5,2021
32,32,73,+32:20,33,FELLINE Fabio,31,Astana - Premier Tech,,,3:06:52,tour-of-the-alps/2021/stage-5,2021
33,33,28,+12:01,32,PRONSKIY Vadim,22,Astana - Premier Tech,,,3:06:52,tour-of-the-alps/2021/stage-5,2021
34,34,60,+25:35,11,PINOT Thibaut,30,Groupama - FDJ,,,3:06:52,tour-of-the-alps/2021/stage-5,2021
35,35,22,+9:52,114,GALLOPIN Tony,32,AG2R Citroën Team,,,3:06:52,tour-of-the-alps/2021/stage-5,2021
36,36,33,+14:04,113,WARBASSE Larry,30,AG2R Citroën Team,,,3:06:52,tour-of-the-alps/2021/stage-5,2021
37,37,80,+40:00,56,SCOTSON Callum,24,Team BikeExchange,,,3:06:52,tour-of-the-alps/2021/stage-5,2021
38,38,32,+13:30,2,HENAO Sebastián,27,INEOS Grenadiers,,,3:06:52,tour-of-the-alps/2021/stage-5,2021
39,39,25,+10:28,176,FETTER Erik,21,EOLO-Kometa,,,3:07:29,tour-of-the-alps/2021/stage-5,2021
40,40,20,+8:53,104,PERNSTEINER Hermann,30,Bahrain - Victorious,,,3:07:29,tour-of-the-alps/2021/stage-5,2021
41,41,39,+16:33,83,FRANKINY Kilian,27,Team Qhubeka ASSOS,,,3:07:29,tour-of-the-alps/2021/stage-5,2021
42,42,41,+17:28,205,STEINHAUSER Georg,19,Tirol KTM Cycling Team,,,3:07:29,tour-of-the-alps/2021/stage-5,2021
43,43,56,+24:43,181,AMEZQUETA Julen,27,Caja Rural - Seguros RGA,,,3:07:29,tour-of-the-alps/2021/stage-5,2021
44,44,57,+24:49,14,GUGLIELMI Simon,23,Groupama - FDJ,,,3:07:29,tour-of-the-alps/2021/stage-5,2021
45,45,54,+23:58,155,DELAPLACE Anthony,31,Team Arkéa Samsic,,,3:07:29,tour-of-the-alps/2021/stage-5,2021
46,46,86,+47:05,5,PUCCIO Salvatore,31,INEOS Grenadiers,,,3:07:29,tour-of-the-alps/2021/stage-5,2021
47,47,21,+9:48,163,CARBONI Giovanni,25,Bardiani-CSF-Faizanè,,,3:07:29,tour-of-the-alps/2021/stage-5,2021
48,48,45,+18:34,135,RAVANELLI Simone,25,Androni Giocattoli - Sidermec,,,3:07:29,tour-of-the-alps/2021/stage-5,2021
49,49,30,+12:31,115,HÄNNINEN Jaakko,24,AG2R Citroën Team,,,3:07:29,tour-of-the-alps/2021/stage-5,2021
50,50,75,+35:21,102,ARASHIRO Yukiya,36,Bahrain - Victorious,,,3:07:29,tour-of-the-alps/2021/stage-5,2021
51,51,77,+36:50,125,STORER Michael,24,Team DSM,,,3:07:35,tour-of-the-alps/2021/stage-5,2021
52,52,55,+24:33,36,GREGAARD Jonas,24,Astana - Premier Tech,,,3:08:12,tour-of-the-alps/2021/stage-5,2021
53,53,59,+25:09,53,KANGERT Tanel,34,Team BikeExchange,,,3:08:40,tour-of-the-alps/2021/stage-5,2021
54,54,26,+11:20,23,NIBALI Antonio,28,Trek - Segafredo,,,3:08:40,tour-of-the-alps/2021/stage-5,2021
55,55,82,+42:02,122,COMBAUD Romain,30,Team DSM,,,3:10:02,tour-of-the-alps/2021/stage-5,2021
56,56,35,+14:52,47,ZWIEHOFF Ben,27,BORA - hansgrohe,,,3:10:02,tour-of-the-alps/2021/stage-5,2021
57,57,66,+28:23,106,VALLS Rafael,33,Bahrain - Victorious,,,3:10:02,tour-of-the-alps/2021/stage-5,2021
58,58,65,+27:57,165,GABBURO Davide,28,Bardiani-CSF-Faizanè,,,3:10:10,tour-of-the-alps/2021/stage-5,2021
59,59,61,+26:25,164,COVILI Luca,24,Bardiani-CSF-Faizanè,,,3:10:13,tour-of-the-alps/2021/stage-5,2021
60,60,47,+20:52,43,PALZER Anton,28,BORA - hansgrohe,,,3:10:14,tour-of-the-alps/2021/stage-5,2021
61,61,58,+24:59,17,VAN DEN BERG Lars,22,Groupama - FDJ,,,3:10:14,tour-of-the-alps/2021/stage-5,2021
62,62,76,+36:00,35,SOBRERO Matteo,23,Astana - Premier Tech,,,3:10:14,tour-of-the-alps/2021/stage-5,2021
63,63,100,+1:01:16,103,NOVAK Domen,25,Bahrain - Victorious,,,3:10:14,tour-of-the-alps/2021/stage-5,2021
64,64,64,+27:27,141,ZAKARIN Ilnur,31,Gazprom - RusVelo,,,3:10:14,tour-of-the-alps/2021/stage-5,2021
65,65,89,+48:00,153,BOUET Maxime,34,Team Arkéa Samsic,,,3:10:16,tour-of-the-alps/2021/stage-5,2021
66,66,24,+10:17,21,BRAMBILLA Gianluca,33,Trek - Segafredo,,,3:10:16,tour-of-the-alps/2021/stage-5,2021
67,67,67,+28:28,142,SCARONI Cristian,23,Gazprom - RusVelo,,,3:11:46,tour-of-the-alps/2021/stage-5,2021
68,68,50,+21:44,111,BIDARD François,29,AG2R Citroën Team,,,3:12:30,tour-of-the-alps/2021/stage-5,2021
69,69,38,+16:32,71,ARDILA Andrés Camilo,21,UAE-Team Emirates,,,3:12:30,tour-of-the-alps/2021/stage-5,2021
70,70,53,+22:33,145,KOCHETKOV Pavel,35,Gazprom - RusVelo,,,3:13:29,tour-of-the-alps/2021/stage-5,2021
71,71,83,+42:55,131,BISOLTI Alessandro,36,Androni Giocattoli - Sidermec,,,3:13:51,tour-of-the-alps/2021/stage-5,2021
72,72,113,+1:21:02,66,VAN DEN BERG Julius,24,EF Education - Nippo,,,3:13:51,tour-of-the-alps/2021/stage-5,2021
73,73,93,+51:09,93,FROOME Chris,35,Israel Start-Up Nation,,,3:13:51,tour-of-the-alps/2021/stage-5,2021
74,74,37,+16:32,25,SKJELMOSE JENSEN Mattias,20,Trek - Segafredo,,,3:13:51,tour-of-the-alps/2021/stage-5,2021
75,75,48,+20:54,133,CHIRICO Luca,28,Androni Giocattoli - Sidermec,,,3:13:51,tour-of-the-alps/2021/stage-5,2021
76,76,40,+16:55,24,RIES Michel,23,Trek - Segafredo,,,3:13:51,tour-of-the-alps/2021/stage-5,2021
77,77,79,+39:30,136,UMBA Santiago,18,Androni Giocattoli - Sidermec,,,3:13:51,tour-of-the-alps/2021/stage-5,2021
78,78,69,+30:11,167,ZANA Filippo,22,Bardiani-CSF-Faizanè,,,3:13:51,tour-of-the-alps/2021/stage-5,2021
79,79,49,+21:18,91,CATAFORD Alexander,27,Israel Start-Up Nation,,,3:13:51,tour-of-the-alps/2021/stage-5,2021
80,80,78,+38:38,161,BATTAGLIN Enrico,31,Bardiani-CSF-Faizanè,,,3:13:51,tour-of-the-alps/2021/stage-5,2021
81,81,52,+22:14,154,ANACONA Winner,32,Team Arkéa Samsic,,,3:13:51,tour-of-the-alps/2021/stage-5,2021
82,82,68,+28:46,77,MUÑOZ Cristian Camilo,25,UAE-Team Emirates,,,3:13:51,tour-of-the-alps/2021/stage-5,2021
83,83,81,+41:59,162,CAÑAVERAL Johnatan,24,Bardiani-CSF-Faizanè,,,3:13:51,tour-of-the-alps/2021/stage-5,2021
84,84,90,+48:44,175,DINA Márton,25,EOLO-Kometa,,,3:13:51,tour-of-the-alps/2021/stage-5,2021
85,85,46,+19:01,67,VAN GARDEREN Tejay,32,EF Education - Nippo,,,3:13:51,tour-of-the-alps/2021/stage-5,2021
86,86,108,+1:10:00,13,DUCHESNE Antoine,29,Groupama - FDJ,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
87,87,70,+30:33,183,MARTÍN Sergio Roman,24,Caja Rural - Seguros RGA,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
88,88,98,+1:00:11,147,KUZMIN Anton,24,Gazprom - RusVelo,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
89,89,88,+47:37,81,BROWN Connor,22,Team Qhubeka ASSOS,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
90,90,104,+1:07:15,12,LUDVIGSSON Tobias,30,Groupama - FDJ,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
91,91,87,+47:15,52,COLLEONI Kevin,21,Team BikeExchange,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
92,92,91,+49:06,185,BARRENETXEA Jon,21,Caja Rural - Seguros RGA,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
93,93,114,+1:24:33,146,VACEK Mathias,18,Gazprom - RusVelo,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
94,94,105,+1:07:16,44,PÖSTLBERGER Lukas,29,BORA - hansgrohe,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
95,95,103,+1:06:27,173,BAIS Davide,23,EOLO-Kometa,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
96,96,71,+31:08,174,CHRISTIAN Mark,30,EOLO-Kometa,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
97,97,107,+1:09:13,117,VENDRAME Andrea,26,AG2R Citroën Team,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
98,98,95,+55:41,82,DLAMINI Nic,25,Team Qhubeka ASSOS,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
99,99,74,+33:28,166,SAVINI Daniel,23,Bardiani-CSF-Faizanè,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
100,100,106,+1:07:52,202,ENGELHARDT Felix,20,Tirol KTM Cycling Team,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
101,101,115,+1:27:03,204,GOVEKAR Matevž,21,Tirol KTM Cycling Team,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
102,102,109,+1:13:47,61,BARTA Will,25,EF Education - Nippo,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
103,103,44,+18:10,171,RAVASI Edward,26,EOLO-Kometa,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
104,104,97,+59:54,75,MARCATO Marco,37,UAE-Team Emirates,,,3:15:20,tour-of-the-alps/2021/stage-5,2021
