,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,1,+0:00,51,YATES Simon,28,Team BikeExchange,20,30,3:17:42,tour-of-the-alps/2021/stage-2,2021
2,2,2,+0:45,1,SIVAKOV Pavel,23,INEOS Grenadiers,10,18,3:18:23,tour-of-the-alps/2021/stage-2,2021
3,3,3,+1:04,96,MARTIN Dan,34,Israel Start-Up Nation,5,12,3:18:40,tour-of-the-alps/2021/stage-2,2021
4,4,4,+1:08,31,VLASOV Aleksandr,24,Astana - Premier Tech,,7,3:18:40,tour-of-the-alps/2021/stage-2,2021
5,5,5,+1:08,132,CEPEDA Jefferson Alexander,22,Androni Giocattoli - Sidermec,,4,3:18:40,tour-of-the-alps/2021/stage-2,2021
6,6,6,+1:27,123,HINDLEY Jai,24,Team DSM,,3,3:18:59,tour-of-the-alps/2021/stage-2,2021
7,7,7,+1:27,62,CARTHY Hugh,26,EF Education - Nippo,,2,3:18:59,tour-of-the-alps/2021/stage-2,2021
8,8,8,+1:52,57,SCHULTZ Nick,26,Team BikeExchange,,1,3:19:24,tour-of-the-alps/2021/stage-2,2021
9,9,12,+1:52,121,BARDET Romain,30,Team DSM,,,3:19:24,tour-of-the-alps/2021/stage-2,2021
10,10,9,+1:52,63,GUERREIRO Ruben,26,EF Education - Nippo,,,3:19:24,tour-of-the-alps/2021/stage-2,2021
11,11,10,+1:52,101,BILBAO Pello,31,Bahrain - Victorious,,,3:19:24,tour-of-the-alps/2021/stage-2,2021
12,12,13,+1:52,7,SOSA Iván Ramiro,23,INEOS Grenadiers,,,3:19:24,tour-of-the-alps/2021/stage-2,2021
13,13,11,+1:52,151,QUINTANA Nairo,31,Team Arkéa Samsic,,,3:19:24,tour-of-the-alps/2021/stage-2,2021
14,14,14,+2:09,112,BOUCHARD Geoffrey,29,AG2R Citroën Team,,,3:19:41,tour-of-the-alps/2021/stage-2,2021
15,15,16,+2:18,3,MARTÍNEZ Daniel Felipe,24,INEOS Grenadiers,,,3:19:50,tour-of-the-alps/2021/stage-2,2021
16,16,15,+2:18,197,JOHANNESSEN Tobias Halland,21,Uno-X Pro Cycling Team,,,3:19:50,tour-of-the-alps/2021/stage-2,2021
17,17,17,+2:59,21,BRAMBILLA Gianluca,33,Trek - Segafredo,,,3:20:31,tour-of-the-alps/2021/stage-2,2021
18,18,19,+2:59,182,OSORIO Alejandro,22,Caja Rural - Seguros RGA,,,3:20:31,tour-of-the-alps/2021/stage-2,2021
19,19,18,+2:59,22,GHEBREIGZABHIER Amanuel,26,Trek - Segafredo,,,3:20:31,tour-of-the-alps/2021/stage-2,2021
20,20,20,+2:59,55,NIEVE Mikel,36,Team BikeExchange,,,3:20:31,tour-of-the-alps/2021/stage-2,2021
21,21,21,+3:01,23,NIBALI Antonio,28,Trek - Segafredo,,,3:20:33,tour-of-the-alps/2021/stage-2,2021
22,22,29,+3:21,25,SKJELMOSE JENSEN Mattias,20,Trek - Segafredo,,,3:20:53,tour-of-the-alps/2021/stage-2,2021
23,23,32,+3:21,163,CARBONI Giovanni,25,Bardiani-CSF-Faizanè,,,3:20:53,tour-of-the-alps/2021/stage-2,2021
24,24,27,+3:21,171,RAVASI Edward,26,EOLO-Kometa,,,3:20:53,tour-of-the-alps/2021/stage-2,2021
25,25,33,+3:21,174,CHRISTIAN Mark,30,EOLO-Kometa,,,3:20:53,tour-of-the-alps/2021/stage-2,2021
26,26,30,+3:21,176,FETTER Erik,21,EOLO-Kometa,,,3:20:53,tour-of-the-alps/2021/stage-2,2021
27,27,26,+3:21,24,RIES Michel,23,Trek - Segafredo,,,3:20:53,tour-of-the-alps/2021/stage-2,2021
28,28,28,+3:21,41,FABBRO Matteo,26,BORA - hansgrohe,,,3:20:53,tour-of-the-alps/2021/stage-2,2021
29,29,35,+3:21,104,PERNSTEINER Hermann,30,Bahrain - Victorious,,,3:20:53,tour-of-the-alps/2021/stage-2,2021
