,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,,,0,BERTOLINI Alessandro,38,Androni Giocattoli - Serramenti PVC Diquigiovanni,,20,4:02:04,tour-of-the-alps/2010/stage-3,2010
2,2,,,0,PETACCHI Alessandro,36,Lampre - Farnese Vini,,12,4:02:06,tour-of-the-alps/2010/stage-3,2010
3,3,,,0,FERRARI Roberto,27,De Rosa - Stac Plastic,,7,4:02:06,tour-of-the-alps/2010/stage-3,2010
4,4,,,0,LORENZETTO Mirco,28,Lampre - Farnese Vini,,5,4:02:06,tour-of-the-alps/2010/stage-3,2010
5,5,,,0,CLARKE Simon,23,ISD - Neri,,4,4:02:06,tour-of-the-alps/2010/stage-3,2010
6,6,,,0,KHALILOV Mikhaylo,34,Team Katusha ,,3,4:02:06,tour-of-the-alps/2010/stage-3,2010
7,7,,,0,RATTO Daniele,20,Carmiooro - NGC,,2,4:02:06,tour-of-the-alps/2010/stage-3,2010
8,8,,,0,OSS Daniel,23,Liquigas - Doimo,,1,4:02:06,tour-of-the-alps/2010/stage-3,2010
9,9,,,0,GESCHKE Simon,24,Skil - Shimano,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
10,10,,,0,SZCZAWIŃSKI Krzysztof,30,Miche ,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
11,11,,,0,CARUSO Damiano,22,De Rosa - Stac Plastic,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
12,12,,,0,BONNAFOND Guillaume,22,AG2R La Mondiale,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
13,13,,,0,ORTEGA Didac,28,Acqua & Sapone,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
14,14,,,0,GENIEZ Alexandre,22,Skil - Shimano,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
15,15,,,0,CAMUSSA Piergiorgio,28,Vorarlberg-Corratec,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
16,16,,,0,HUZARSKI Bartosz,29,ISD - Neri,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
17,17,,,0,MURN Uroš,35,Adria Mobil,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
18,18,,,0,VINOKOUROV Alexandre,36,Astana,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
19,19,,,0,RICCÒ Riccardo,26,Ceramica Flaminia - Bossini Docce,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
20,20,,,0,ARASHIRO Yukiya,25,Bbox Bouygues Telecom,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
21,21,,,0,BICHOT Freddy,30,Bbox Bouygues Telecom,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
22,22,,,0,SCARPONI Michele,30,Androni Giocattoli - Serramenti PVC Diquigiovanni,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
23,23,,,0,NOSE Tomaž,28,Adria Mobil,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
24,24,,,0,BASSO Ivan,32,Liquigas - Doimo,,,4:02:06,tour-of-the-alps/2010/stage-3,2010
