,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,1,+0:00,0,POZZOVIVO Domenico,29,Colnago CSF Bardiani,20,30,4:04:26,tour-of-the-alps/2012/stage-3,2012
2,2,3,+0:49,0,SZMYD Sylwester,34,Liquigas - Cannondale,14,18,4:04:49,tour-of-the-alps/2012/stage-3,2012
3,3,2,+0:25,0,CUNEGO Damiano,30,Lampre - ISD,8,12,4:05:38,tour-of-the-alps/2012/stage-3,2012
4,4,8,+1:48,0,RUJANO José Humberto,30,Androni Giocattoli - Venezuela,7,7,4:05:46,tour-of-the-alps/2012/stage-3,2012
5,5,4,+0:50,0,KREUZIGER Roman,25,Astana Pro Team,6,4,4:06:06,tour-of-the-alps/2012/stage-3,2012
6,6,10,+2:06,0,DUPONT Hubert,31,AG2R La Mondiale,5,3,4:06:33,tour-of-the-alps/2012/stage-3,2012
7,7,7,+1:48,0,HUZARSKI Bartosz,31,Team Netapp,4,2,4:06:38,tour-of-the-alps/2012/stage-3,2012
8,8,11,+2:40,0,SERPA José Rodolfo,33,Androni Giocattoli - Venezuela,2,1,4:06:38,tour-of-the-alps/2012/stage-3,2012
9,9,20,+5:09,0,BRAJKOVIČ Janez,28,Astana Pro Team,,,4:06:38,tour-of-the-alps/2012/stage-3,2012
10,10,6,+1:47,0,BETANCUR Carlos,22,Acqua & Sapone,,,4:06:59,tour-of-the-alps/2012/stage-3,2012
11,11,13,+3:01,0,SELLA Emanuele,31,Androni Giocattoli - Venezuela,,,4:06:59,tour-of-the-alps/2012/stage-3,2012
12,12,9,+1:51,0,PINOTTI Marco,36,BMC Racing Team,,,4:07:01,tour-of-the-alps/2012/stage-3,2012
13,13,5,+1:42,0,FRANK Mathias,25,BMC Racing Team,,,4:07:01,tour-of-the-alps/2012/stage-3,2012
14,14,16,+4:07,0,ATAPUMA Darwin,24,Colombia - Coldeportes,,,4:07:18,tour-of-the-alps/2012/stage-3,2012
15,15,15,+3:17,0,BISOLTI Alessandro,27,Team Idea,,,4:07:36,tour-of-the-alps/2012/stage-3,2012
16,16,12,+2:58,0,REDA Francesco,29,Acqua & Sapone,,,4:08:01,tour-of-the-alps/2012/stage-3,2012
17,17,14,+3:09,0,RUBIANO Miguel Angel,27,Androni Giocattoli - Venezuela,,,4:08:01,tour-of-the-alps/2012/stage-3,2012
18,18,21,+5:22,0,GAUTIER Cyril,24,Team Europcar,,,4:08:07,tour-of-the-alps/2012/stage-3,2012
19,19,28,+6:38,0,KANGERT Tanel,25,Astana Pro Team,,,4:08:07,tour-of-the-alps/2012/stage-3,2012
20,20,22,+5:22,0,ROLLAND Pierre,25,Team Europcar,,,4:08:07,tour-of-the-alps/2012/stage-3,2012
21,21,23,+5:24,0,OCHOA Carlos José,31,Androni Giocattoli - Venezuela,,,4:08:11,tour-of-the-alps/2012/stage-3,2012
22,22,19,+5:09,0,PIRAZZI Stefano,25,Colnago CSF Bardiani,,,4:08:45,tour-of-the-alps/2012/stage-3,2012
23,23,51,+17:04,0,LOCATELLI Stefano,23,Colnago CSF Bardiani,,,4:08:52,tour-of-the-alps/2012/stage-3,2012
24,24,25,+5:45,0,GADRET John,32,AG2R La Mondiale,,,4:08:52,tour-of-the-alps/2012/stage-3,2012
25,25,24,+5:34,0,MARZANO Marco,31,Lampre - ISD,,,4:08:52,tour-of-the-alps/2012/stage-3,2012
26,26,18,+4:49,0,DE MAAR Marc,28,UnitedHealthcare Presented by Maxxis,,,4:09:13,tour-of-the-alps/2012/stage-3,2012
27,27,17,+4:20,0,CAPECCHI Eros,25,Liquigas - Cannondale,,,4:09:20,tour-of-the-alps/2012/stage-3,2012
28,28,26,+6:07,0,BASSO Ivan,34,Liquigas - Cannondale,,,4:09:20,tour-of-the-alps/2012/stage-3,2012
29,29,30,+7:43,0,SEELDRAEYERS Kevin,25,Astana Pro Team,,,4:09:20,tour-of-the-alps/2012/stage-3,2012
30,30,27,+6:30,0,TIRALONGO Paolo,34,Astana Pro Team,,,4:09:52,tour-of-the-alps/2012/stage-3,2012
31,31,34,+9:11,0,BUTLER Chris,24,Champion System Pro Cycling Team,,,4:10:30,tour-of-the-alps/2012/stage-3,2012
32,32,33,+8:59,0,SALERNO Cristiano,27,Liquigas - Cannondale,,,4:10:33,tour-of-the-alps/2012/stage-3,2012
33,33,29,+6:45,0,ROCHE Nicolas,27,AG2R La Mondiale,,,4:11:03,tour-of-the-alps/2012/stage-3,2012
34,34,39,+11:27,0,COMINELLI Cristian,23,Team Idea,,,4:11:07,tour-of-the-alps/2012/stage-3,2012
35,35,36,+9:51,0,MIHOLJEVIĆ Vladimir,38,Acqua & Sapone,,,4:11:07,tour-of-the-alps/2012/stage-3,2012
36,36,61,+22:09,0,BRÄNDLE Matthias,22,Team Netapp,,,4:11:47,tour-of-the-alps/2012/stage-3,2012
37,37,44,+14:34,0,RODRIGUEZ Michael,22,Colombia - Coldeportes,,,4:11:51,tour-of-the-alps/2012/stage-3,2012
38,38,35,+9:48,0,BOILY David,21,Spidertech Powered by C10,,,4:11:53,tour-of-the-alps/2012/stage-3,2012
39,39,38,+11:04,0,VANDBORG Brian Bach,30,Spidertech Powered by C10,,,4:11:53,tour-of-the-alps/2012/stage-3,2012
40,40,37,+10:15,0,RABOTTINI Matteo,24,Farnese Vini-Neri-Sottoli,,,4:11:53,tour-of-the-alps/2012/stage-3,2012
41,41,31,+8:12,0,AGNOLI Valerio,27,Liquigas - Cannondale,,,4:12:27,tour-of-the-alps/2012/stage-3,2012
42,42,32,+8:35,0,SARMIENTO Cayetano José,25,Liquigas - Cannondale,,,4:12:27,tour-of-the-alps/2012/stage-3,2012
43,43,47,+15:49,0,BAILETTI Paolo,31,Utensilnord - Named,,,4:13:02,tour-of-the-alps/2012/stage-3,2012
44,44,45,+15:36,0,CHARTEAU Anthony,32,Team Europcar,,,4:13:08,tour-of-the-alps/2012/stage-3,2012
45,45,41,+12:27,0,HOLLENSTEIN Reto,26,Team Netapp,,,4:13:36,tour-of-the-alps/2012/stage-3,2012
46,46,66,+23:45,0,BÉRARD Julien,24,AG2R La Mondiale,,,4:13:36,tour-of-the-alps/2012/stage-3,2012
47,47,48,+15:52,0,SANTAROMITA Ivan,27,BMC Racing Team,,,4:14:05,tour-of-the-alps/2012/stage-3,2012
48,48,60,+21:57,0,DODI Luca,24,Team Idea,,,4:14:10,tour-of-the-alps/2012/stage-3,2012
49,49,52,+17:23,0,RATTI Aristide,29,Team Idea,,,4:14:48,tour-of-the-alps/2012/stage-3,2012
50,50,70,+24:26,0,WYSS Danilo,26,BMC Racing Team,,,4:15:08,tour-of-the-alps/2012/stage-3,2012
51,51,67,+24:00,0,CODOL Massimo,39,Acqua & Sapone,,,4:15:27,tour-of-the-alps/2012/stage-3,2012
52,52,43,+14:09,0,KASHECHKIN Andrey,32,Astana Pro Team,,,4:15:37,tour-of-the-alps/2012/stage-3,2012
53,53,49,+16:15,0,BRAMBILLA Gianluca,24,Colnago CSF Bardiani,,,4:15:44,tour-of-the-alps/2012/stage-3,2012
54,54,42,+13:23,0,NIEMIEC Przemysław,32,Lampre - ISD,,,4:16:41,tour-of-the-alps/2012/stage-3,2012
55,55,71,+24:40,0,DIETZIKER Andreas,29,Team Netapp,,,4:16:41,tour-of-the-alps/2012/stage-3,2012
56,56,46,+15:48,0,DI LUCA Danilo,36,Acqua & Sapone,,,4:16:41,tour-of-the-alps/2012/stage-3,2012
57,57,40,+11:56,0,SCARPONI Michele,32,Lampre - ISD,,,4:16:41,tour-of-the-alps/2012/stage-3,2012
58,58,50,+16:27,0,ASCANI Luca,28,Farnese Vini-Neri-Sottoli,,,4:16:41,tour-of-the-alps/2012/stage-3,2012
59,59,65,+22:58,0,KÖNIG Leopold,24,Team Netapp,,,4:16:41,tour-of-the-alps/2012/stage-3,2012
60,60,76,+25:47,0,MCCARTNEY Jason,38,UnitedHealthcare Presented by Maxxis,,,4:16:41,tour-of-the-alps/2012/stage-3,2012
61,61,55,+19:11,0,CLARKE Jonathan,27,UnitedHealthcare Presented by Maxxis,,,4:16:41,tour-of-the-alps/2012/stage-3,2012
