,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,1,+0:00,21,SCARPONI Michele,37,Astana Pro Team,20,30,3:32:15,tour-of-the-alps/2017/stage-1,2017
2,2,2,+0:04,5,THOMAS Geraint,30,Team Sky,10,18,3:32:15,tour-of-the-alps/2017/stage-1,2017
3,3,3,+0:06,61,PINOT Thibaut,26,FDJ,5,12,3:32:15,tour-of-the-alps/2017/stage-1,2017
4,4,4,+0:10,54,FORMOLO Davide,24,Cannondale-Drapac Pro Cycling Team,,7,3:32:15,tour-of-the-alps/2017/stage-1,2017
5,5,5,+0:10,11,POZZOVIVO Domenico,34,AG2R La Mondiale,,4,3:32:15,tour-of-the-alps/2017/stage-1,2017
6,6,6,+0:10,22,CATALDO Dario,32,Astana Pro Team,,3,3:32:15,tour-of-the-alps/2017/stage-1,2017
7,7,7,+0:14,75,CATTANEO Mattia,26,Androni - Sidermec - Bottecchia,,2,3:32:19,tour-of-the-alps/2017/stage-1,2017
8,8,8,+0:18,52,CARTHY Hugh,22,Cannondale-Drapac Pro Cycling Team,,1,3:32:23,tour-of-the-alps/2017/stage-1,2017
9,9,9,+0:21,32,DENNIS Rohan,26,BMC Racing Team,,,3:32:26,tour-of-the-alps/2017/stage-1,2017
10,10,10,+0:21,31,CARUSO Damiano,29,BMC Racing Team,,,3:32:26,tour-of-the-alps/2017/stage-1,2017
11,11,11,+0:23,46,MENDES José,31,BORA - hansgrohe,,,3:32:28,tour-of-the-alps/2017/stage-1,2017
12,12,12,+0:27,176,CELANO Danilo,27,Italy,,,3:32:32,tour-of-the-alps/2017/stage-1,2017
13,13,13,+0:27,55,ROLLAND Pierre,30,Cannondale-Drapac Pro Cycling Team,,,3:32:32,tour-of-the-alps/2017/stage-1,2017
14,14,14,+0:27,72,BERNAL Egan,20,Androni - Sidermec - Bottecchia,,,3:32:32,tour-of-the-alps/2017/stage-1,2017
15,15,15,+0:27,43,BUCHMANN Emanuel,24,BORA - hansgrohe,,,3:32:32,tour-of-the-alps/2017/stage-1,2017
16,16,16,+0:32,57,VILLELLA Davide,25,Cannondale-Drapac Pro Cycling Team,,,3:32:37,tour-of-the-alps/2017/stage-1,2017
17,17,17,+0:32,73,TORRES Rodolfo Andrés,30,Androni - Sidermec - Bottecchia,,,3:32:37,tour-of-the-alps/2017/stage-1,2017
18,18,18,+0:32,35,BOOKWALTER Brent,33,BMC Racing Team,,,3:32:37,tour-of-the-alps/2017/stage-1,2017
19,19,19,+0:32,26,SÁNCHEZ Luis León,33,Astana Pro Team,,,3:32:37,tour-of-the-alps/2017/stage-1,2017
20,20,20,+0:36,14,DUPONT Hubert,36,AG2R La Mondiale,,,3:32:41,tour-of-the-alps/2017/stage-1,2017
21,21,21,+0:36,1,LANDA Mikel,27,Team Sky,,,3:32:41,tour-of-the-alps/2017/stage-1,2017
22,22,22,+0:36,121,CUNEGO Damiano,35,Nippo - Vini Fantini ,,,3:32:41,tour-of-the-alps/2017/stage-1,2017
23,23,23,+0:36,12,BIDARD François,25,AG2R La Mondiale,,,3:32:41,tour-of-the-alps/2017/stage-1,2017
24,24,24,+0:36,76,MASNADA Fausto,23,Androni - Sidermec - Bottecchia,,,3:32:41,tour-of-the-alps/2017/stage-1,2017
25,25,25,+0:36,128,SANTAROMITA Ivan,32,Nippo - Vini Fantini ,,,3:32:41,tour-of-the-alps/2017/stage-1,2017
26,26,26,+0:45,111,FIRSANOV Sergey,34,Gazprom-RusVelo,,,3:32:50,tour-of-the-alps/2017/stage-1,2017
27,27,27,+0:45,101,PARDILLA Sergio,33,Caja Rural - Seguros RGA,,,3:32:50,tour-of-the-alps/2017/stage-1,2017
28,28,28,+0:52,132,BUSATO Matteo,29,Wilier Triestina - Selle Italia,,,3:32:57,tour-of-the-alps/2017/stage-1,2017
29,29,29,+0:58,118,ROVNY Ivan,29,Gazprom-RusVelo,,,3:33:03,tour-of-the-alps/2017/stage-1,2017
30,30,30,+1:06,104,SCHULTZ Nick,22,Caja Rural - Seguros RGA,,,3:33:11,tour-of-the-alps/2017/stage-1,2017
31,31,31,+1:06,131,AMEZQUETA Julen,23,Wilier Triestina - Selle Italia,,,3:33:11,tour-of-the-alps/2017/stage-1,2017
32,32,32,+1:06,138,RODRÍGUEZ Cristián,22,Wilier Triestina - Selle Italia,,,3:33:11,tour-of-the-alps/2017/stage-1,2017
33,33,33,+1:06,17,MONTAGUTI Matteo,33,AG2R La Mondiale,,,3:33:11,tour-of-the-alps/2017/stage-1,2017
34,34,34,+1:15,51,BROWN Nathan,25,Cannondale-Drapac Pro Cycling Team,,,3:33:20,tour-of-the-alps/2017/stage-1,2017
35,35,35,+1:30,64,LUDVIGSSON Tobias,26,FDJ,,,3:33:35,tour-of-the-alps/2017/stage-1,2017
36,36,36,+1:30,135,GODOY Yonder,23,Wilier Triestina - Selle Italia,,,3:33:35,tour-of-the-alps/2017/stage-1,2017
37,37,37,+1:30,136,KOSHEVOY Ilia,26,Wilier Triestina - Selle Italia,,,3:33:35,tour-of-the-alps/2017/stage-1,2017
38,38,38,+1:37,91,ANDREETTA Simone,23,Bardiani - CSF,,,3:33:42,tour-of-the-alps/2017/stage-1,2017
39,39,39,+1:40,167,SCHÖNBERGER Sebastian,22,Tirol Cycling Team,,,3:33:45,tour-of-the-alps/2017/stage-1,2017
40,40,40,+1:51,2,BOSWELL Ian,26,Team Sky,,,3:33:56,tour-of-the-alps/2017/stage-1,2017
42,42,42,+2:15,6,ELISSONDE Kenny,25,Team Sky,,,3:34:20,tour-of-the-alps/2017/stage-1,2017
43,43,43,+2:15,13,CHEVRIER Clément,24,AG2R La Mondiale,,,3:34:20,tour-of-the-alps/2017/stage-1,2017
44,44,44,+2:57,36,ROSSKOPF Joey,27,BMC Racing Team,,,3:35:02,tour-of-the-alps/2017/stage-1,2017
45,45,45,+2:57,125,FILOSI Iuri,25,Nippo - Vini Fantini ,,,3:35:02,tour-of-the-alps/2017/stage-1,2017
46,46,46,+2:57,67,ROY Jérémy,33,FDJ,,,3:35:02,tour-of-the-alps/2017/stage-1,2017
47,47,47,+2:57,34,FRANKINY Kilian,23,BMC Racing Team,,,3:35:02,tour-of-the-alps/2017/stage-1,2017
48,48,48,+2:57,102,FERRARI Fabricio,31,Caja Rural - Seguros RGA,,,3:35:02,tour-of-the-alps/2017/stage-1,2017
49,49,49,+2:57,66,MORABITO Steve,34,FDJ,,,3:35:02,tour-of-the-alps/2017/stage-1,2017
50,50,50,+2:57,83,WARBASSE Larry,26,Aqua Blue Sport,,,3:35:02,tour-of-the-alps/2017/stage-1,2017
51,51,51,+2:57,15,GASTAUER Ben,29,AG2R La Mondiale,,,3:35:02,tour-of-the-alps/2017/stage-1,2017
52,52,52,+2:57,112,FOLIFOROV Alexander,25,Gazprom-RusVelo,,,3:35:02,tour-of-the-alps/2017/stage-1,2017
53,53,53,+2:57,23,CHERNETSKI Sergei,27,Astana Pro Team,,,3:35:02,tour-of-the-alps/2017/stage-1,2017
54,54,54,+2:57,122,BAGIOLI Nicola,22,Nippo - Vini Fantini ,,,3:35:02,tour-of-the-alps/2017/stage-1,2017
55,55,55,+2:57,175,ZULLO Antonio,23,Italy,,,3:35:02,tour-of-the-alps/2017/stage-1,2017
56,56,56,+2:57,74,FRAPPORTI Marco,32,Androni - Sidermec - Bottecchia,,,3:35:02,tour-of-the-alps/2017/stage-1,2017
57,57,57,+3:20,33,SENNI Manuel,25,BMC Racing Team,,,3:35:25,tour-of-the-alps/2017/stage-1,2017
58,58,58,+3:50,163,KRIZEK Matthias,28,Tirol Cycling Team,,,3:35:55,tour-of-the-alps/2017/stage-1,2017
59,59,59,+4:48,154,GAZZARA Michele,26,Sangemini - MG.Kvis  ,,,3:36:53,tour-of-the-alps/2017/stage-1,2017
60,60,60,+5:07,158,TOTÒ Paolo,26,Sangemini - MG.Kvis  ,,,3:37:12,tour-of-the-alps/2017/stage-1,2017
61,61,61,+5:37,71,GAVAZZI Francesco,32,Androni - Sidermec - Bottecchia,,,3:37:42,tour-of-the-alps/2017/stage-1,2017
62,62,62,+5:37,4,KENNAUGH Peter,27,Team Sky,,,3:37:42,tour-of-the-alps/2017/stage-1,2017
63,63,63,+5:54,3,DEIGNAN Philip,33,Team Sky,,,3:37:59,tour-of-the-alps/2017/stage-1,2017
64,64,64,+6:01,97,STERBINI Simone,23,Bardiani - CSF,,,3:38:06,tour-of-the-alps/2017/stage-1,2017
65,65,65,+6:01,44,HERKLOTZ Silvio,22,BORA - hansgrohe,,,3:38:06,tour-of-the-alps/2017/stage-1,2017
66,66,66,+6:33,103,MOLINA Antonio,26,Caja Rural - Seguros RGA,,,3:38:38,tour-of-the-alps/2017/stage-1,2017
67,67,67,+9:17,78,BONUSI Raffaello,25,Androni - Sidermec - Bottecchia,,,3:41:22,tour-of-the-alps/2017/stage-1,2017
68,68,68,+9:17,152,BONGIORNO Francesco Manuel,26,Sangemini - MG.Kvis  ,,,3:41:22,tour-of-the-alps/2017/stage-1,2017
69,69,69,+9:17,174,GAROSIO Andrea,23,Italy,,,3:41:22,tour-of-the-alps/2017/stage-1,2017
70,70,70,+9:17,124,BISOLTI Alessandro,32,Nippo - Vini Fantini ,,,3:41:22,tour-of-the-alps/2017/stage-1,2017
71,71,71,+9:17,108,ZABALA Josu,24,Caja Rural - Seguros RGA,,,3:41:22,tour-of-the-alps/2017/stage-1,2017
72,72,72,+9:17,172,AMICI Alberto,23,Italy,,,3:41:22,tour-of-the-alps/2017/stage-1,2017
73,73,73,+9:17,65,MAISON Jérémy,23,FDJ,,,3:41:22,tour-of-the-alps/2017/stage-1,2017
74,74,74,+9:17,53,DOMBROWSKI Joe,25,Cannondale-Drapac Pro Cycling Team,,,3:41:22,tour-of-the-alps/2017/stage-1,2017
75,75,75,+10:14,98,ZARDINI Edoardo,27,Bardiani - CSF,,,3:42:19,tour-of-the-alps/2017/stage-1,2017
76,76,76,+10:14,133,POZZATO Filippo,35,Wilier Triestina - Selle Italia,,,3:42:19,tour-of-the-alps/2017/stage-1,2017
77,77,77,+10:14,155,ORRICO Davide,27,Sangemini - MG.Kvis  ,,,3:42:19,tour-of-the-alps/2017/stage-1,2017
78,78,78,+10:14,48,SCHILLINGER Andreas,33,BORA - hansgrohe,,,3:42:19,tour-of-the-alps/2017/stage-1,2017
