,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,1,+0:00,1,LANDA Mikel,26,Team Sky,20,30,5:18:12,tour-of-the-alps/2016/stage-2,2016
2,2,3,+0:15,62,FIRSANOV Sergey,33,Gazprom-RusVelo,10,18,5:18:16,tour-of-the-alps/2016/stage-2,2016
3,3,14,+0:39,71,CUNEGO Damiano,34,Nippo - Vini Fantini ,5,12,5:18:25,tour-of-the-alps/2016/stage-2,2016
4,4,16,+0:44,52,CICCONE Giulio,21,Bardiani - CSF,,7,5:18:26,tour-of-the-alps/2016/stage-2,2016
5,5,2,+0:10,24,FUGLSANG Jakob,31,Astana Pro Team,,4,5:18:26,tour-of-the-alps/2016/stage-2,2016
6,6,17,+0:45,58,ANDREETTA Simone,22,Bardiani - CSF,,3,5:18:26,tour-of-the-alps/2016/stage-2,2016
7,7,5,+0:24,11,BARDET Romain,25,AG2R La Mondiale,,2,5:18:26,tour-of-the-alps/2016/stage-2,2016
8,8,6,+0:24,18,POZZOVIVO Domenico,33,AG2R La Mondiale,,1,5:18:26,tour-of-the-alps/2016/stage-2,2016
9,9,7,+0:26,94,KONRAD Patrick,24,Bora - Argon 18,,,5:18:26,tour-of-the-alps/2016/stage-2,2016
10,10,8,+0:26,92,BUCHMANN Emanuel,23,Bora - Argon 18,,,5:18:26,tour-of-the-alps/2016/stage-2,2016
11,11,24,+1:14,102,CARTHY Hugh,21,Caja Rural - Seguros RGA,,,5:18:36,tour-of-the-alps/2016/stage-2,2016
12,12,4,+0:22,28,SCARPONI Michele,36,Astana Pro Team,,,5:18:38,tour-of-the-alps/2016/stage-2,2016
13,13,20,+1:06,33,RAVASI Edward,21,Italy,,,5:18:38,tour-of-the-alps/2016/stage-2,2016
14,14,11,+0:38,4,BOSWELL Ian,25,Team Sky,,,5:18:40,tour-of-the-alps/2016/stage-2,2016
15,15,26,+1:18,103,PARDILLA Sergio,32,Caja Rural - Seguros RGA,,,5:18:40,tour-of-the-alps/2016/stage-2,2016
16,16,12,+0:38,17,PERAUD Jean-Christophe,38,AG2R La Mondiale,,,5:18:40,tour-of-the-alps/2016/stage-2,2016
17,17,21,+1:08,153,GAZZARA Michele,25,Norda-MG.Kvis Vega,,,5:18:40,tour-of-the-alps/2016/stage-2,2016
18,18,13,+0:38,3,DEIGNAN Philip,32,Team Sky,,,5:18:40,tour-of-the-alps/2016/stage-2,2016
19,19,9,+0:28,25,KANGERT Tanel,29,Astana Pro Team,,,5:18:44,tour-of-the-alps/2016/stage-2,2016
20,20,19,+1:03,82,BUSATO Matteo,28,Wilier - Southeast,,,5:18:44,tour-of-the-alps/2016/stage-2,2016
21,21,10,+0:28,21,NIBALI Vincenzo,31,Astana Pro Team,,,5:18:44,tour-of-the-alps/2016/stage-2,2016
22,22,36,+1:38,171,FICARA Pierpaolo,25,Amore & Vita - Selle SMP,,,5:18:44,tour-of-the-alps/2016/stage-2,2016
23,23,15,+0:42,14,DUPONT Hubert,35,AG2R La Mondiale,,,5:18:44,tour-of-the-alps/2016/stage-2,2016
24,24,27,+1:20,121,MANCEBO Francisco,40,Skydive Dubai Pro Cycling Team - Al Ahli Club,,,5:18:51,tour-of-the-alps/2016/stage-2,2016
25,25,22,+1:11,41,PELLIZOTTI Franco,38,Androni Giocattoli - Sidermec,,,5:18:51,tour-of-the-alps/2016/stage-2,2016
26,26,67,+2:45,111,CANTY Brendan,24,Drapac Professional Cycling,,,5:18:55,tour-of-the-alps/2016/stage-2,2016
27,27,23,+1:13,53,PIRAZZI Stefano,29,Bardiani - CSF,,,5:18:55,tour-of-the-alps/2016/stage-2,2016
28,28,25,+1:17,86,MARTÍNEZ Daniel Felipe,19,Wilier - Southeast,,,5:18:58,tour-of-the-alps/2016/stage-2,2016
29,29,42,+1:46,161,FANKHAUSER Clemens,30,Tirol Cycling Team,,,5:18:58,tour-of-the-alps/2016/stage-2,2016
30,30,29,+1:21,48,TORRES Rodolfo Andrés,29,Androni Giocattoli - Sidermec,,,5:19:01,tour-of-the-alps/2016/stage-2,2016
31,31,48,+1:55,172,CELANO Danilo,26,Amore & Vita - Selle SMP,,,5:19:01,tour-of-the-alps/2016/stage-2,2016
32,32,18,+1:01,96,MÜHLBERGER Gregor,22,Bora - Argon 18,,,5:19:01,tour-of-the-alps/2016/stage-2,2016
33,33,33,+1:33,128,PINTO Edgar,30,Skydive Dubai Pro Cycling Team - Al Ahli Club,,,5:19:04,tour-of-the-alps/2016/stage-2,2016
34,34,39,+1:43,114,MANNION Gavin,24,Drapac Professional Cycling,,,5:19:05,tour-of-the-alps/2016/stage-2,2016
35,35,30,+1:26,81,AMEZQUETA Julen,22,Wilier - Southeast,,,5:19:07,tour-of-the-alps/2016/stage-2,2016
36,36,31,+1:27,55,CHIRICO Luca,23,Bardiani - CSF,,,5:19:09,tour-of-the-alps/2016/stage-2,2016
37,37,43,+1:49,101,PRADES Eduard,28,Caja Rural - Seguros RGA,,,5:19:11,tour-of-the-alps/2016/stage-2,2016
38,38,44,+1:49,105,MADRAZO Ángel,27,Caja Rural - Seguros RGA,,,5:19:11,tour-of-the-alps/2016/stage-2,2016
39,39,47,+1:53,107,FERRARI Fabricio,30,Caja Rural - Seguros RGA,,,5:19:11,tour-of-the-alps/2016/stage-2,2016
40,40,59,+2:31,68,RYBALKIN Aleksey,22,Gazprom-RusVelo,,,5:19:11,tour-of-the-alps/2016/stage-2,2016
41,41,37,+1:39,156,SCARTEZZINI Michele,24,Norda-MG.Kvis Vega,,,5:19:11,tour-of-the-alps/2016/stage-2,2016
42,42,38,+1:39,154,NARDELLI Stefano,22,Norda-MG.Kvis Vega,,,5:19:11,tour-of-the-alps/2016/stage-2,2016
43,43,32,+1:31,42,BERNAL Egan,19,Androni Giocattoli - Sidermec,,,5:19:11,tour-of-the-alps/2016/stage-2,2016
44,44,28,+1:20,67,ARSLANOV Ildar,22,Gazprom-RusVelo,,,5:19:15,tour-of-the-alps/2016/stage-2,2016
45,45,34,+1:33,56,BONGIORNO Francesco Manuel,25,Bardiani - CSF,,,5:19:15,tour-of-the-alps/2016/stage-2,2016
46,46,46,+1:50,37,TECCHIO Marco,21,Italy,,,5:19:19,tour-of-the-alps/2016/stage-2,2016
47,47,53,+2:15,173,ZAMPARELLA Marco,28,Amore & Vita - Selle SMP,,,5:19:21,tour-of-the-alps/2016/stage-2,2016
48,48,45,+1:49,31,FINETTO Mauro,30,Italy,,,5:19:21,tour-of-the-alps/2016/stage-2,2016
49,49,73,+2:59,87,RODRÍGUEZ Cristián,21,Wilier - Southeast,,,5:19:21,tour-of-the-alps/2016/stage-2,2016
50,50,40,+1:44,73,BISOLTI Alessandro,31,Nippo - Vini Fantini ,,,5:19:26,tour-of-the-alps/2016/stage-2,2016
51,51,41,+1:44,76,FILOSI Iuri,24,Nippo - Vini Fantini ,,,5:19:26,tour-of-the-alps/2016/stage-2,2016
52,52,52,+2:12,104,RUBIO Diego,24,Caja Rural - Seguros RGA,,,5:19:34,tour-of-the-alps/2016/stage-2,2016
53,53,49,+2:04,155,SALVIETTI Niccolò,22,Norda-MG.Kvis Vega,,,5:19:36,tour-of-the-alps/2016/stage-2,2016
54,54,83,+3:26,116,NORRIS Lachlan,29,Drapac Professional Cycling,,,5:19:36,tour-of-the-alps/2016/stage-2,2016
55,55,35,+1:36,6,MOSCON Gianni,22,Team Sky,,,5:19:38,tour-of-the-alps/2016/stage-2,2016
56,56,81,+3:22,176,MOVCHAN Sergii,22,Amore & Vita - Selle SMP,,,5:19:44,tour-of-the-alps/2016/stage-2,2016
57,57,58,+2:30,142,ORMENESE Caio Godoy,20,Brazil,,,5:19:44,tour-of-the-alps/2016/stage-2,2016
58,58,51,+2:07,44,FRAPPORTI Marco,31,Androni Giocattoli - Sidermec,,,5:19:47,tour-of-the-alps/2016/stage-2,2016
59,59,56,+2:21,124,HADDI Soufiane,25,Skydive Dubai Pro Cycling Team - Al Ahli Club,,,5:19:47,tour-of-the-alps/2016/stage-2,2016
60,60,54,+2:16,127,SANTAROMITA Ivan,31,Skydive Dubai Pro Cycling Team - Al Ahli Club,,,5:19:47,tour-of-the-alps/2016/stage-2,2016
61,61,91,+3:51,35,MARCHI Andrea,21,Italy,,,5:19:50,tour-of-the-alps/2016/stage-2,2016
62,62,96,+4:24,38,ANSELMI Enrico,21,Italy,,,5:19:50,tour-of-the-alps/2016/stage-2,2016
63,63,64,+2:42,148,AFFONSO Murilo,24,Brazil,,,5:19:56,tour-of-the-alps/2016/stage-2,2016
64,64,68,+2:46,132,CIAVATTA Paolo,31,d'Amico - Bottecchia,,,5:19:56,tour-of-the-alps/2016/stage-2,2016
65,65,60,+2:34,106,MOLINA Antonio,25,Caja Rural - Seguros RGA,,,5:19:56,tour-of-the-alps/2016/stage-2,2016
66,66,117,+5:23,144,RAMOS Kléber,30,Brazil,,,5:19:56,tour-of-the-alps/2016/stage-2,2016
67,67,65,+2:42,145,GASPAR João,24,Brazil,,,5:19:56,tour-of-the-alps/2016/stage-2,2016
68,68,61,+2:37,118,SPOKES Samuel,24,Drapac Professional Cycling,,,5:19:59,tour-of-the-alps/2016/stage-2,2016
69,69,107,+4:50,158,GIULIANI Giacomo,19,Norda-MG.Kvis Vega,,,5:20:12,tour-of-the-alps/2016/stage-2,2016
70,70,66,+2:44,32,WACKERMANN Luca,24,Italy,,,5:20:16,tour-of-the-alps/2016/stage-2,2016
71,71,55,+2:19,97,NERZ Dominik,26,Bora - Argon 18,,,5:20:19,tour-of-the-alps/2016/stage-2,2016
72,72,50,+2:05,22,AGNOLI Valerio,31,Astana Pro Team,,,5:20:21,tour-of-the-alps/2016/stage-2,2016
73,73,74,+3:06,27,MALACARNE Davide,28,Astana Pro Team,,,5:20:21,tour-of-the-alps/2016/stage-2,2016
74,74,63,+2:40,85,GIL MARTINEZ Tomas Aurelio,38,Wilier - Southeast,,,5:20:21,tour-of-the-alps/2016/stage-2,2016
75,75,109,+4:53,165,PAULUS Dennis,21,Tirol Cycling Team,,,5:20:21,tour-of-the-alps/2016/stage-2,2016
76,76,70,+2:49,157,ZVERKOV Evgeny,23,Norda-MG.Kvis Vega,,,5:20:21,tour-of-the-alps/2016/stage-2,2016
77,77,57,+2:24,91,BENEDETTI Cesare,28,Bora - Argon 18,,,5:20:24,tour-of-the-alps/2016/stage-2,2016
78,78,76,+3:09,43,GAVAZZI Francesco,31,Androni Giocattoli - Sidermec,,,5:20:33,tour-of-the-alps/2016/stage-2,2016
79,79,71,+2:52,83,CONTI Samuele,24,Wilier - Southeast,,,5:20:33,tour-of-the-alps/2016/stage-2,2016
80,80,62,+2:38,61,KOLOBNEV Alexandr,34,Gazprom-RusVelo,,,5:20:33,tour-of-the-alps/2016/stage-2,2016
81,81,84,+3:27,174,HALILAJ Redi,26,Amore & Vita - Selle SMP,,,5:20:33,tour-of-the-alps/2016/stage-2,2016
82,82,85,+3:27,175,MARTINS Uri,25,Amore & Vita - Selle SMP,,,5:20:33,tour-of-the-alps/2016/stage-2,2016
83,83,82,+3:23,135,MORA Luis Guillermo,21,d'Amico - Bottecchia,,,5:20:33,tour-of-the-alps/2016/stage-2,2016
84,84,72,+2:52,84,FONZI Giuseppe,24,Wilier - Southeast,,,5:20:33,tour-of-the-alps/2016/stage-2,2016
85,85,86,+3:29,136,LEONE Davide,19,d'Amico - Bottecchia,,,5:20:39,tour-of-the-alps/2016/stage-2,2016
86,86,75,+3:07,46,SELVAGGI Mirko,31,Androni Giocattoli - Sidermec,,,5:20:47,tour-of-the-alps/2016/stage-2,2016
87,87,69,+2:46,7,PETERS Alex,22,Team Sky,,,5:20:48,tour-of-the-alps/2016/stage-2,2016
88,88,80,+3:16,51,COLBRELLI Sonny,25,Bardiani - CSF,,,5:20:58,tour-of-the-alps/2016/stage-2,2016
89,89,92,+3:56,178,PONOMARENKO Dmytro,25,Amore & Vita - Selle SMP,,,5:21:02,tour-of-the-alps/2016/stage-2,2016
90,90,123,+5:38,168,WACHTER Alexander,21,Tirol Cycling Team,,,5:21:06,tour-of-the-alps/2016/stage-2,2016
91,91,78,+3:13,93,HUZARSKI Bartosz,35,Bora - Argon 18,,,5:21:11,tour-of-the-alps/2016/stage-2,2016
92,92,77,+3:11,98,VOSS Paul,30,Bora - Argon 18,,,5:21:11,tour-of-the-alps/2016/stage-2,2016
93,93,79,+3:13,2,KNEES Christian,35,Team Sky,,,5:21:15,tour-of-the-alps/2016/stage-2,2016
94,94,94,+4:03,167,WEISS Martin,25,Tirol Cycling Team,,,5:21:15,tour-of-the-alps/2016/stage-2,2016
95,95,87,+3:43,8,ZANDIO Xabier,39,Team Sky,,,5:21:16,tour-of-the-alps/2016/stage-2,2016
96,96,90,+3:47,122,HASNAOUI Maher,26,Skydive Dubai Pro Cycling Team - Al Ahli Club,,,5:21:18,tour-of-the-alps/2016/stage-2,2016
97,97,89,+3:46,151,DI FRANCESCO Gian Marco,26,Norda-MG.Kvis Vega,,,5:21:18,tour-of-the-alps/2016/stage-2,2016
98,98,88,+3:44,54,ROTA Lorenzo,20,Bardiani - CSF,,,5:21:26,tour-of-the-alps/2016/stage-2,2016
99,99,97,+4:25,177,KOGUT Volodymyr,31,Amore & Vita - Selle SMP,,,5:21:31,tour-of-the-alps/2016/stage-2,2016
100,100,101,+4:35,164,SCHÖNBERGER Sebastian,21,Tirol Cycling Team,,,5:21:47,tour-of-the-alps/2016/stage-2,2016
101,101,93,+4:01,65,NYCH Artem,21,Gazprom-RusVelo,,,5:21:51,tour-of-the-alps/2016/stage-2,2016
102,102,98,+4:25,34,FABBRO Matteo,21,Italy,,,5:21:57,tour-of-the-alps/2016/stage-2,2016
103,103,99,+4:25,36,LIZDE Seid,20,Italy,,,5:21:57,tour-of-the-alps/2016/stage-2,2016
104,104,112,+5:09,134,GINÉS Daniel,22,d'Amico - Bottecchia,,,5:22:12,tour-of-the-alps/2016/stage-2,2016
105,105,103,+4:41,75,DE NEGRI Pier Paolo,29,Nippo - Vini Fantini ,,,5:22:23,tour-of-the-alps/2016/stage-2,2016
106,106,104,+4:41,74,NIBALI Antonio,23,Nippo - Vini Fantini ,,,5:22:23,tour-of-the-alps/2016/stage-2,2016
107,107,102,+4:37,13,DOMONT Axel,25,AG2R La Mondiale,,,5:22:39,tour-of-the-alps/2016/stage-2,2016
108,108,127,+6:37,15,BONNAFOND Guillaume,28,AG2R La Mondiale,,,5:22:39,tour-of-the-alps/2016/stage-2,2016
109,109,128,+6:37,12,BIDARD François,24,AG2R La Mondiale,,,5:22:39,tour-of-the-alps/2016/stage-2,2016
110,110,110,+4:59,47,ȚVETCOV Serghei,27,Androni Giocattoli - Sidermec,,,5:22:39,tour-of-the-alps/2016/stage-2,2016
111,111,137,+8:06,146,BULGARELLI Otavio,31,Brazil,,,5:22:39,tour-of-the-alps/2016/stage-2,2016
112,112,116,+5:19,16,KADRI Blel,29,AG2R La Mondiale,,,5:22:39,tour-of-the-alps/2016/stage-2,2016
113,113,105,+4:44,66,FOLIFOROV Alexander,24,Gazprom-RusVelo,,,5:22:39,tour-of-the-alps/2016/stage-2,2016
114,114,95,+4:23,26,KOZHATAYEV Bakhtiyar,24,Astana Pro Team,,,5:22:39,tour-of-the-alps/2016/stage-2,2016
115,115,118,+5:25,78,YAMAMOTO Genki,24,Nippo - Vini Fantini ,,,5:22:39,tour-of-the-alps/2016/stage-2,2016
116,116,115,+5:17,108,BENITO Miguel Ángel,22,Caja Rural - Seguros RGA,,,5:22:39,tour-of-the-alps/2016/stage-2,2016
117,117,106,+4:44,63,SEROV Alexander,33,Gazprom-RusVelo,,,5:22:39,tour-of-the-alps/2016/stage-2,2016
118,118,135,+8:00,138,TOMMASSINI Fabio,25,d'Amico - Bottecchia,,,5:22:39,tour-of-the-alps/2016/stage-2,2016
119,119,119,+5:31,137,TIZZA Marco,24,d'Amico - Bottecchia,,,5:22:41,tour-of-the-alps/2016/stage-2,2016
120,120,120,+5:33,143,GOHR Andre  Eduardo,19,Brazil,,,5:22:47,tour-of-the-alps/2016/stage-2,2016
121,121,124,+6:04,141,NAZARET Magno,30,Brazil,,,5:22:47,tour-of-the-alps/2016/stage-2,2016
122,122,121,+5:35,163,BOSMAN Patrick,21,Tirol Cycling Team,,,5:22:47,tour-of-the-alps/2016/stage-2,2016
123,123,100,+4:31,23,CAPECCHI Eros,29,Astana Pro Team,,,5:22:47,tour-of-the-alps/2016/stage-2,2016
124,124,122,+5:35,162,BRKIC Benjamin,19,Tirol Cycling Team,,,5:22:47,tour-of-the-alps/2016/stage-2,2016
125,125,111,+5:07,88,TROSINO Mirko,23,Wilier - Southeast,,,5:22:47,tour-of-the-alps/2016/stage-2,2016
126,126,108,+4:52,64,SHALUNOV Evgeny,24,Gazprom-RusVelo,,,5:22:47,tour-of-the-alps/2016/stage-2,2016
127,127,114,+5:16,125,ZMORKA Marlen,22,Skydive Dubai Pro Cycling Team - Al Ahli Club,,,5:22:47,tour-of-the-alps/2016/stage-2,2016
128,128,113,+5:12,45,CECCHINEL Giorgio,26,Androni Giocattoli - Sidermec,,,5:22:50,tour-of-the-alps/2016/stage-2,2016
129,129,126,+6:33,131,BOCCHIOLA Giorgio,27,d'Amico - Bottecchia,,,5:23:43,tour-of-the-alps/2016/stage-2,2016
130,130,136,+8:04,133,CHINELLO Fabio,27,d'Amico - Bottecchia,,,5:23:43,tour-of-the-alps/2016/stage-2,2016
131,131,125,+6:19,5,LÓPEZ David,34,Team Sky,,,5:24:21,tour-of-the-alps/2016/stage-2,2016
132,132,129,+7:19,113,KONING Peter,25,Drapac Professional Cycling,,,5:24:41,tour-of-the-alps/2016/stage-2,2016
133,133,139,+8:40,115,MEYER Travis,26,Drapac Professional Cycling,,,5:24:41,tour-of-the-alps/2016/stage-2,2016
134,134,130,+7:19,117,PHELAN Adam,24,Drapac Professional Cycling,,,5:24:41,tour-of-the-alps/2016/stage-2,2016
135,135,132,+7:46,112,MOURIS Jens,36,Drapac Professional Cycling,,,5:25:08,tour-of-the-alps/2016/stage-2,2016
136,136,131,+7:42,72,BERLATO Giacomo,24,Nippo - Vini Fantini ,,,5:25:24,tour-of-the-alps/2016/stage-2,2016
137,137,138,+8:10,147,SANTOS Flavio Cardoso,35,Brazil,,,5:25:24,tour-of-the-alps/2016/stage-2,2016
138,138,134,+7:52,152,GAFFURINI Nicola,26,Norda-MG.Kvis Vega,,,5:25:24,tour-of-the-alps/2016/stage-2,2016
139,139,133,+7:51,95,MENDES José,30,Bora - Argon 18,,,5:25:51,tour-of-the-alps/2016/stage-2,2016
140,140,140,+12:42,123,KAMBERAJ Giuliano,21,Skydive Dubai Pro Cycling Team - Al Ahli Club,,,5:26:38,tour-of-the-alps/2016/stage-2,2016
