,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,1,+0:00,4,MOSCON Gianni,26,INEOS Grenadiers,20,30,3:29:24,tour-of-the-alps/2021/stage-1,2021
2,2,2,+0:04,195,ANDERSEN Idar,21,Uno-X Pro Cycling Team,10,18,3:29:24,tour-of-the-alps/2021/stage-1,2021
3,3,3,+0:06,74,RIABUSHENKO Alexandr,25,UAE-Team Emirates,5,12,3:29:24,tour-of-the-alps/2021/stage-1,2021
4,4,4,+0:10,33,FELLINE Fabio,31,Astana - Premier Tech,,7,3:29:24,tour-of-the-alps/2021/stage-1,2021
5,5,5,+0:10,57,SCHULTZ Nick,26,Team BikeExchange,,4,3:29:24,tour-of-the-alps/2021/stage-1,2021
6,6,6,+0:10,161,BATTAGLIN Enrico,31,Bardiani-CSF-Faizanè,,3,3:29:24,tour-of-the-alps/2021/stage-1,2021
7,7,7,+0:10,21,BRAMBILLA Gianluca,33,Trek - Segafredo,,2,3:29:24,tour-of-the-alps/2021/stage-1,2021
8,8,8,+0:10,63,GUERREIRO Ruben,26,EF Education - Nippo,,1,3:29:24,tour-of-the-alps/2021/stage-1,2021
9,9,9,+0:10,137,TESFATSION Natnael,21,Androni Giocattoli - Sidermec,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
10,10,10,+0:10,87,JANSE VAN RENSBURG Reinardt,32,Team Qhubeka ASSOS,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
11,11,11,+0:10,34,SÁNCHEZ Luis León,37,Astana - Premier Tech,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
12,12,12,+0:10,151,QUINTANA Nairo,31,Team Arkéa Samsic,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
13,13,13,+0:10,101,BILBAO Pello,31,Bahrain - Victorious,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
14,14,14,+0:10,166,SAVINI Daniel,23,Bardiani-CSF-Faizanè,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
15,15,15,+0:10,94,GOLDSTEIN Omer,24,Israel Start-Up Nation,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
16,16,16,+0:10,133,CHIRICO Luca,28,Androni Giocattoli - Sidermec,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
17,17,17,+0:10,173,BAIS Davide,23,EOLO-Kometa,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
18,18,18,+0:10,42,GROßSCHARTNER Felix,27,BORA - hansgrohe,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
19,19,19,+0:10,113,WARBASSE Larry,30,AG2R Citroën Team,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
20,20,20,+0:10,17,VAN DEN BERG Lars,22,Groupama - FDJ,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
21,21,21,+0:10,165,GABBURO Davide,28,Bardiani-CSF-Faizanè,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
22,22,22,+0:10,136,UMBA Santiago,18,Androni Giocattoli - Sidermec,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
23,23,23,+0:10,111,BIDARD François,29,AG2R Citroën Team,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
24,24,24,+0:10,124,ROCHE Nicolas,36,Team DSM,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
25,25,25,+0:10,142,SCARONI Cristian,23,Gazprom - RusVelo,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
26,26,26,+0:10,197,JOHANNESSEN Tobias Halland,21,Uno-X Pro Cycling Team,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
27,27,27,+0:10,22,GHEBREIGZABHIER Amanuel,26,Trek - Segafredo,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
28,28,28,+0:10,121,BARDET Romain,30,Team DSM,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
29,29,29,+0:10,123,HINDLEY Jai,24,Team DSM,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
30,30,30,+0:10,1,SIVAKOV Pavel,23,INEOS Grenadiers,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
31,31,31,+0:10,77,MUÑOZ Cristian Camilo,25,UAE-Team Emirates,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
32,32,32,+0:10,56,SCOTSON Callum,24,Team BikeExchange,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
33,33,33,+0:10,185,BARRENETXEA Jon,20,Caja Rural - Seguros RGA,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
34,34,34,+0:10,24,RIES Michel,23,Trek - Segafredo,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
35,35,35,+0:10,155,DELAPLACE Anthony,31,Team Arkéa Samsic,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
36,36,36,+0:10,47,ZWIEHOFF Ben,27,BORA - hansgrohe,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
37,37,37,+0:10,193,SLEEN Torjus,24,Uno-X Pro Cycling Team,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
38,38,38,+0:10,7,SOSA Iván Ramiro,23,INEOS Grenadiers,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
39,39,39,+0:10,171,RAVASI Edward,26,EOLO-Kometa,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
40,40,40,+0:10,71,ARDILA Andrés Camilo,21,UAE-Team Emirates,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
41,41,41,+0:10,14,GUGLIELMI Simon,23,Groupama - FDJ,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
42,42,42,+0:10,41,FABBRO Matteo,26,BORA - hansgrohe,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
43,43,43,+0:10,32,PRONSKIY Vadim,22,Astana - Premier Tech,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
44,44,44,+0:10,172,ROPERO Alejandro,23,EOLO-Kometa,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
45,45,45,+0:10,73,DOMBROWSKI Joe,29,UAE-Team Emirates,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
46,46,46,+0:10,91,CATAFORD Alexander,27,Israel Start-Up Nation,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
47,47,47,+0:10,116,PRODHOMME Nicolas,24,AG2R Citroën Team,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
48,48,48,+0:10,182,OSORIO Alejandro,22,Caja Rural - Seguros RGA,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
49,49,49,+0:10,96,MARTIN Dan,34,Israel Start-Up Nation,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
50,50,50,+0:10,25,SKJELMOSE JENSEN Mattias,20,Trek - Segafredo,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
51,51,51,+0:10,3,MARTÍNEZ Daniel Felipe,24,INEOS Grenadiers,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
52,52,52,+0:10,112,BOUCHARD Geoffrey,29,AG2R Citroën Team,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
53,53,53,+0:10,31,VLASOV Aleksandr,24,Astana - Premier Tech,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
54,54,54,+0:10,176,FETTER Erik,21,EOLO-Kometa,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
55,55,55,+0:10,131,BISOLTI Alessandro,36,Androni Giocattoli - Sidermec,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
56,56,56,+0:10,167,ZANA Filippo,22,Bardiani-CSF-Faizanè,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
57,57,57,+0:10,181,AMEZQUETA Julen,27,Caja Rural - Seguros RGA,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
58,58,58,+0:10,154,ANACONA Winner,32,Team Arkéa Samsic,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
59,59,59,+0:10,54,MEYER Cameron,33,Team BikeExchange,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
60,60,60,+0:10,2,HENAO Sebastián,27,INEOS Grenadiers,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
61,61,61,+0:10,51,YATES Simon,28,Team BikeExchange,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
62,62,62,+0:10,11,PINOT Thibaut,30,Groupama - FDJ,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
63,63,63,+0:10,163,CARBONI Giovanni,25,Bardiani-CSF-Faizanè,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
64,64,64,+0:10,75,MARCATO Marco,37,UAE-Team Emirates,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
65,65,65,+0:10,23,NIBALI Antonio,28,Trek - Segafredo,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
66,66,66,+0:10,53,KANGERT Tanel,34,Team BikeExchange,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
67,67,67,+0:10,85,POZZOVIVO Domenico,38,Team Qhubeka ASSOS,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
68,68,68,+0:10,62,CARTHY Hugh,26,EF Education - Nippo,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
69,69,69,+0:10,164,COVILI Luca,24,Bardiani-CSF-Faizanè,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
70,70,70,+0:10,115,HÄNNINEN Jaakko,24,AG2R Citroën Team,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
71,71,71,+0:10,132,CEPEDA Jefferson Alexander,22,Androni Giocattoli - Sidermec,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
72,72,72,+0:10,174,CHRISTIAN Mark,30,EOLO-Kometa,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
73,73,73,+0:10,114,GALLOPIN Tony,32,AG2R Citroën Team,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
74,74,74,+0:10,16,VALTER Attila,22,Groupama - FDJ,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
75,75,75,+0:10,122,COMBAUD Romain,30,Team DSM,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
76,76,76,+0:10,104,PERNSTEINER Hermann,30,Bahrain - Victorious,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
77,77,77,+0:10,141,ZAKARIN Ilnur,31,Gazprom - RusVelo,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
78,78,78,+0:10,83,FRANKINY Kilian,27,Team Qhubeka ASSOS,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
79,79,79,+0:10,67,VAN GARDEREN Tejay,32,EF Education - Nippo,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
80,80,80,+0:10,95,HERMANS Ben,34,Israel Start-Up Nation,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
81,81,81,+0:10,145,KOCHETKOV Pavel,35,Gazprom - RusVelo,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
82,82,82,+0:10,106,VALLS Rafael,33,Bahrain - Victorious,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
83,83,83,+0:10,205,STEINHAUSER Georg,19,Tirol KTM Cycling Team,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
84,84,84,+0:10,55,NIEVE Mikel,36,Team BikeExchange,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
85,85,85,+0:10,143,NEKRASOV Denis,24,Gazprom - RusVelo,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
86,86,86,+0:10,191,TRÆEN Torstein,25,Uno-X Pro Cycling Team,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
87,87,87,+0:10,135,RAVANELLI Simone,25,Androni Giocattoli - Sidermec,,,3:29:24,tour-of-the-alps/2021/stage-1,2021
88,88,88,+0:35,26,TIBERI Antonio,19,Trek - Segafredo,,,3:29:49,tour-of-the-alps/2021/stage-1,2021
89,89,89,+0:35,5,PUCCIO Salvatore,31,INEOS Grenadiers,,,3:29:49,tour-of-the-alps/2021/stage-1,2021
90,90,90,+0:35,201,LIPOWITZ Florian,20,Tirol KTM Cycling Team,,,3:29:49,tour-of-the-alps/2021/stage-1,2021
91,91,91,+0:35,97,NIV Guy,27,Israel Start-Up Nation,,,3:29:49,tour-of-the-alps/2021/stage-1,2021
92,92,92,+0:35,105,PADUN Mark,24,Bahrain - Victorious,,,3:29:49,tour-of-the-alps/2021/stage-1,2021
93,93,93,+0:35,43,PALZER Anton,28,BORA - hansgrohe,,,3:29:49,tour-of-the-alps/2021/stage-1,2021
94,94,94,+0:35,52,COLLEONI Kevin,21,Team BikeExchange,,,3:29:49,tour-of-the-alps/2021/stage-1,2021
95,95,95,+0:39,6,BASSO Leonardo,27,INEOS Grenadiers,,,3:29:53,tour-of-the-alps/2021/stage-1,2021
96,96,96,+1:58,183,MARTÍN Sergio Roman,24,Caja Rural - Seguros RGA,,,3:31:12,tour-of-the-alps/2021/stage-1,2021
97,97,97,+3:37,92,DE MARCHI Alessandro,34,Israel Start-Up Nation,,,3:32:51,tour-of-the-alps/2021/stage-1,2021
98,98,98,+5:06,125,STORER Michael,24,Team DSM,,,3:34:20,tour-of-the-alps/2021/stage-1,2021
99,99,99,+5:23,46,WANDAHL Frederik,19,BORA - hansgrohe,,,3:34:37,tour-of-the-alps/2021/stage-1,2021
100,100,100,+5:23,45,SELIG Rüdiger,32,BORA - hansgrohe,,,3:34:37,tour-of-the-alps/2021/stage-1,2021
101,101,101,+5:23,204,GOVEKAR Matevž,21,Tirol KTM Cycling Team,,,3:34:37,tour-of-the-alps/2021/stage-1,2021
102,102,102,+5:23,152,QUINTANA Dayer,28,Team Arkéa Samsic,,,3:34:37,tour-of-the-alps/2021/stage-1,2021
103,103,103,+5:23,15,THOMPSON Reuben,20,Groupama - FDJ,,,3:34:37,tour-of-the-alps/2021/stage-1,2021
