,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,10,+1:32,5,LANDA Mikel,24,Astana Pro Team,20,30,4:49:39,tour-of-the-alps/2014/stage-4,2014
2,2,5,+1:06,124,MEINTJES Louis,22,MTN - Qhubeka,14,18,4:49:49,tour-of-the-alps/2014/stage-4,2014
3,3,9,+1:26,71,PELLIZOTTI Franco,36,Androni Giocattoli - Venezuela,8,12,4:50:14,tour-of-the-alps/2014/stage-4,2014
4,4,3,+1:01,31,NIEMIEC Przemysław,34,Lampre - Merida,7,7,4:50:20,tour-of-the-alps/2014/stage-4,2014
5,5,1,+0:00,51,EVANS Cadel,37,BMC Racing Team,6,4,4:50:20,tour-of-the-alps/2014/stage-4,2014
6,6,4,+1:01,92,DUARTE Fabio,27,Team Colombia,5,3,4:50:20,tour-of-the-alps/2014/stage-4,2014
7,7,2,+0:50,11,POZZOVIVO Domenico,31,AG2R La Mondiale,4,2,4:50:25,tour-of-the-alps/2014/stage-4,2014
8,8,8,+1:11,1,SCARPONI Michele,34,Astana Pro Team,2,1,4:50:25,tour-of-the-alps/2014/stage-4,2014
9,9,6,+1:07,151,MACHADO Tiago,28,Team NetApp – Endura,,,4:50:28,tour-of-the-alps/2014/stage-4,2014
10,10,7,+1:09,2,ARU Fabio,23,Astana Pro Team,,,4:50:28,tour-of-the-alps/2014/stage-4,2014
11,11,19,+6:26,61,WIGGINS Bradley,33,Team Sky,,,4:50:43,tour-of-the-alps/2014/stage-4,2014
12,12,17,+5:52,105,GARCÍA Marcos,27,Caja Rural - Seguros RGA,,,4:51:23,tour-of-the-alps/2014/stage-4,2014
13,13,22,+6:46,127,PARDILLA Sergio,30,MTN - Qhubeka,,,4:51:29,tour-of-the-alps/2014/stage-4,2014
14,14,13,+4:03,131,RABOTTINI Matteo,26,Neri Sottoli,,,4:51:44,tour-of-the-alps/2014/stage-4,2014
15,15,15,+4:22,16,DUPONT Hubert,33,AG2R La Mondiale,,,4:52:20,tour-of-the-alps/2014/stage-4,2014
16,16,12,+3:53,42,BENNETT George,24,Cannondale ,,,4:52:23,tour-of-the-alps/2014/stage-4,2014
17,17,11,+3:28,21,ANTÓN Igor,31,Movistar Team,,,4:52:47,tour-of-the-alps/2014/stage-4,2014
18,18,14,+4:17,83,BONGIORNO Francesco Manuel,23,Bardiani - CSF Pro Team,,,4:53:05,tour-of-the-alps/2014/stage-4,2014
19,19,21,+6:41,146,LAGUTIN Sergey,33,RusVelo,,,4:53:21,tour-of-the-alps/2014/stage-4,2014
20,20,18,+6:07,134,FINETTO Mauro,28,Neri Sottoli,,,4:53:45,tour-of-the-alps/2014/stage-4,2014
21,21,16,+5:42,66,SIUTSOU Kanstantsin,31,Team Sky,,,4:54:19,tour-of-the-alps/2014/stage-4,2014
22,22,24,+7:01,22,CAPECCHI Eros,27,Movistar Team,,,4:55:08,tour-of-the-alps/2014/stage-4,2014
23,23,25,+8:10,41,BASSO Ivan,36,Cannondale ,,,4:55:08,tour-of-the-alps/2014/stage-4,2014
24,24,23,+6:50,56,MORABITO Steve,31,BMC Racing Team,,,4:55:08,tour-of-the-alps/2014/stage-4,2014
25,25,26,+8:57,97,PANTANO Jarlinson,25,Team Colombia,,,4:55:08,tour-of-the-alps/2014/stage-4,2014
26,26,38,+14:52,76,RODRÍGUEZ Jackson,29,Androni Giocattoli - Venezuela,,,4:55:49,tour-of-the-alps/2014/stage-4,2014
27,27,20,+6:37,84,ZARDINI Edoardo,24,Bardiani - CSF Pro Team,,,4:55:53,tour-of-the-alps/2014/stage-4,2014
28,28,27,+9:01,32,ANACONA Winner,25,Lampre - Merida,,,4:56:31,tour-of-the-alps/2014/stage-4,2014
29,29,41,+17:18,14,BOUET Maxime,27,AG2R La Mondiale,,,4:56:31,tour-of-the-alps/2014/stage-4,2014
30,30,37,+14:02,155,KÖNIG Leopold,26,Team NetApp – Endura,,,4:56:33,tour-of-the-alps/2014/stage-4,2014
31,31,29,+9:44,141,OVECHKIN Artem,27,RusVelo,,,4:56:37,tour-of-the-alps/2014/stage-4,2014
32,32,28,+9:21,144,ZAKARIN Ilnur,24,RusVelo,,,4:56:47,tour-of-the-alps/2014/stage-4,2014
33,33,31,+10:55,75,GODOY Yonder,21,Androni Giocattoli - Venezuela,,,4:57:31,tour-of-the-alps/2014/stage-4,2014
34,34,30,+10:50,115,RUTKIEWICZ Marek,32,CCC Polsat Polkowice,,,4:57:42,tour-of-the-alps/2014/stage-4,2014
35,35,32,+12:26,103,TXURRUKA Amets,31,Caja Rural - Seguros RGA,,,4:57:42,tour-of-the-alps/2014/stage-4,2014
36,36,35,+13:18,157,MENDES José,29,Team NetApp – Endura,,,4:59:17,tour-of-the-alps/2014/stage-4,2014
37,37,60,+33:47,25,QUINTANA Dayer,21,Movistar Team,,,4:59:24,tour-of-the-alps/2014/stage-4,2014
38,38,43,+18:23,53,BOOKWALTER Brent,30,BMC Racing Team,,,4:59:35,tour-of-the-alps/2014/stage-4,2014
39,39,36,+13:46,77,FACCHINI Patrick,26,Androni Giocattoli - Venezuela,,,4:59:50,tour-of-the-alps/2014/stage-4,2014
40,40,44,+18:55,7,TIRALONGO Paolo,36,Astana Pro Team,,,5:00:33,tour-of-the-alps/2014/stage-4,2014
41,41,34,+13:07,153,DE LA CRUZ David,24,Team NetApp – Endura,,,5:00:33,tour-of-the-alps/2014/stage-4,2014
42,42,33,+12:41,63,DEIGNAN Philip,30,Team Sky,,,5:00:33,tour-of-the-alps/2014/stage-4,2014
43,43,47,+20:45,6,ZEITS Andrey,27,Astana Pro Team,,,5:01:20,tour-of-the-alps/2014/stage-4,2014
44,44,62,+36:24,81,BATTAGLIN Enrico,24,Bardiani - CSF Pro Team,,,5:01:22,tour-of-the-alps/2014/stage-4,2014
45,45,45,+18:58,78,TALIANI Alessio,23,Androni Giocattoli - Venezuela,,,5:01:33,tour-of-the-alps/2014/stage-4,2014
46,46,59,+33:32,64,BOSWELL Ian,23,Team Sky,,,5:01:53,tour-of-the-alps/2014/stage-4,2014
47,47,48,+21:01,46,SALERNO Cristiano,29,Cannondale ,,,5:01:55,tour-of-the-alps/2014/stage-4,2014
48,48,39,+15:07,73,ROSA Diego,25,Androni Giocattoli - Venezuela,,,5:02:13,tour-of-the-alps/2014/stage-4,2014
49,49,67,+39:52,145,FIRSANOV Sergey,31,RusVelo,,,5:02:43,tour-of-the-alps/2014/stage-4,2014
