,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,7,+1:32,1,POZZOVIVO Domenico,32,AG2R La Mondiale,20,30,4:54:12,tour-of-the-alps/2015/stage-3,2015
2,2,2,+0:22,14,LANDA Mikel,25,Astana Pro Team,14,18,4:54:17,tour-of-the-alps/2015/stage-3,2015
3,3,1,+0:00,31,PORTE Richie,30,Team Sky,8,12,4:54:17,tour-of-the-alps/2015/stage-3,2015
4,4,9,+1:34,8,BARDET Romain,24,AG2R La Mondiale,7,7,4:54:17,tour-of-the-alps/2015/stage-3,2015
5,5,5,+1:13,61,CUNEGO Damiano,33,Nippo - Vini Fantini ,6,4,4:54:17,tour-of-the-alps/2015/stage-3,2015
6,6,11,+1:48,94,TORRES Rodolfo Andrés,28,Team Colombia,5,3,4:54:25,tour-of-the-alps/2015/stage-3,2015
7,7,4,+1:11,12,CATALDO Dario,30,Astana Pro Team,4,2,4:54:27,tour-of-the-alps/2015/stage-3,2015
8,8,13,+2:12,16,ROSA Diego,26,Astana Pro Team,2,1,4:54:27,tour-of-the-alps/2015/stage-3,2015
9,9,8,+1:33,111,MEINTJES Louis,23,MTN - Qhubeka,,,4:54:29,tour-of-the-alps/2015/stage-3,2015
10,10,3,+0:58,34,KÖNIG Leopold,27,Team Sky,,,4:54:29,tour-of-the-alps/2015/stage-3,2015
11,11,6,+1:15,135,MENDES José,29,Bora - Argon 18,,,4:54:29,tour-of-the-alps/2015/stage-3,2015
12,12,10,+1:37,54,ZARDINI Edoardo,25,Bardiani - CSF Pro Team,,,4:54:32,tour-of-the-alps/2015/stage-3,2015
13,13,12,+1:48,52,PIRAZZI Stefano,28,Bardiani - CSF Pro Team,,,4:54:32,tour-of-the-alps/2015/stage-3,2015
14,14,42,+14:03,141,ARROYO David,35,Caja Rural - Seguros RGA,,,4:54:32,tour-of-the-alps/2015/stage-3,2015
15,15,27,+9:08,144,CARTHY Hugh,20,Caja Rural - Seguros RGA,,,4:54:47,tour-of-the-alps/2015/stage-3,2015
16,16,14,+4:00,21,HESJEDAL Ryder,34,Team Cannondale - Garmin ,,,4:54:53,tour-of-the-alps/2015/stage-3,2015
