,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,2,+0:02,25,KANGERT Tanel,29,Astana Pro Team,20,30,4:07:29,tour-of-the-alps/2016/stage-4,2016
2,2,11,+1:11,82,BUSATO Matteo,28,Wilier - Southeast,10,18,4:07:29,tour-of-the-alps/2016/stage-4,2016
3,3,1,+0:00,1,LANDA Mikel,26,Team Sky,5,12,4:07:29,tour-of-the-alps/2016/stage-4,2016
4,4,5,+0:24,94,KONRAD Patrick,24,Bora - Argon 18,,7,4:07:29,tour-of-the-alps/2016/stage-4,2016
5,5,3,+0:14,24,FUGLSANG Jakob,31,Astana Pro Team,,4,4:07:29,tour-of-the-alps/2016/stage-4,2016
6,6,4,+0:19,62,FIRSANOV Sergey,33,Gazprom-RusVelo,,3,4:07:29,tour-of-the-alps/2016/stage-4,2016
7,7,7,+0:28,18,POZZOVIVO Domenico,33,AG2R La Mondiale,,2,4:07:29,tour-of-the-alps/2016/stage-4,2016
8,8,6,+0:24,11,BARDET Romain,25,AG2R La Mondiale,,1,4:07:29,tour-of-the-alps/2016/stage-4,2016
9,9,13,+2:04,103,PARDILLA Sergio,32,Caja Rural - Seguros RGA,,,4:07:29,tour-of-the-alps/2016/stage-4,2016
10,10,10,+0:56,14,DUPONT Hubert,35,AG2R La Mondiale,,,4:07:29,tour-of-the-alps/2016/stage-4,2016
11,11,8,+0:30,92,BUCHMANN Emanuel,23,Bora - Argon 18,,,4:07:29,tour-of-the-alps/2016/stage-4,2016
12,12,9,+0:42,17,PERAUD Jean-Christophe,38,AG2R La Mondiale,,,4:07:29,tour-of-the-alps/2016/stage-4,2016
13,13,12,+2:03,53,PIRAZZI Stefano,29,Bardiani - CSF,,,4:07:33,tour-of-the-alps/2016/stage-4,2016
14,14,51,+24:34,171,FICARA Pierpaolo,25,Amore & Vita - Selle SMP,,,4:09:10,tour-of-the-alps/2016/stage-4,2016
15,15,15,+3:35,153,GAZZARA Michele,25,Norda-MG.Kvis Vega,,,4:09:10,tour-of-the-alps/2016/stage-4,2016
16,16,17,+4:22,172,CELANO Danilo,26,Amore & Vita - Selle SMP,,,4:09:10,tour-of-the-alps/2016/stage-4,2016
17,17,14,+2:52,28,SCARPONI Michele,36,Astana Pro Team,,,4:09:13,tour-of-the-alps/2016/stage-4,2016
18,18,30,+11:43,3,DEIGNAN Philip,32,Team Sky,,,4:09:13,tour-of-the-alps/2016/stage-4,2016
19,19,18,+6:21,86,MARTÍNEZ Daniel Felipe,19,Wilier - Southeast,,,4:10:12,tour-of-the-alps/2016/stage-4,2016
20,20,32,+13:40,6,MOSCON Gianni,22,Team Sky,,,4:10:12,tour-of-the-alps/2016/stage-4,2016
21,21,31,+13:10,33,RAVASI Edward,21,Italy,,,4:10:12,tour-of-the-alps/2016/stage-4,2016
22,22,33,+13:54,37,TECCHIO Marco,21,Italy,,,4:10:12,tour-of-the-alps/2016/stage-4,2016
23,23,20,+6:48,107,FERRARI Fabricio,30,Caja Rural - Seguros RGA,,,4:10:12,tour-of-the-alps/2016/stage-4,2016
24,24,47,+23:09,96,MÜHLBERGER Gregor,22,Bora - Argon 18,,,4:10:12,tour-of-the-alps/2016/stage-4,2016
25,25,23,+8:10,27,MALACARNE Davide,28,Astana Pro Team,,,4:10:12,tour-of-the-alps/2016/stage-4,2016
26,26,16,+4:18,42,BERNAL Egan,19,Androni Giocattoli - Sidermec,,,4:10:12,tour-of-the-alps/2016/stage-4,2016
27,27,24,+8:16,161,FANKHAUSER Clemens,30,Tirol Cycling Team,,,4:11:38,tour-of-the-alps/2016/stage-4,2016
28,28,19,+6:28,128,PINTO Edgar,30,Skydive Dubai Pro Cycling Team - Al Ahli Club,,,4:11:38,tour-of-the-alps/2016/stage-4,2016
29,29,26,+9:29,87,RODRÍGUEZ Cristián,21,Wilier - Southeast,,,4:11:38,tour-of-the-alps/2016/stage-4,2016
30,30,28,+11:06,44,FRAPPORTI Marco,31,Androni Giocattoli - Sidermec,,,4:11:38,tour-of-the-alps/2016/stage-4,2016
31,31,25,+8:19,101,PRADES Eduard,28,Caja Rural - Seguros RGA,,,4:11:38,tour-of-the-alps/2016/stage-4,2016
32,32,29,+11:14,66,FOLIFOROV Alexander,24,Gazprom-RusVelo,,,4:11:38,tour-of-the-alps/2016/stage-4,2016
33,33,42,+21:24,23,CAPECCHI Eros,29,Astana Pro Team,,,4:11:38,tour-of-the-alps/2016/stage-4,2016
34,34,21,+6:58,21,NIBALI Vincenzo,31,Astana Pro Team,,,4:11:38,tour-of-the-alps/2016/stage-4,2016
35,35,22,+7:08,4,BOSWELL Ian,25,Team Sky,,,4:11:38,tour-of-the-alps/2016/stage-4,2016
36,36,27,+10:07,48,TORRES Rodolfo Andrés,29,Androni Giocattoli - Sidermec,,,4:15:29,tour-of-the-alps/2016/stage-4,2016
37,37,54,+25:37,73,BISOLTI Alessandro,31,Nippo - Vini Fantini ,,,4:15:29,tour-of-the-alps/2016/stage-4,2016
38,38,63,+28:08,102,CARTHY Hugh,21,Caja Rural - Seguros RGA,,,4:15:35,tour-of-the-alps/2016/stage-4,2016
39,39,35,+14:20,81,AMEZQUETA Julen,22,Wilier - Southeast,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
40,40,44,+22:22,106,MOLINA Antonio,25,Caja Rural - Seguros RGA,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
41,41,38,+18:05,145,GASPAR João,24,Brazil,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
42,42,71,+33:18,121,MANCEBO Francisco,40,Skydive Dubai Pro Cycling Team - Al Ahli Club,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
43,43,73,+36:29,75,DE NEGRI Pier Paolo,29,Nippo - Vini Fantini ,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
44,44,61,+27:07,117,PHELAN Adam,24,Drapac Professional Cycling,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
45,45,37,+14:37,114,MANNION Gavin,24,Drapac Professional Cycling,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
46,46,34,+14:14,67,ARSLANOV Ildar,22,Gazprom-RusVelo,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
47,47,78,+39:40,152,GAFFURINI Nicola,26,Norda-MG.Kvis Vega,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
48,48,43,+21:27,154,NARDELLI Stefano,22,Norda-MG.Kvis Vega,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
49,49,50,+24:12,38,ANSELMI Enrico,21,Italy,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
50,50,74,+36:33,173,ZAMPARELLA Marco,28,Amore & Vita - Selle SMP,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
51,51,36,+14:21,55,CHIRICO Luca,23,Bardiani - CSF,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
52,52,60,+27:05,71,CUNEGO Damiano,34,Nippo - Vini Fantini ,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
53,53,41,+21:21,56,BONGIORNO Francesco Manuel,25,Bardiani - CSF,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
54,54,45,+22:38,41,PELLIZOTTI Franco,38,Androni Giocattoli - Sidermec,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
55,55,49,+23:58,68,RYBALKIN Aleksey,22,Gazprom-RusVelo,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
56,56,48,+23:43,127,SANTAROMITA Ivan,31,Skydive Dubai Pro Cycling Team - Al Ahli Club,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
57,57,57,+26:04,13,DOMONT Axel,25,AG2R La Mondiale,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
58,58,62,+28:04,15,BONNAFOND Guillaume,28,AG2R La Mondiale,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
59,59,72,+35:29,137,TIZZA Marco,24,d'Amico - Bottecchia,,,4:18:02,tour-of-the-alps/2016/stage-4,2016
60,60,68,+31:01,26,KOZHATAYEV Bakhtiyar,24,Astana Pro Team,,,4:21:23,tour-of-the-alps/2016/stage-4,2016
61,61,55,+25:49,85,GIL MARTINEZ Tomas Aurelio,38,Wilier - Southeast,,,4:21:23,tour-of-the-alps/2016/stage-4,2016
62,62,76,+38:36,174,HALILAJ Redi,26,Amore & Vita - Selle SMP,,,4:21:23,tour-of-the-alps/2016/stage-4,2016
63,63,39,+18:20,22,AGNOLI Valerio,31,Astana Pro Team,,,4:21:23,tour-of-the-alps/2016/stage-4,2016
64,64,56,+25:51,148,AFFONSO Murilo,24,Brazil,,,4:21:23,tour-of-the-alps/2016/stage-4,2016
65,65,82,+45:05,155,SALVIETTI Niccolò,22,Norda-MG.Kvis Vega,,,4:21:23,tour-of-the-alps/2016/stage-4,2016
66,66,58,+26:20,98,VOSS Paul,30,Bora - Argon 18,,,4:21:23,tour-of-the-alps/2016/stage-4,2016
67,67,53,+25:33,91,BENEDETTI Cesare,28,Bora - Argon 18,,,4:21:23,tour-of-the-alps/2016/stage-4,2016
68,68,75,+38:13,12,BIDARD François,24,AG2R La Mondiale,,,4:21:23,tour-of-the-alps/2016/stage-4,2016
69,69,65,+29:51,2,KNEES Christian,35,Team Sky,,,4:21:23,tour-of-the-alps/2016/stage-4,2016
70,70,52,+24:48,141,NAZARET Magno,30,Brazil,,,4:21:23,tour-of-the-alps/2016/stage-4,2016
71,71,79,+41:10,95,MENDES José,30,Bora - Argon 18,,,4:21:23,tour-of-the-alps/2016/stage-4,2016
72,72,80,+41:27,61,KOLOBNEV Alexandr,34,Gazprom-RusVelo,,,4:25:03,tour-of-the-alps/2016/stage-4,2016
73,73,84,+46:08,113,KONING Peter,25,Drapac Professional Cycling,,,4:25:03,tour-of-the-alps/2016/stage-4,2016
74,74,40,+20:09,31,FINETTO Mauro,30,Italy,,,4:25:03,tour-of-the-alps/2016/stage-4,2016
75,75,59,+26:53,34,FABBRO Matteo,21,Italy,,,4:25:03,tour-of-the-alps/2016/stage-4,2016
76,76,69,+31:54,116,NORRIS Lachlan,29,Drapac Professional Cycling,,,4:25:03,tour-of-the-alps/2016/stage-4,2016
77,77,81,+43:24,164,SCHÖNBERGER Sebastian,21,Tirol Cycling Team,,,4:25:03,tour-of-the-alps/2016/stage-4,2016
78,78,66,+30:02,93,HUZARSKI Bartosz,35,Bora - Argon 18,,,4:25:03,tour-of-the-alps/2016/stage-4,2016
79,79,67,+30:47,97,NERZ Dominik,26,Bora - Argon 18,,,4:25:03,tour-of-the-alps/2016/stage-4,2016
80,80,46,+23:09,58,ANDREETTA Simone,22,Bardiani - CSF,,,4:25:03,tour-of-the-alps/2016/stage-4,2016
81,81,70,+32:16,54,ROTA Lorenzo,20,Bardiani - CSF,,,4:25:07,tour-of-the-alps/2016/stage-4,2016
82,82,77,+39:00,74,NIBALI Antonio,23,Nippo - Vini Fantini ,,,4:25:55,tour-of-the-alps/2016/stage-4,2016
83,83,64,+28:36,142,ORMENESE Caio Godoy,20,Brazil,,,4:28:11,tour-of-the-alps/2016/stage-4,2016
84,84,83,+45:24,175,MARTINS Uri,25,Amore & Vita - Selle SMP,,,4:28:11,tour-of-the-alps/2016/stage-4,2016
