,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,1,+0:00,51,EVANS Cadel,37,BMC Racing Team,20,30,4:43:43,tour-of-the-alps/2014/stage-3,2014
2,2,2,+0:45,11,POZZOVIVO Domenico,31,AG2R La Mondiale,14,18,4:43:46,tour-of-the-alps/2014/stage-3,2014
3,3,18,+2:23,5,LANDA Mikel,24,Astana Pro Team,8,12,4:43:52,tour-of-the-alps/2014/stage-3,2014
4,4,9,+1:06,1,SCARPONI Michele,34,Astana Pro Team,7,7,4:44:01,tour-of-the-alps/2014/stage-3,2014
5,5,4,+1:01,21,ANTÓN Igor,31,Movistar Team,6,4,4:44:03,tour-of-the-alps/2014/stage-3,2014
6,6,10,+1:32,83,BONGIORNO Francesco Manuel,23,Bardiani - CSF Pro Team,5,3,4:44:08,tour-of-the-alps/2014/stage-3,2014
7,7,5,+1:01,2,ARU Fabio,23,Astana Pro Team,4,2,4:44:08,tour-of-the-alps/2014/stage-3,2014
8,8,3,+0:59,151,MACHADO Tiago,28,Team NetApp – Endura,2,1,4:44:08,tour-of-the-alps/2014/stage-3,2014
9,9,13,+1:43,124,MEINTJES Louis,22,MTN - Qhubeka,,,4:44:10,tour-of-the-alps/2014/stage-3,2014
10,10,7,+1:01,92,DUARTE Fabio,27,Team Colombia,,,4:44:11,tour-of-the-alps/2014/stage-3,2014
11,11,11,+1:36,71,PELLIZOTTI Franco,36,Androni Giocattoli - Venezuela,,,4:44:13,tour-of-the-alps/2014/stage-3,2014
12,12,6,+1:01,31,NIEMIEC Przemysław,34,Lampre - Merida,,,4:44:17,tour-of-the-alps/2014/stage-3,2014
13,13,8,+1:04,84,ZARDINI Edoardo,24,Bardiani - CSF Pro Team,,,4:44:28,tour-of-the-alps/2014/stage-3,2014
14,14,14,+1:50,42,BENNETT George,24,Cannondale ,,,4:44:34,tour-of-the-alps/2014/stage-3,2014
15,15,12,+1:43,66,SIUTSOU Kanstantsin,31,Team Sky,,,4:44:36,tour-of-the-alps/2014/stage-3,2014
16,16,16,+2:13,22,CAPECCHI Eros,27,Movistar Team,,,4:44:40,tour-of-the-alps/2014/stage-3,2014
17,17,19,+2:28,63,DEIGNAN Philip,30,Team Sky,,,4:44:40,tour-of-the-alps/2014/stage-3,2014
18,18,17,+2:22,16,DUPONT Hubert,33,AG2R La Mondiale,,,4:44:45,tour-of-the-alps/2014/stage-3,2014
19,19,20,+2:39,131,RABOTTINI Matteo,26,Neri Sottoli,,,4:44:50,tour-of-the-alps/2014/stage-3,2014
20,20,23,+2:54,153,DE LA CRUZ David,24,Team NetApp – Endura,,,4:44:55,tour-of-the-alps/2014/stage-3,2014
21,21,30,+3:28,115,RUTKIEWICZ Marek,32,CCC Polsat Polkowice,,,4:44:55,tour-of-the-alps/2014/stage-3,2014
22,22,21,+2:42,134,FINETTO Mauro,28,Neri Sottoli,,,4:44:57,tour-of-the-alps/2014/stage-3,2014
23,23,15,+2:02,56,MORABITO Steve,31,BMC Racing Team,,,4:44:59,tour-of-the-alps/2014/stage-3,2014
24,24,27,+3:14,73,ROSA Diego,25,Androni Giocattoli - Venezuela,,,4:45:01,tour-of-the-alps/2014/stage-3,2014
25,25,31,+3:40,146,LAGUTIN Sergey,33,RusVelo,,,4:45:02,tour-of-the-alps/2014/stage-3,2014
26,26,26,+3:10,123,JANSE VAN RENSBURG Jacques,26,MTN - Qhubeka,,,4:45:04,tour-of-the-alps/2014/stage-3,2014
27,27,32,+3:44,75,GODOY Yonder,21,Androni Giocattoli - Venezuela,,,4:45:11,tour-of-the-alps/2014/stage-3,2014
28,28,28,+3:22,41,BASSO Ivan,36,Cannondale ,,,4:45:12,tour-of-the-alps/2014/stage-3,2014
29,29,24,+2:54,144,ZAKARIN Ilnur,24,RusVelo,,,4:45:12,tour-of-the-alps/2014/stage-3,2014
30,30,37,+4:49,105,GARCÍA Marcos,27,Caja Rural - Seguros RGA,,,4:45:25,tour-of-the-alps/2014/stage-3,2014
31,31,25,+3:06,108,FERNÁNDEZ Rubén,23,Caja Rural - Seguros RGA,,,4:45:25,tour-of-the-alps/2014/stage-3,2014
32,32,56,+9:23,76,RODRÍGUEZ Jackson,29,Androni Giocattoli - Venezuela,,,4:45:25,tour-of-the-alps/2014/stage-3,2014
33,33,22,+2:50,32,ANACONA Winner,25,Lampre - Merida,,,4:45:30,tour-of-the-alps/2014/stage-3,2014
34,34,34,+4:16,77,FACCHINI Patrick,26,Androni Giocattoli - Venezuela,,,4:45:32,tour-of-the-alps/2014/stage-3,2014
35,35,29,+3:27,141,OVECHKIN Artem,27,RusVelo,,,4:45:40,tour-of-the-alps/2014/stage-3,2014
36,36,38,+5:04,103,TXURRUKA Amets,31,Caja Rural - Seguros RGA,,,4:45:48,tour-of-the-alps/2014/stage-3,2014
37,37,57,+9:26,46,SALERNO Cristiano,29,Cannondale ,,,4:45:55,tour-of-the-alps/2014/stage-3,2014
38,38,33,+4:09,97,PANTANO Jarlinson,25,Team Colombia,,,4:46:03,tour-of-the-alps/2014/stage-3,2014
39,39,36,+4:31,136,MONSALVE Yonathan,24,Neri Sottoli,,,4:46:09,tour-of-the-alps/2014/stage-3,2014
40,40,48,+7:31,135,FAILLI Francesco,30,Neri Sottoli,,,4:46:29,tour-of-the-alps/2014/stage-3,2014
41,41,43,+6:16,74,SELLA Emanuele,33,Androni Giocattoli - Venezuela,,,4:46:29,tour-of-the-alps/2014/stage-3,2014
42,42,50,+7:45,78,TALIANI Alessio,23,Androni Giocattoli - Venezuela,,,4:46:32,tour-of-the-alps/2014/stage-3,2014
43,43,49,+7:32,112,OWSIAN Łukasz,24,CCC Polsat Polkowice,,,4:46:32,tour-of-the-alps/2014/stage-3,2014
44,44,35,+4:21,157,MENDES José,29,Team NetApp – Endura,,,4:46:50,tour-of-the-alps/2014/stage-3,2014
45,45,51,+7:49,155,KÖNIG Leopold,26,Team NetApp – Endura,,,4:46:58,tour-of-the-alps/2014/stage-3,2014
46,46,60,+11:07,14,BOUET Maxime,27,AG2R La Mondiale,,,4:46:58,tour-of-the-alps/2014/stage-3,2014
47,47,39,+5:14,3,AGNOLI Valerio,29,Astana Pro Team,,,4:46:58,tour-of-the-alps/2014/stage-3,2014
48,48,55,+9:23,44,MOSER Moreno,23,Cannondale ,,,4:47:00,tour-of-the-alps/2014/stage-3,2014
49,49,42,+6:03,61,WIGGINS Bradley,33,Team Sky,,,4:47:00,tour-of-the-alps/2014/stage-3,2014
50,50,44,+6:24,82,PIRAZZI Stefano,27,Bardiani - CSF Pro Team,,,4:47:00,tour-of-the-alps/2014/stage-3,2014
51,51,54,+9:08,53,BOOKWALTER Brent,30,BMC Racing Team,,,4:47:23,tour-of-the-alps/2014/stage-3,2014
52,52,58,+9:45,6,ZEITS Andrey,27,Astana Pro Team,,,4:47:30,tour-of-the-alps/2014/stage-3,2014
53,53,46,+7:20,62,CATALDO Dario,29,Team Sky,,,4:47:33,tour-of-the-alps/2014/stage-3,2014
54,54,41,+5:37,127,PARDILLA Sergio,30,MTN - Qhubeka,,,4:47:33,tour-of-the-alps/2014/stage-3,2014
55,55,45,+6:50,27,SZMYD Sylwester,36,Movistar Team,,,4:47:52,tour-of-the-alps/2014/stage-3,2014
56,56,40,+5:23,104,FRAILE Omar,23,Caja Rural - Seguros RGA,,,4:48:01,tour-of-the-alps/2014/stage-3,2014
57,57,53,+8:42,7,TIRALONGO Paolo,36,Astana Pro Team,,,4:48:06,tour-of-the-alps/2014/stage-3,2014
58,58,59,+10:29,154,HUZARSKI Bartosz,33,Team NetApp – Endura,,,4:48:14,tour-of-the-alps/2014/stage-3,2014
59,59,62,+14:26,106,PIEDRA Antonio,28,Caja Rural - Seguros RGA,,,4:48:26,tour-of-the-alps/2014/stage-3,2014
60,60,52,+8:11,117,TACIAK Mateusz,29,CCC Polsat Polkowice,,,4:48:35,tour-of-the-alps/2014/stage-3,2014
61,61,47,+7:20,88,PAGANI Angelo,25,Bardiani - CSF Pro Team,,,4:49:06,tour-of-the-alps/2014/stage-3,2014
