,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,15,+2:12,4,MOSCON Gianni,27,INEOS Grenadiers,20,30,4:04:25,tour-of-the-alps/2021/stage-3,2021
2,2,18,+2:26,42,GROßSCHARTNER Felix,27,BORA - hansgrohe,10,18,4:04:25,tour-of-the-alps/2021/stage-3,2021
3,3,92,+23:58,125,STORER Michael,24,Team DSM,5,12,4:04:26,tour-of-the-alps/2021/stage-3,2021
4,4,20,+2:33,41,FABBRO Matteo,26,BORA - hansgrohe,,7,4:04:26,tour-of-the-alps/2021/stage-3,2021
5,5,67,+12:47,92,DE MARCHI Alessandro,34,Israel Start-Up Nation,,4,4:04:26,tour-of-the-alps/2021/stage-3,2021
6,6,16,+2:13,23,NIBALI Antonio,28,Trek - Segafredo,,3,4:04:26,tour-of-the-alps/2021/stage-3,2021
7,7,36,+5:23,111,BIDARD François,29,AG2R Citroën Team,,2,4:04:26,tour-of-the-alps/2021/stage-3,2021
8,8,3,+1:04,101,BILBAO Pello,31,Bahrain - Victorious,,1,4:04:26,tour-of-the-alps/2021/stage-3,2021
9,9,19,+2:33,34,SÁNCHEZ Luis León,37,Astana - Premier Tech,,,4:04:26,tour-of-the-alps/2021/stage-3,2021
10,10,21,+2:45,104,PERNSTEINER Hermann,30,Bahrain - Victorious,,,4:04:38,tour-of-the-alps/2021/stage-3,2021
11,11,26,+3:21,124,ROCHE Nicolas,36,Team DSM,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
12,12,76,+14:54,105,PADUN Mark,24,Bahrain - Victorious,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
13,13,9,+1:52,63,GUERREIRO Ruben,26,EF Education - Nippo,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
14,14,22,+2:59,21,BRAMBILLA Gianluca,33,Trek - Segafredo,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
15,15,52,+8:03,142,SCARONI Cristian,23,Gazprom - RusVelo,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
16,16,39,+6:11,113,WARBASSE Larry,30,AG2R Citroën Team,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
17,17,60,+10:29,26,TIBERI Antonio,19,Trek - Segafredo,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
18,18,75,+14:29,161,BATTAGLIN Enrico,31,Bardiani-CSF-Faizanè,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
19,19,11,+1:52,121,BARDET Romain,30,Team DSM,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
20,20,94,+25:42,126,VANDENABEELE Henri,21,Team DSM,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
21,21,41,+6:11,32,PRONSKIY Vadim,22,Astana - Premier Tech,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
22,22,28,+3:21,176,FETTER Erik,21,EOLO-Kometa,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
23,23,23,+2:59,22,GHEBREIGZABHIER Amanuel,26,Trek - Segafredo,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
24,24,38,+6:11,133,CHIRICO Luca,28,Androni Giocattoli - Sidermec,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
25,25,40,+6:11,47,ZWIEHOFF Ben,27,BORA - hansgrohe,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
26,26,73,+13:47,35,SOBRERO Matteo,23,Astana - Premier Tech,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
27,27,58,+10:04,181,AMEZQUETA Julen,27,Caja Rural - Seguros RGA,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
28,28,5,+1:08,31,VLASOV Aleksandr,24,Astana - Premier Tech,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
29,29,7,+1:27,123,HINDLEY Jai,24,Team DSM,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
30,30,53,+8:03,145,KOCHETKOV Pavel,35,Gazprom - RusVelo,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
31,31,42,+6:11,116,PRODHOMME Nicolas,24,AG2R Citroën Team,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
32,32,66,+12:21,17,VAN DEN BERG Lars,22,Groupama - FDJ,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
33,33,43,+6:11,2,HENAO Sebastián,27,INEOS Grenadiers,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
34,34,2,+0:45,1,SIVAKOV Pavel,23,INEOS Grenadiers,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
35,35,6,+1:08,132,CEPEDA Jefferson Alexander,22,Androni Giocattoli - Sidermec,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
36,36,50,+7:26,91,CATAFORD Alexander,27,Israel Start-Up Nation,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
37,37,27,+3:21,24,RIES Michel,23,Trek - Segafredo,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
38,38,29,+3:21,25,SKJELMOSE JENSEN Mattias,20,Trek - Segafredo,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
39,39,83,+19:50,74,RIABUSHENKO Alexandr,25,UAE-Team Emirates,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
40,40,1,+0:00,51,YATES Simon,28,Team BikeExchange,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
41,41,59,+10:04,135,RAVANELLI Simone,25,Androni Giocattoli - Sidermec,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
42,42,10,+1:52,57,SCHULTZ Nick,26,Team BikeExchange,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
43,43,17,+2:18,3,MARTÍNEZ Daniel Felipe,24,INEOS Grenadiers,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
44,44,44,+6:11,115,HÄNNINEN Jaakko,24,AG2R Citroën Team,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
45,45,30,+3:21,163,CARBONI Giovanni,25,Bardiani-CSF-Faizanè,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
46,46,14,+2:09,112,BOUCHARD Geoffrey,29,AG2R Citroën Team,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
47,47,74,+14:09,183,MARTÍN Sergio Roman,24,Caja Rural - Seguros RGA,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
48,48,77,+15:17,36,GREGAARD Jonas,24,Astana - Premier Tech,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
49,49,24,+2:59,182,OSORIO Alejandro,22,Caja Rural - Seguros RGA,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
50,50,32,+3:21,85,POZZOVIVO Domenico,38,Team Qhubeka ASSOS,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
51,51,47,+6:36,97,NIV Guy,27,Israel Start-Up Nation,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
52,52,12,+1:52,151,QUINTANA Nairo,31,Team Arkéa Samsic,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
53,53,13,+1:52,7,SOSA Iván Ramiro,23,INEOS Grenadiers,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
54,54,54,+8:03,83,FRANKINY Kilian,27,Team Qhubeka ASSOS,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
55,55,4,+1:04,96,MARTIN Dan,34,Israel Start-Up Nation,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
56,56,31,+3:21,73,DOMBROWSKI Joe,29,UAE-Team Emirates,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
57,57,34,+3:46,201,LIPOWITZ Florian,20,Tirol KTM Cycling Team,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
58,58,89,+22:54,175,DINA Márton,25,EOLO-Kometa,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
59,59,8,+1:27,62,CARTHY Hugh,26,EF Education - Nippo,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
60,60,46,+6:11,67,VAN GARDEREN Tejay,32,EF Education - Nippo,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
61,61,25,+2:59,55,NIEVE Mikel,36,Team BikeExchange,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
62,62,37,+5:28,71,ARDILA Andrés Camilo,21,UAE-Team Emirates,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
63,63,33,+3:21,114,GALLOPIN Tony,32,AG2R Citroën Team,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
64,64,45,+6:11,53,KANGERT Tanel,34,Team BikeExchange,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
65,65,55,+8:03,106,VALLS Rafael,33,Bahrain - Victorious,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
66,66,80,+17:34,102,ARASHIRO Yukiya,36,Bahrain - Victorious,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
67,67,84,+20:18,56,SCOTSON Callum,24,Team BikeExchange,,,4:05:14,tour-of-the-alps/2021/stage-3,2021
68,68,51,+7:44,43,PALZER Anton,28,BORA - hansgrohe,,,4:06:22,tour-of-the-alps/2021/stage-3,2021
69,69,65,+11:12,164,COVILI Luca,24,Bardiani-CSF-Faizanè,,,4:06:22,tour-of-the-alps/2021/stage-3,2021
70,70,57,+8:55,205,STEINHAUSER Georg,19,Tirol KTM Cycling Team,,,4:06:22,tour-of-the-alps/2021/stage-3,2021
71,71,56,+8:34,141,ZAKARIN Ilnur,31,Gazprom - RusVelo,,,4:06:22,tour-of-the-alps/2021/stage-3,2021
72,72,49,+7:19,16,VALTER Attila,22,Groupama - FDJ,,,4:06:22,tour-of-the-alps/2021/stage-3,2021
73,73,71,+13:29,14,GUGLIELMI Simon,23,Groupama - FDJ,,,4:06:22,tour-of-the-alps/2021/stage-3,2021
74,74,86,+20:50,152,QUINTANA Dayer,28,Team Arkéa Samsic,,,4:06:22,tour-of-the-alps/2021/stage-3,2021
75,75,64,+11:12,155,DELAPLACE Anthony,31,Team Arkéa Samsic,,,4:06:22,tour-of-the-alps/2021/stage-3,2021
76,76,48,+7:19,154,ANACONA Winner,32,Team Arkéa Samsic,,,4:06:22,tour-of-the-alps/2021/stage-3,2021
77,77,85,+20:36,64,MORTON Lachlan,29,EF Education - Nippo,,,4:06:22,tour-of-the-alps/2021/stage-3,2021
78,78,63,+11:12,137,TESFATSION Natnael,21,Androni Giocattoli - Sidermec,,,4:06:22,tour-of-the-alps/2021/stage-3,2021
79,79,62,+11:12,94,GOLDSTEIN Omer,24,Israel Start-Up Nation,,,4:06:22,tour-of-the-alps/2021/stage-3,2021
80,80,35,+4:29,171,RAVASI Edward,26,EOLO-Kometa,,,4:06:22,tour-of-the-alps/2021/stage-3,2021
81,81,72,+13:29,11,PINOT Thibaut,30,Groupama - FDJ,,,4:06:22,tour-of-the-alps/2021/stage-3,2021
82,82,78,+17:04,165,GABBURO Davide,28,Bardiani-CSF-Faizanè,,,4:12:14,tour-of-the-alps/2021/stage-3,2021
83,83,68,+13:11,166,SAVINI Daniel,23,Bardiani-CSF-Faizanè,,,4:12:14,tour-of-the-alps/2021/stage-3,2021
84,84,101,+29:05,153,BOUET Maxime,34,Team Arkéa Samsic,,,4:12:14,tour-of-the-alps/2021/stage-3,2021
85,85,97,+27:00,81,BROWN Connor,22,Team Qhubeka ASSOS,,,4:12:32,tour-of-the-alps/2021/stage-3,2021
86,86,79,+17:22,167,ZANA Filippo,22,Bardiani-CSF-Faizanè,,,4:12:32,tour-of-the-alps/2021/stage-3,2021
87,87,87,+21:47,185,BARRENETXEA Jon,21,Caja Rural - Seguros RGA,,,4:12:32,tour-of-the-alps/2021/stage-3,2021
88,88,81,+17:59,37,TEJADA Harold,23,Astana - Premier Tech,,,4:12:32,tour-of-the-alps/2021/stage-3,2021
89,89,70,+13:29,77,MUÑOZ Cristian Camilo,25,UAE-Team Emirates,,,4:12:32,tour-of-the-alps/2021/stage-3,2021
90,90,61,+10:39,174,CHRISTIAN Mark,30,EOLO-Kometa,,,4:12:32,tour-of-the-alps/2021/stage-3,2021
91,91,69,+13:29,33,FELLINE Fabio,31,Astana - Premier Tech,,,4:12:32,tour-of-the-alps/2021/stage-3,2021
92,92,99,+27:37,5,PUCCIO Salvatore,31,INEOS Grenadiers,,,4:12:32,tour-of-the-alps/2021/stage-3,2021
93,93,98,+27:00,93,FROOME Chris,35,Israel Start-Up Nation,,,4:12:32,tour-of-the-alps/2021/stage-3,2021
94,94,88,+22:29,15,THOMPSON Reuben,20,Groupama - FDJ,,,4:16:19,tour-of-the-alps/2021/stage-3,2021
95,95,95,+26:22,162,CAÑAVERAL Johnatan,24,Bardiani-CSF-Faizanè,,,4:16:19,tour-of-the-alps/2021/stage-3,2021
96,96,118,+38:42,156,HARDY Romain,32,Team Arkéa Samsic,,,4:16:19,tour-of-the-alps/2021/stage-3,2021
97,97,117,+38:35,61,BARTA Will,25,EF Education - Nippo,,,4:16:19,tour-of-the-alps/2021/stage-3,2021
98,98,112,+36:12,147,KUZMIN Anton,24,Gazprom - RusVelo,,,4:16:19,tour-of-the-alps/2021/stage-3,2021
99,99,105,+30:59,122,COMBAUD Romain,30,Team DSM,,,4:16:19,tour-of-the-alps/2021/stage-3,2021
100,100,113,+36:47,13,DUCHESNE Antoine,29,Groupama - FDJ,,,4:16:19,tour-of-the-alps/2021/stage-3,2021
101,101,114,+36:47,103,NOVAK Domen,25,Bahrain - Victorious,,,4:16:19,tour-of-the-alps/2021/stage-3,2021
102,102,90,+23:26,172,ROPERO Alejandro,23,EOLO-Kometa,,,4:16:19,tour-of-the-alps/2021/stage-3,2021
103,103,93,+24:50,173,BAIS Davide,23,EOLO-Kometa,,,4:17:43,tour-of-the-alps/2021/stage-3,2021
104,104,102,+30:03,12,LUDVIGSSON Tobias,30,Groupama - FDJ,,,4:17:43,tour-of-the-alps/2021/stage-3,2021
105,105,104,+30:03,82,DLAMINI Nic,25,Team Qhubeka ASSOS,,,4:17:43,tour-of-the-alps/2021/stage-3,2021
106,106,110,+35:22,6,BASSO Leonardo,27,INEOS Grenadiers,,,4:17:43,tour-of-the-alps/2021/stage-3,2021
107,107,103,+30:03,144,CHERKASOV Nikolay,24,Gazprom - RusVelo,,,4:17:43,tour-of-the-alps/2021/stage-3,2021
108,108,116,+38:11,44,PÖSTLBERGER Lukas,29,BORA - hansgrohe,,,4:17:43,tour-of-the-alps/2021/stage-3,2021
109,109,121,+42:29,66,VAN DEN BERG Julius,24,EF Education - Nippo,,,4:17:43,tour-of-the-alps/2021/stage-3,2021
110,110,107,+32:11,117,VENDRAME Andrea,26,AG2R Citroën Team,,,4:17:43,tour-of-the-alps/2021/stage-3,2021
111,111,82,+19:05,52,COLLEONI Kevin,21,Team BikeExchange,,,4:17:43,tour-of-the-alps/2021/stage-3,2021
112,112,109,+32:26,202,ENGELHARDT Felix,20,Tirol KTM Cycling Team,,,4:17:43,tour-of-the-alps/2021/stage-3,2021
113,113,106,+32:11,177,FANCELLU Alessandro,20,EOLO-Kometa,,,4:17:43,tour-of-the-alps/2021/stage-3,2021
114,114,96,+26:58,54,MEYER Cameron,33,Team BikeExchange,,,4:17:43,tour-of-the-alps/2021/stage-3,2021
115,115,111,+35:48,46,WANDAHL Frederik,19,BORA - hansgrohe,,,4:17:43,tour-of-the-alps/2021/stage-3,2021
116,116,122,+42:29,127,HEINSCHKE Leon,21,Team DSM,,,4:17:43,tour-of-the-alps/2021/stage-3,2021
117,117,126,+47:46,84,HANSEN Lasse Norman,29,Team Qhubeka ASSOS,,,4:23:00,tour-of-the-alps/2021/stage-3,2021
118,118,124,+45:23,45,SELIG Rüdiger,32,BORA - hansgrohe,,,4:23:00,tour-of-the-alps/2021/stage-3,2021
119,119,119,+39:51,207,ZANGERLE Emanuel,20,Tirol KTM Cycling Team,,,4:23:00,tour-of-the-alps/2021/stage-3,2021
120,120,100,+27:50,131,BISOLTI Alessandro,36,Androni Giocattoli - Sidermec,,,4:23:00,tour-of-the-alps/2021/stage-3,2021
121,121,91,+23:53,136,UMBA Santiago,18,Androni Giocattoli - Sidermec,,,4:23:00,tour-of-the-alps/2021/stage-3,2021
122,122,123,+42:53,146,VACEK Mathias,18,Gazprom - RusVelo,,,4:23:00,tour-of-the-alps/2021/stage-3,2021
123,123,120,+40:10,87,JANSE VAN RENSBURG Reinardt,32,Team Qhubeka ASSOS,,,4:23:00,tour-of-the-alps/2021/stage-3,2021
124,124,125,+45:23,204,GOVEKAR Matevž,21,Tirol KTM Cycling Team,,,4:23:00,tour-of-the-alps/2021/stage-3,2021
125,125,127,+47:46,206,PEZZO ROSOLA Kevin,18,Tirol KTM Cycling Team,,,4:23:00,tour-of-the-alps/2021/stage-3,2021
126,126,128,+53:48,76,TROIA Oliviero,26,UAE-Team Emirates,,,4:23:00,tour-of-the-alps/2021/stage-3,2021
127,127,108,+32:15,75,MARCATO Marco,37,UAE-Team Emirates,,,4:23:00,tour-of-the-alps/2021/stage-3,2021
128,128,115,+37:40,143,NEKRASOV Denis,24,Gazprom - RusVelo,,,4:23:00,tour-of-the-alps/2021/stage-3,2021
