,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,1,+0:00,31,PORTE Richie,30,Team Sky,20,30,4:36:37,tour-of-the-alps/2015/stage-2,2015
2,2,2,+0:24,14,LANDA Mikel,25,Astana Pro Team,14,18,4:36:53,tour-of-the-alps/2015/stage-2,2015
3,3,6,+1:09,61,CUNEGO Damiano,33,Nippo - Vini Fantini ,8,12,4:37:09,tour-of-the-alps/2015/stage-2,2015
4,4,3,+0:42,34,KÖNIG Leopold,27,Team Sky,7,7,4:37:09,tour-of-the-alps/2015/stage-2,2015
5,5,12,+1:36,94,TORRES Rodolfo Andrés,28,Team Colombia,6,4,4:37:09,tour-of-the-alps/2015/stage-2,2015
6,6,8,+1:18,54,ZARDINI Edoardo,25,Bardiani - CSF Pro Team,5,3,4:37:09,tour-of-the-alps/2015/stage-2,2015
7,7,4,+0:57,12,CATALDO Dario,30,Astana Pro Team,4,2,4:37:20,tour-of-the-alps/2015/stage-2,2015
8,8,10,+1:29,52,PIRAZZI Stefano,28,Bardiani - CSF Pro Team,2,1,4:37:20,tour-of-the-alps/2015/stage-2,2015
9,9,7,+1:17,111,MEINTJES Louis,23,MTN - Qhubeka,,,4:37:20,tour-of-the-alps/2015/stage-2,2015
10,10,5,+0:59,135,MENDES José,29,Bora - Argon 18,,,4:37:26,tour-of-the-alps/2015/stage-2,2015
11,11,11,+1:30,8,BARDET Romain,24,AG2R La Mondiale,,,4:37:50,tour-of-the-alps/2015/stage-2,2015
12,12,9,+1:23,35,LÓPEZ David,33,Team Sky,,,4:37:50,tour-of-the-alps/2015/stage-2,2015
13,13,13,+1:43,1,POZZOVIVO Domenico,32,AG2R La Mondiale,,,4:38:03,tour-of-the-alps/2015/stage-2,2015
14,14,14,+1:58,16,ROSA Diego,26,Astana Pro Team,,,4:38:21,tour-of-the-alps/2015/stage-2,2015
15,15,15,+2:26,37,SIUTSOU Kanstantsin,32,Team Sky,,,4:38:53,tour-of-the-alps/2015/stage-2,2015
16,16,17,+3:26,48,ZILIOLI Gianfranco,25,Androni Giocattoli - Sidermec,,,4:39:02,tour-of-the-alps/2015/stage-2,2015
17,17,16,+3:20,21,HESJEDAL Ryder,34,Team Cannondale - Garmin ,,,4:39:23,tour-of-the-alps/2015/stage-2,2015
