,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,25,+7:04,25,SANTAROMITA Ivan,28,BMC Racing Team,20,30,4:26:25,tour-of-the-alps/2013/stage-3,2013
2,2,21,+6:32,12,TIRALONGO Paolo,35,Astana Pro Team,14,18,4:26:25,tour-of-the-alps/2013/stage-3,2013
3,3,23,+6:37,41,SCARPONI Michele,33,Lampre - Merida,8,12,4:26:25,tour-of-the-alps/2013/stage-3,2013
4,4,14,+5:42,83,LOCATELLI Stefano,24,Bardiani Valvole - CSF Inox ,7,7,4:26:59,tour-of-the-alps/2013/stage-3,2013
5,5,38,+11:19,37,SARMIENTO Cayetano José,26,Cannondale Pro Cycling Team,6,4,4:26:59,tour-of-the-alps/2013/stage-3,2013
6,6,40,+12:19,116,PIEDRA Antonio,27,Caja Rural - Seguros RGA,5,3,4:26:59,tour-of-the-alps/2013/stage-3,2013
7,7,8,+4:27,82,PIRAZZI Stefano,26,Bardiani Valvole - CSF Inox ,4,2,4:27:37,tour-of-the-alps/2013/stage-3,2013
8,8,49,+19:57,81,BATTAGLIN Enrico,23,Bardiani Valvole - CSF Inox ,2,1,4:27:48,tour-of-the-alps/2013/stage-3,2013
9,9,46,+18:15,72,SELLA Emanuele,32,Androni Giocattoli - Venezuela,,,4:27:48,tour-of-the-alps/2013/stage-3,2013
10,10,30,+8:32,78,RUBIANO Miguel Angel,28,Androni Giocattoli - Venezuela,,,4:27:48,tour-of-the-alps/2013/stage-3,2013
11,11,5,+4:06,108,SANTAMBROGIO Mauro,28,Vini Fantini,,,4:27:48,tour-of-the-alps/2013/stage-3,2013
12,12,34,+9:55,105,RABOTTINI Matteo,25,Vini Fantini,,,4:27:48,tour-of-the-alps/2013/stage-3,2013
13,13,13,+5:39,115,GARCÍA Marcos,26,Caja Rural - Seguros RGA,,,4:27:48,tour-of-the-alps/2013/stage-3,2013
14,14,66,+29:00,66,MALACARNE Davide,25,Team Europcar,,,4:27:48,tour-of-the-alps/2013/stage-3,2013
15,15,16,+5:54,121,REBELLIN Davide,41,CCC Polsat Polkowice,,,4:27:48,tour-of-the-alps/2013/stage-3,2013
16,16,12,+5:34,117,CARDOSO André,28,Caja Rural - Seguros RGA,,,4:27:48,tour-of-the-alps/2013/stage-3,2013
17,17,32,+8:47,113,TXURRUKA Amets,30,Caja Rural - Seguros RGA,,,4:27:48,tour-of-the-alps/2013/stage-3,2013
18,18,26,+7:48,38,WURF Cameron,29,Cannondale Pro Cycling Team,,,4:27:48,tour-of-the-alps/2013/stage-3,2013
19,19,9,+4:49,67,ROLLAND Pierre,26,Team Europcar,,,4:27:48,tour-of-the-alps/2013/stage-3,2013
20,20,7,+4:20,17,DYACHENKO Alexandr,29,Astana Pro Team,,,4:27:48,tour-of-the-alps/2013/stage-3,2013
21,21,18,+6:10,173,ROVNY Ivan,25,Ceramica Flaminia - Fondriest,,,4:27:48,tour-of-the-alps/2013/stage-3,2013
