,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,12,+3:14,153,PADUN Mark,21,Bahrain Merida Pro Cycling Team,20,30,4:16:10,tour-of-the-alps/2018/stage-5,2018
2,2,5,+1:00,132,BENNETT George,28,Team LottoNL-Jumbo,10,18,4:16:15,tour-of-the-alps/2018/stage-5,2018
3,3,10,+1:48,73,HIRT Jan,27,Astana Pro Team,5,12,4:16:16,tour-of-the-alps/2018/stage-5,2018
4,4,9,+1:42,163,CICCONE Giulio,23,Bardiani - CSF,,7,4:16:16,tour-of-the-alps/2018/stage-5,2018
5,5,7,+1:33,116,O'CONNOR Ben,22,Team Dimension Data,,4,4:16:16,tour-of-the-alps/2018/stage-5,2018
6,6,1,+0:00,141,PINOT Thibaut,27,Groupama - FDJ,,3,4:16:19,tour-of-the-alps/2018/stage-5,2018
7,7,3,+0:15,71,LÓPEZ Miguel Ángel,24,Astana Pro Team,,2,4:16:19,tour-of-the-alps/2018/stage-5,2018
8,8,4,+0:16,1,FROOME Chris,32,Team Sky,,1,4:16:19,tour-of-the-alps/2018/stage-5,2018
9,9,2,+0:15,155,POZZOVIVO Domenico,35,Bahrain Merida Pro Cycling Team,,,4:16:19,tour-of-the-alps/2018/stage-5,2018
10,10,25,+11:29,3,ELISSONDE Kenny,26,Team Sky,,,4:16:21,tour-of-the-alps/2018/stage-5,2018
11,11,29,+15:50,14,DUPONT Hubert,37,AG2R La Mondiale,,,4:16:48,tour-of-the-alps/2018/stage-5,2018
12,12,8,+1:35,74,SÁNCHEZ Luis León,34,Astana Pro Team,,,4:16:48,tour-of-the-alps/2018/stage-5,2018
13,13,6,+1:19,31,ARU Fabio,27,UAE-Team Emirates,,,4:16:48,tour-of-the-alps/2018/stage-5,2018
14,14,11,+3:11,77,ZEITS Andrey,31,Astana Pro Team,,,4:16:48,tour-of-the-alps/2018/stage-5,2018
15,15,30,+16:03,156,VISCONTI Giovanni,35,Bahrain Merida Pro Cycling Team,,,4:17:30,tour-of-the-alps/2018/stage-5,2018
16,16,28,+15:35,12,GENIEZ Alexandre,30,AG2R La Mondiale,,,4:17:30,tour-of-the-alps/2018/stage-5,2018
17,17,13,+4:34,193,HERMANS Ben,31,Israel Cycling Academy,,,4:17:44,tour-of-the-alps/2018/stage-5,2018
18,18,19,+7:40,82,BIZKARRA Mikel,28,Euskadi - Murias,,,4:17:44,tour-of-the-alps/2018/stage-5,2018
19,19,16,+5:18,61,ZOIDL Riccardo,30,Team Felbermayr - Simplon Wels ,,,4:17:44,tour-of-the-alps/2018/stage-5,2018
20,20,17,+5:42,133,BOUWMAN Koen,24,Team LottoNL-Jumbo,,,4:18:34,tour-of-the-alps/2018/stage-5,2018
21,21,21,+10:00,21,CUNEGO Damiano,36,Nippo - Vini Fantini - Europa Ovini,,,4:18:34,tour-of-the-alps/2018/stage-5,2018
22,22,23,+10:46,113,KUDUS Merhawi,24,Team Dimension Data,,,4:18:34,tour-of-the-alps/2018/stage-5,2018
23,23,27,+15:11,37,RAVASI Edward,23,UAE-Team Emirates,,,4:18:34,tour-of-the-alps/2018/stage-5,2018
24,24,15,+4:52,176,SCHLEGEL Michal,22,CCC Sprandi Polkowice ,,,4:18:34,tour-of-the-alps/2018/stage-5,2018
25,25,18,+6:54,125,MASNADA Fausto,24,Androni Giocattoli - Sidermec,,,4:18:34,tour-of-the-alps/2018/stage-5,2018
26,26,26,+13:50,146,REICHENBACH Sébastien,28,Groupama - FDJ,,,4:18:34,tour-of-the-alps/2018/stage-5,2018
27,27,20,+9:36,114,MEINTJES Louis,26,Team Dimension Data,,,4:18:34,tour-of-the-alps/2018/stage-5,2018
28,28,14,+4:51,72,BILBAO Pello,28,Astana Pro Team,,,4:18:34,tour-of-the-alps/2018/stage-5,2018
30,30,45,+37:37,192,EARLE Nathan,29,Israel Cycling Academy,,,4:21:16,tour-of-the-alps/2018/stage-5,2018
31,31,46,+37:37,52,FLÓREZ Miguel Eduardo,22,Wilier Triestina - Selle Italia,,,4:21:16,tour-of-the-alps/2018/stage-5,2018
32,32,32,+25:24,166,SENNI Manuel,26,Bardiani - CSF,,,4:21:16,tour-of-the-alps/2018/stage-5,2018
33,33,24,+11:09,25,SANTAROMITA Ivan,33,Nippo - Vini Fantini - Europa Ovini,,,4:21:16,tour-of-the-alps/2018/stage-5,2018
34,34,76,+1:04:28,86,RODRÍGUEZ Óscar,22,Euskadi - Murias,,,4:21:16,tour-of-the-alps/2018/stage-5,2018
35,35,52,+40:12,36,PETILLI Simone,24,UAE-Team Emirates,,,4:21:16,tour-of-the-alps/2018/stage-5,2018
