,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,1,+0:00,11,NIBALI Vincenzo,28,Astana Pro Team,20,30,4:21:48,tour-of-the-alps/2013/stage-4,2013
2,2,2,+0:21,108,SANTAMBROGIO Mauro,28,Vini Fantini,14,18,4:21:56,tour-of-the-alps/2013/stage-4,2013
3,3,6,+1:45,45,NIEMIEC Przemysław,33,Lampre - Merida,8,12,4:22:32,tour-of-the-alps/2013/stage-4,2013
4,4,4,+1:16,13,ARU Fabio,22,Astana Pro Team,7,7,4:22:32,tour-of-the-alps/2013/stage-4,2013
5,5,8,+2:18,21,EVANS Cadel,36,BMC Racing Team,6,4,4:22:50,tour-of-the-alps/2013/stage-4,2013
6,6,9,+3:05,83,LOCATELLI Stefano,24,Bardiani Valvole - CSF Inox ,5,3,4:22:58,tour-of-the-alps/2013/stage-4,2013
7,7,7,+2:15,82,PIRAZZI Stefano,26,Bardiani Valvole - CSF Inox ,4,2,4:23:23,tour-of-the-alps/2013/stage-4,2013
8,8,11,+3:29,115,GARCÍA Marcos,26,Caja Rural - Seguros RGA,2,1,4:23:25,tour-of-the-alps/2013/stage-4,2013
9,9,5,+1:40,51,WIGGINS Bradley,32,Sky Procycling,,,4:23:27,tour-of-the-alps/2013/stage-4,2013
10,10,10,+3:22,67,ROLLAND Pierre,26,Team Europcar,,,4:24:08,tour-of-the-alps/2013/stage-4,2013
11,11,21,+7:09,71,PELLIZOTTI Franco,35,Androni Giocattoli - Venezuela,,,4:24:12,tour-of-the-alps/2013/stage-4,2013
12,12,15,+4:49,173,ROVNY Ivan,25,Ceramica Flaminia - Fondriest,,,4:24:14,tour-of-the-alps/2013/stage-4,2013
13,13,13,+4:18,117,CARDOSO André,28,Caja Rural - Seguros RGA,,,4:24:19,tour-of-the-alps/2013/stage-4,2013
14,14,16,+5:00,76,ROSA Diego,24,Androni Giocattoli - Venezuela,,,4:24:28,tour-of-the-alps/2013/stage-4,2013
15,15,18,+5:28,132,BUTLER Chris,25,Champion System Pro Cycling Team,,,4:24:46,tour-of-the-alps/2013/stage-4,2013
16,16,17,+5:15,121,REBELLIN Davide,41,CCC Polsat Polkowice,,,4:24:56,tour-of-the-alps/2013/stage-4,2013
17,17,19,+5:48,31,BASSO Ivan,35,Cannondale Pro Cycling Team,,,4:25:32,tour-of-the-alps/2013/stage-4,2013
18,18,14,+4:22,17,DYACHENKO Alexandr,29,Astana Pro Team,,,4:25:37,tour-of-the-alps/2013/stage-4,2013
19,19,23,+7:53,147,PARDILLA Sergio,29,MTN - Qhubeka,,,4:25:38,tour-of-the-alps/2013/stage-4,2013
20,20,20,+6:45,153,KÖNIG Leopold,25,Team NetApp – Endura,,,4:26:04,tour-of-the-alps/2013/stage-4,2013
21,21,22,+7:12,12,TIRALONGO Paolo,35,Astana Pro Team,,,4:26:15,tour-of-the-alps/2013/stage-4,2013
22,22,3,+0:55,5,BOUET Maxime,26,AG2R La Mondiale,,,4:26:30,tour-of-the-alps/2013/stage-4,2013
23,23,12,+4:14,57,SIUTSOU Kanstantsin,30,Sky Procycling,,,4:26:30,tour-of-the-alps/2013/stage-4,2013
24,24,38,+18:40,158,DE LA CRUZ David,23,Team NetApp – Endura,,,4:26:46,tour-of-the-alps/2013/stage-4,2013
25,25,25,+9:47,78,RUBIANO Miguel Angel,28,Androni Giocattoli - Venezuela,,,4:26:50,tour-of-the-alps/2013/stage-4,2013
26,26,24,+7:57,18,KESSIAKOFF Fredrik,32,Astana Pro Team,,,4:27:00,tour-of-the-alps/2013/stage-4,2013
27,27,31,+11:48,16,KANGERT Tanel,26,Astana Pro Team,,,4:27:00,tour-of-the-alps/2013/stage-4,2013
28,28,53,+33:50,166,RYBAKOV Alexander,24,RusVelo,,,4:27:00,tour-of-the-alps/2013/stage-4,2013
29,29,26,+9:52,104,MONSALVE Yonathan,23,Vini Fantini,,,4:27:00,tour-of-the-alps/2013/stage-4,2013
30,30,27,+9:54,38,WURF Cameron,29,Cannondale Pro Cycling Team,,,4:27:41,tour-of-the-alps/2013/stage-4,2013
31,31,32,+12:08,94,PANTANO Jarlinson,24,Team Colombia,,,4:27:41,tour-of-the-alps/2013/stage-4,2013
32,32,28,+11:17,113,TXURRUKA Amets,30,Caja Rural - Seguros RGA,,,4:28:05,tour-of-the-alps/2013/stage-4,2013
33,33,34,+14:35,37,SARMIENTO Cayetano José,26,Cannondale Pro Cycling Team,,,4:28:51,tour-of-the-alps/2013/stage-4,2013
34,34,40,+19:30,145,MEINTJES Louis,21,MTN - Qhubeka,,,4:29:14,tour-of-the-alps/2013/stage-4,2013
35,35,76,+50:50,122,RUTKIEWICZ Marek,31,CCC Polsat Polkowice,,,4:29:27,tour-of-the-alps/2013/stage-4,2013
36,36,33,+13:54,105,RABOTTINI Matteo,25,Vini Fantini,,,4:29:34,tour-of-the-alps/2013/stage-4,2013
37,37,59,+37:01,167,POMOSHNIKOV Sergey,22,RusVelo,,,4:29:48,tour-of-the-alps/2013/stage-4,2013
38,38,29,+11:36,15,AGNOLI Valerio,28,Astana Pro Team,,,4:30:17,tour-of-the-alps/2013/stage-4,2013
39,39,30,+11:46,25,SANTAROMITA Ivan,28,BMC Racing Team,,,4:30:17,tour-of-the-alps/2013/stage-4,2013
40,40,57,+34:39,137,NISHIZONO Ryota,25,Champion System Pro Cycling Team,,,4:31:21,tour-of-the-alps/2013/stage-4,2013
41,41,50,+30:32,93,DUQUE Leonardo Fabio,33,Team Colombia,,,4:31:53,tour-of-the-alps/2013/stage-4,2013
42,42,43,+25:22,91,CORTI Marco,27,Team Colombia,,,4:32:18,tour-of-the-alps/2013/stage-4,2013
43,43,64,+42:42,3,GEORGES Sylvain,28,AG2R La Mondiale,,,4:32:19,tour-of-the-alps/2013/stage-4,2013
44,44,80,+52:12,155,BENEDETTI Cesare,25,Team NetApp – Endura,,,4:32:25,tour-of-the-alps/2013/stage-4,2013
45,45,51,+33:09,152,HUZARSKI Bartosz,32,Team NetApp – Endura,,,4:32:25,tour-of-the-alps/2013/stage-4,2013
46,46,47,+27:24,95,QUINTERO Carlos,27,Team Colombia,,,4:32:52,tour-of-the-alps/2013/stage-4,2013
47,47,63,+41:03,77,RODRÍGUEZ Jackson,28,Androni Giocattoli - Venezuela,,,4:32:52,tour-of-the-alps/2013/stage-4,2013
48,48,37,+18:10,46,SERPA José Rodolfo,34,Lampre - Merida,,,4:32:52,tour-of-the-alps/2013/stage-4,2013
49,49,74,+49:02,164,KLIMOV Sergey,32,RusVelo,,,4:32:52,tour-of-the-alps/2013/stage-4,2013
50,50,49,+29:00,172,SANTORO Antonio,23,Ceramica Flaminia - Fondriest,,,4:33:37,tour-of-the-alps/2013/stage-4,2013
51,51,41,+20:27,97,RODRIGUEZ Michael,23,Team Colombia,,,4:34:18,tour-of-the-alps/2013/stage-4,2013
52,52,62,+39:10,111,FERNÁNDEZ Rubén,22,Caja Rural - Seguros RGA,,,4:34:33,tour-of-the-alps/2013/stage-4,2013
53,53,42,+21:17,116,PIEDRA Antonio,27,Caja Rural - Seguros RGA,,,4:34:33,tour-of-the-alps/2013/stage-4,2013
54,54,79,+51:58,128,HONKISZ Adrian,25,CCC Polsat Polkowice,,,4:34:33,tour-of-the-alps/2013/stage-4,2013
55,55,39,+19:07,7,DUPONT Hubert,32,AG2R La Mondiale,,,4:34:48,tour-of-the-alps/2013/stage-4,2013
56,56,48,+28:26,52,CATALDO Dario,28,Sky Procycling,,,4:35:22,tour-of-the-alps/2013/stage-4,2013
57,57,36,+17:51,42,CATTANEO Mattia,22,Lampre - Merida,,,4:35:22,tour-of-the-alps/2013/stage-4,2013
58,58,55,+34:06,151,BÁRTA Jan,28,Team NetApp – Endura,,,4:35:22,tour-of-the-alps/2013/stage-4,2013
59,59,35,+16:24,41,SCARPONI Michele,33,Lampre - Merida,,,4:35:22,tour-of-the-alps/2013/stage-4,2013
60,60,54,+33:53,165,KOCHETKOV Pavel,27,RusVelo,,,4:35:22,tour-of-the-alps/2013/stage-4,2013
61,61,89,+58:21,75,GIL MARTINEZ Tomas Aurelio,35,Androni Giocattoli - Venezuela,,,4:35:22,tour-of-the-alps/2013/stage-4,2013
62,62,45,+25:58,44,ĐURASEK Kristijan,25,Lampre - Merida,,,4:35:22,tour-of-the-alps/2013/stage-4,2013
63,63,73,+46:51,161,FIRSANOV Sergey,30,RusVelo,,,4:35:54,tour-of-the-alps/2013/stage-4,2013
64,64,71,+46:25,54,KENNAUGH Peter,23,Sky Procycling,,,4:36:13,tour-of-the-alps/2013/stage-4,2013
65,65,46,+26:18,53,DOMBROWSKI Joe,21,Sky Procycling,,,4:36:13,tour-of-the-alps/2013/stage-4,2013
66,66,56,+34:15,55,KNEES Christian,32,Sky Procycling,,,4:36:13,tour-of-the-alps/2013/stage-4,2013
67,67,60,+37:03,73,FELLINE Fabio,23,Androni Giocattoli - Venezuela,,,4:36:13,tour-of-the-alps/2013/stage-4,2013
68,68,52,+33:47,8,GASTAUER Ben,25,AG2R La Mondiale,,,4:36:13,tour-of-the-alps/2013/stage-4,2013
69,69,44,+25:31,87,BONGIORNO Francesco Manuel,22,Bardiani Valvole - CSF Inox ,,,4:37:02,tour-of-the-alps/2013/stage-4,2013
70,70,69,+45:08,86,ZARDINI Edoardo,23,Bardiani Valvole - CSF Inox ,,,4:37:02,tour-of-the-alps/2013/stage-4,2013
71,71,77,+51:14,124,TACIAK Mateusz,28,CCC Polsat Polkowice,,,4:37:02,tour-of-the-alps/2013/stage-4,2013
72,72,81,+52:50,84,CANOLA Marco,24,Bardiani Valvole - CSF Inox ,,,4:39:20,tour-of-the-alps/2013/stage-4,2013
73,73,72,+46:30,131,BEYER Chad,26,Champion System Pro Cycling Team,,,4:39:39,tour-of-the-alps/2013/stage-4,2013
74,74,84,+54:57,98,SUAREZ Juan Pablo,27,Team Colombia,,,4:40:31,tour-of-the-alps/2013/stage-4,2013
