,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,3,+0:06,71,LÓPEZ Miguel Ángel,24,Astana Pro Team,20,30,3:55:30,tour-of-the-alps/2018/stage-2,2018
2,2,2,+0:06,141,PINOT Thibaut,27,Groupama - FDJ,10,18,3:55:30,tour-of-the-alps/2018/stage-2,2018
3,3,1,+0:00,126,SOSA Iván Ramiro,20,Androni Giocattoli - Sidermec,5,12,3:55:30,tour-of-the-alps/2018/stage-2,2018
4,4,4,+0:16,1,FROOME Chris,32,Team Sky,,7,3:55:34,tour-of-the-alps/2018/stage-2,2018
5,5,5,+0:19,155,POZZOVIVO Domenico,35,Bahrain Merida Pro Cycling Team,,4,3:55:37,tour-of-the-alps/2018/stage-2,2018
6,6,6,+0:26,163,CICCONE Giulio,23,Bardiani - CSF,,3,3:55:44,tour-of-the-alps/2018/stage-2,2018
7,7,7,+0:36,73,HIRT Jan,27,Astana Pro Team,,2,3:55:50,tour-of-the-alps/2018/stage-2,2018
8,8,15,+1:51,116,O'CONNOR Ben,22,Team Dimension Data,,1,3:55:57,tour-of-the-alps/2018/stage-2,2018
9,9,8,+0:43,193,HERMANS Ben,31,Israel Cycling Academy,,,3:56:01,tour-of-the-alps/2018/stage-2,2018
10,10,9,+0:50,31,ARU Fabio,27,UAE-Team Emirates,,,3:56:04,tour-of-the-alps/2018/stage-2,2018
11,11,16,+1:54,61,ZOIDL Riccardo,30,Team Felbermayr - Simplon Wels ,,,3:56:15,tour-of-the-alps/2018/stage-2,2018
12,12,19,+2:25,3,ELISSONDE Kenny,26,Team Sky,,,3:56:19,tour-of-the-alps/2018/stage-2,2018
13,13,17,+1:58,176,SCHLEGEL Michal,22,CCC Sprandi Polkowice ,,,3:56:19,tour-of-the-alps/2018/stage-2,2018
14,14,12,+1:23,77,ZEITS Andrey,31,Astana Pro Team,,,3:56:33,tour-of-the-alps/2018/stage-2,2018
15,15,18,+2:12,133,BOUWMAN Koen,24,Team LottoNL-Jumbo,,,3:56:33,tour-of-the-alps/2018/stage-2,2018
16,16,30,+4:17,82,BIZKARRA Mikel,28,Euskadi - Murias,,,3:56:33,tour-of-the-alps/2018/stage-2,2018
17,17,11,+1:21,132,BENNETT George,28,Team LottoNL-Jumbo,,,3:56:39,tour-of-the-alps/2018/stage-2,2018
18,18,14,+1:35,153,PADUN Mark,21,Bahrain Merida Pro Cycling Team,,,3:56:49,tour-of-the-alps/2018/stage-2,2018
19,19,21,+2:40,12,GENIEZ Alexandre,30,AG2R La Mondiale,,,3:56:55,tour-of-the-alps/2018/stage-2,2018
20,20,13,+1:27,74,SÁNCHEZ Luis León,34,Astana Pro Team,,,3:56:55,tour-of-the-alps/2018/stage-2,2018
21,21,10,+1:17,72,BILBAO Pello,28,Astana Pro Team,,,3:56:55,tour-of-the-alps/2018/stage-2,2018
22,22,23,+2:45,171,ANTUNES Amaro,27,CCC Sprandi Polkowice ,,,3:57:00,tour-of-the-alps/2018/stage-2,2018
24,24,20,+2:38,37,RAVASI Edward,23,UAE-Team Emirates,,,3:57:02,tour-of-the-alps/2018/stage-2,2018
25,25,28,+4:04,11,MONTAGUTI Matteo,34,AG2R La Mondiale,,,3:57:02,tour-of-the-alps/2018/stage-2,2018
26,26,24,+2:58,76,VILLELLA Davide,26,Astana Pro Team,,,3:57:19,tour-of-the-alps/2018/stage-2,2018
27,27,29,+4:14,25,SANTAROMITA Ivan,33,Nippo - Vini Fantini - Europa Ovini,,,3:57:26,tour-of-the-alps/2018/stage-2,2018
28,28,25,+3:11,114,MEINTJES Louis,26,Team Dimension Data,,,3:57:32,tour-of-the-alps/2018/stage-2,2018
29,29,26,+3:15,41,CONCI Nicola,21,Italy,,,3:57:39,tour-of-the-alps/2018/stage-2,2018
30,30,31,+5:14,122,BISOLTI Alessandro,33,Androni Giocattoli - Sidermec,,,3:57:48,tour-of-the-alps/2018/stage-2,2018
31,31,42,+6:33,113,KUDUS Merhawi,24,Team Dimension Data,,,3:57:50,tour-of-the-alps/2018/stage-2,2018
32,32,22,+2:41,125,MASNADA Fausto,24,Androni Giocattoli - Sidermec,,,3:57:55,tour-of-the-alps/2018/stage-2,2018
33,33,34,+5:48,162,CARBONI Giovanni,22,Bardiani - CSF,,,3:58:04,tour-of-the-alps/2018/stage-2,2018
34,34,35,+5:49,127,TORRES Rodolfo Andrés,31,Androni Giocattoli - Sidermec,,,3:58:05,tour-of-the-alps/2018/stage-2,2018
35,35,38,+5:53,16,BIDARD François,26,AG2R La Mondiale,,,3:58:09,tour-of-the-alps/2018/stage-2,2018
36,36,37,+5:53,192,EARLE Nathan,29,Israel Cycling Academy,,,3:58:09,tour-of-the-alps/2018/stage-2,2018
37,37,27,+4:02,21,CUNEGO Damiano,36,Nippo - Vini Fantini - Europa Ovini,,,3:58:17,tour-of-the-alps/2018/stage-2,2018
38,38,40,+6:04,14,DUPONT Hubert,37,AG2R La Mondiale,,,3:58:20,tour-of-the-alps/2018/stage-2,2018
39,39,50,+9:56,55,TURRIN Alex,25,Wilier Triestina - Selle Italia,,,3:58:26,tour-of-the-alps/2018/stage-2,2018
40,40,48,+8:43,166,SENNI Manuel,26,Bardiani - CSF,,,3:58:47,tour-of-the-alps/2018/stage-2,2018
41,41,51,+10:08,57,RAGGIO Luca,23,Wilier Triestina - Selle Italia,,,3:58:47,tour-of-the-alps/2018/stage-2,2018
42,42,47,+8:43,42,AMICI Alberto,24,Italy,,,3:58:47,tour-of-the-alps/2018/stage-2,2018
43,43,36,+5:51,85,ITURRIA Mikel,26,Euskadi - Murias,,,3:59:08,tour-of-the-alps/2018/stage-2,2018
44,44,73,+16:50,96,ZIMMERMANN Georg,20,Tirol Cycling Team,,,3:59:18,tour-of-the-alps/2018/stage-2,2018
45,45,44,+8:04,165,ROTA Lorenzo,22,Bardiani - CSF,,,3:59:18,tour-of-the-alps/2018/stage-2,2018
46,46,74,+16:58,181,FIRSANOV Sergey,35,Gazprom-RusVelo,,,3:59:26,tour-of-the-alps/2018/stage-2,2018
47,47,75,+17:02,81,TXOPERENA Beñat,26,Euskadi - Murias,,,3:59:30,tour-of-the-alps/2018/stage-2,2018
48,48,39,+5:58,4,DE LA CRUZ David,28,Team Sky,,,3:59:34,tour-of-the-alps/2018/stage-2,2018
49,49,41,+6:22,5,HENAO Sebastián,24,Team Sky,,,3:59:34,tour-of-the-alps/2018/stage-2,2018
50,50,61,+13:34,26,ZACCANTI Filippo,22,Nippo - Vini Fantini - Europa Ovini,,,3:59:35,tour-of-the-alps/2018/stage-2,2018
