,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,1,+0:00,5,THOMAS Geraint,30,Team Sky,20,30,3:47:50,tour-of-the-alps/2017/stage-3,2017
2,2,6,+0:36,1,LANDA Mikel,27,Team Sky,10,18,3:47:50,tour-of-the-alps/2017/stage-3,2017
3,3,2,+0:16,11,POZZOVIVO Domenico,34,AG2R La Mondiale,5,12,3:47:54,tour-of-the-alps/2017/stage-3,2017
4,4,9,+0:46,55,ROLLAND Pierre,30,Cannondale-Drapac Pro Cycling Team,,7,3:48:03,tour-of-the-alps/2017/stage-3,2017
5,5,3,+0:19,61,PINOT Thibaut,26,FDJ,,4,3:48:03,tour-of-the-alps/2017/stage-3,2017
6,6,11,+0:48,43,BUCHMANN Emanuel,24,BORA - hansgrohe,,3,3:48:05,tour-of-the-alps/2017/stage-3,2017
7,7,10,+0:48,176,CELANO Danilo,27,Italy,,2,3:48:05,tour-of-the-alps/2017/stage-3,2017
8,8,8,+0:42,31,CARUSO Damiano,29,BMC Racing Team,,1,3:48:05,tour-of-the-alps/2017/stage-3,2017
9,9,5,+0:31,54,FORMOLO Davide,24,Cannondale-Drapac Pro Cycling Team,,,3:48:05,tour-of-the-alps/2017/stage-3,2017
10,10,7,+0:39,52,CARTHY Hugh,22,Cannondale-Drapac Pro Cycling Team,,,3:48:05,tour-of-the-alps/2017/stage-3,2017
11,11,4,+0:21,21,SCARPONI Michele,37,Astana Pro Team,,,3:48:05,tour-of-the-alps/2017/stage-3,2017
12,12,13,+1:02,14,DUPONT Hubert,36,AG2R La Mondiale,,,3:48:10,tour-of-the-alps/2017/stage-3,2017
13,13,12,+0:56,72,BERNAL Egan,20,Androni - Sidermec - Bottecchia,,,3:48:13,tour-of-the-alps/2017/stage-3,2017
14,14,14,+1:05,73,TORRES Rodolfo Andrés,30,Androni - Sidermec - Bottecchia,,,3:48:17,tour-of-the-alps/2017/stage-3,2017
15,15,15,+1:10,22,CATALDO Dario,32,Astana Pro Team,,,3:48:44,tour-of-the-alps/2017/stage-3,2017
16,16,17,+1:51,35,BOOKWALTER Brent,33,BMC Racing Team,,,3:49:03,tour-of-the-alps/2017/stage-3,2017
17,17,18,+1:55,12,BIDARD François,25,AG2R La Mondiale,,,3:49:03,tour-of-the-alps/2017/stage-3,2017
18,18,24,+2:14,132,BUSATO Matteo,29,Wilier Triestina - Selle Italia,,,3:49:06,tour-of-the-alps/2017/stage-3,2017
19,19,20,+2:01,121,CUNEGO Damiano,35,Nippo - Vini Fantini ,,,3:49:09,tour-of-the-alps/2017/stage-3,2017
20,20,37,+6:15,33,SENNI Manuel,25,BMC Racing Team,,,3:49:09,tour-of-the-alps/2017/stage-3,2017
21,21,16,+1:48,46,MENDES José,31,BORA - hansgrohe,,,3:49:09,tour-of-the-alps/2017/stage-3,2017
22,22,25,+2:33,138,RODRÍGUEZ Cristián,22,Wilier Triestina - Selle Italia,,,3:49:11,tour-of-the-alps/2017/stage-3,2017
23,23,22,+2:03,76,MASNADA Fausto,23,Androni - Sidermec - Bottecchia,,,3:49:11,tour-of-the-alps/2017/stage-3,2017
24,24,23,+2:12,101,PARDILLA Sergio,33,Caja Rural - Seguros RGA,,,3:49:11,tour-of-the-alps/2017/stage-3,2017
25,25,19,+1:59,26,SÁNCHEZ Luis León,33,Astana Pro Team,,,3:49:11,tour-of-the-alps/2017/stage-3,2017
26,26,21,+2:03,128,SANTAROMITA Ivan,32,Nippo - Vini Fantini ,,,3:49:11,tour-of-the-alps/2017/stage-3,2017
27,27,26,+2:43,131,AMEZQUETA Julen,23,Wilier Triestina - Selle Italia,,,3:49:21,tour-of-the-alps/2017/stage-3,2017
28,28,32,+4:03,6,ELISSONDE Kenny,25,Team Sky,,,3:49:32,tour-of-the-alps/2017/stage-3,2017
29,29,27,+2:54,17,MONTAGUTI Matteo,33,AG2R La Mondiale,,,3:49:32,tour-of-the-alps/2017/stage-3,2017
30,30,31,+3:54,135,GODOY Yonder,24,Wilier Triestina - Selle Italia,,,3:50:08,tour-of-the-alps/2017/stage-3,2017
31,31,30,+3:52,51,BROWN Nathan,25,Cannondale-Drapac Pro Cycling Team,,,3:50:21,tour-of-the-alps/2017/stage-3,2017
32,32,28,+3:48,57,VILLELLA Davide,25,Cannondale-Drapac Pro Cycling Team,,,3:51:00,tour-of-the-alps/2017/stage-3,2017
33,33,33,+4:09,111,FIRSANOV Sergey,34,Gazprom-RusVelo,,,3:51:08,tour-of-the-alps/2017/stage-3,2017
34,34,38,+6:25,83,WARBASSE Larry,26,Aqua Blue Sport,,,3:51:12,tour-of-the-alps/2017/stage-3,2017
35,35,39,+6:25,102,FERRARI Fabricio,31,Caja Rural - Seguros RGA,,,3:51:12,tour-of-the-alps/2017/stage-3,2017
36,36,52,+13:46,137,MARTÍNEZ Daniel Felipe,20,Wilier Triestina - Selle Italia,,,3:51:16,tour-of-the-alps/2017/stage-3,2017
37,37,36,+5:52,13,CHEVRIER Clément,24,AG2R La Mondiale,,,3:51:21,tour-of-the-alps/2017/stage-3,2017
38,38,35,+5:07,136,KOSHEVOY Ilia,26,Wilier Triestina - Selle Italia,,,3:51:21,tour-of-the-alps/2017/stage-3,2017
39,39,29,+3:51,75,CATTANEO Mattia,26,Androni - Sidermec - Bottecchia,,,3:51:21,tour-of-the-alps/2017/stage-3,2017
40,40,40,+7:24,66,MORABITO Steve,34,FDJ,,,3:51:34,tour-of-the-alps/2017/stage-3,2017
41,41,34,+4:32,32,DENNIS Rohan,26,BMC Racing Team,,,3:52:05,tour-of-the-alps/2017/stage-3,2017
42,42,41,+8:48,67,ROY Jérémy,33,FDJ,,,3:53:35,tour-of-the-alps/2017/stage-3,2017
43,43,56,+16:46,53,DOMBROWSKI Joe,25,Cannondale-Drapac Pro Cycling Team,,,3:54:36,tour-of-the-alps/2017/stage-3,2017
44,44,49,+11:30,112,FOLIFOROV Alexander,25,Gazprom-RusVelo,,,3:54:36,tour-of-the-alps/2017/stage-3,2017
45,45,45,+10:51,15,GASTAUER Ben,29,AG2R La Mondiale,,,3:55:38,tour-of-the-alps/2017/stage-3,2017
46,46,42,+9:36,91,ANDREETTA Simone,23,Bardiani - CSF,,,3:55:43,tour-of-the-alps/2017/stage-3,2017
47,47,47,+10:56,74,FRAPPORTI Marco,32,Androni - Sidermec - Bottecchia,,,3:55:43,tour-of-the-alps/2017/stage-3,2017
48,48,43,+10:01,64,LUDVIGSSON Tobias,26,FDJ,,,3:55:43,tour-of-the-alps/2017/stage-3,2017
49,49,46,+10:56,34,FRANKINY Kilian,23,BMC Racing Team,,,3:55:43,tour-of-the-alps/2017/stage-3,2017
50,50,57,+17:16,152,BONGIORNO Francesco Manuel,26,Sangemini - MG.Kvis  ,,,3:55:43,tour-of-the-alps/2017/stage-3,2017
51,51,64,+20:48,155,ORRICO Davide,27,Sangemini - MG.Kvis  ,,,3:55:43,tour-of-the-alps/2017/stage-3,2017
52,52,48,+11:20,36,ROSSKOPF Joey,27,BMC Racing Team,,,3:55:43,tour-of-the-alps/2017/stage-3,2017
53,53,54,+13:57,3,DEIGNAN Philip,33,Team Sky,,,3:55:47,tour-of-the-alps/2017/stage-3,2017
54,54,44,+10:33,167,SCHÖNBERGER Sebastian,22,Tirol Cycling Team,,,3:56:37,tour-of-the-alps/2017/stage-3,2017
55,55,55,+14:07,158,TOTÒ Paolo,26,Sangemini - MG.Kvis  ,,,3:56:44,tour-of-the-alps/2017/stage-3,2017
56,56,81,+30:27,174,GAROSIO Andrea,23,Italy,,,3:56:44,tour-of-the-alps/2017/stage-3,2017
57,57,53,+13:48,154,GAZZARA Michele,26,Sangemini - MG.Kvis  ,,,3:56:44,tour-of-the-alps/2017/stage-3,2017
58,58,66,+22:09,93,PIRAZZI Stefano,30,Bardiani - CSF,,,3:56:46,tour-of-the-alps/2017/stage-3,2017
59,59,59,+19:16,18,BÉRARD Julien,29,AG2R La Mondiale,,,3:56:46,tour-of-the-alps/2017/stage-3,2017
60,60,50,+11:59,175,ZULLO Antonio,23,Italy,,,3:56:46,tour-of-the-alps/2017/stage-3,2017
61,61,58,+18:19,172,AMICI Alberto,23,Italy,,,3:56:46,tour-of-the-alps/2017/stage-3,2017
62,62,60,+19:31,98,ZARDINI Edoardo,27,Bardiani - CSF,,,3:57:01,tour-of-the-alps/2017/stage-3,2017
63,63,65,+21:57,87,HOWARD Leigh,27,Aqua Blue Sport,,,3:57:53,tour-of-the-alps/2017/stage-3,2017
64,64,51,+12:00,2,BOSWELL Ian,26,Team Sky,,,3:57:53,tour-of-the-alps/2017/stage-3,2017
65,65,79,+29:43,28,ZEITS Andrey,30,Astana Pro Team,,,4:01:51,tour-of-the-alps/2017/stage-3,2017
66,66,89,+35:34,124,BISOLTI Alessandro,32,Nippo - Vini Fantini ,,,4:01:51,tour-of-the-alps/2017/stage-3,2017
67,67,61,+20:08,44,HERKLOTZ Silvio,22,BORA - hansgrohe,,,4:01:51,tour-of-the-alps/2017/stage-3,2017
69,69,84,+33:45,71,GAVAZZI Francesco,32,Androni - Sidermec - Bottecchia,,,4:03:42,tour-of-the-alps/2017/stage-3,2017
70,70,78,+29:41,78,BONUSI Raffaello,25,Androni - Sidermec - Bottecchia,,,4:03:42,tour-of-the-alps/2017/stage-3,2017
71,71,90,+38:22,162,FORTIN Filippo,28,Tirol Cycling Team,,,4:03:42,tour-of-the-alps/2017/stage-3,2017
72,72,94,+41:47,171,NOCENTINI Rinaldo,39,Italy,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
73,73,93,+41:47,133,POZZATO Filippo,35,Wilier Triestina - Selle Italia,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
74,74,83,+32:56,141,HOLLER Nikodemus,25, Bike Aid,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
75,75,80,+30:07,178,RAGGIO Luca,22,Italy,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
76,76,68,+22:20,122,BAGIOLI Nicola,22,Nippo - Vini Fantini ,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
77,77,87,+34:59,173,NATALI Matteo,22,Italy,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
78,78,75,+29:37,37,BOHLI Tom,23,BMC Racing Team,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
79,79,85,+34:39,143,KANGANGI Suleiman,28, Bike Aid,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
80,80,86,+34:59,27,TIRALONGO Paolo,39,Astana Pro Team,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
81,81,112,+52:49,147,VAN ENGELEN Adne,24, Bike Aid,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
82,82,67,+22:20,125,FILOSI Iuri,25,Nippo - Vini Fantini ,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
83,83,105,+46:22,164,SALVADOR Enrico,22,Tirol Cycling Team,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
84,84,88,+35:23,163,KRIZEK Matthias,28,Tirol Cycling Team,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
85,85,77,+29:37,165,KUEN Maximilian,24,Tirol Cycling Team,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
86,86,72,+28:59,65,MAISON Jérémy,23,FDJ,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
87,87,76,+29:37,42,BÁRTA Jan,32,BORA - hansgrohe,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
88,88,74,+29:37,107,PRADES Eduard,29,Caja Rural - Seguros RGA,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
89,89,92,+40:50,108,ZABALA Josu,24,Caja Rural - Seguros RGA,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
90,90,95,+41:47,127,ITO Masakazu,28,Nippo - Vini Fantini ,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
91,91,99,+43:37,106,ARROYO David,37,Caja Rural - Seguros RGA,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
92,92,62,+20:21,118,ROVNY Ivan,29,Gazprom-RusVelo,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
93,93,71,+27:42,23,CHERNETSKI Sergei,27,Astana Pro Team,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
94,94,106,+46:22,113,KOZONTCHUK Dmitry,33,Gazprom-RusVelo,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
95,95,104,+46:09,48,SCHILLINGER Andreas,33,BORA - hansgrohe,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
96,96,63,+20:29,104,SCHULTZ Nick,22,Caja Rural - Seguros RGA,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
97,97,82,+30:29,4,KENNAUGH Peter,27,Team Sky,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
98,98,73,+29:33,77,BALLERINI Davide,22,Androni - Sidermec - Bottecchia,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
99,99,69,+25:24,97,STERBINI Simone,23,Bardiani - CSF,,,4:07:07,tour-of-the-alps/2017/stage-3,2017
100,100,96,+41:58,24,BIZHIGITOV Zhandos,25,Astana Pro Team,,,4:07:18,tour-of-the-alps/2017/stage-3,2017
101,101,98,+42:49,96,TONELLI Alessandro,24,Bardiani - CSF,,,4:08:09,tour-of-the-alps/2017/stage-3,2017
102,102,100,+45:12,95,WACKERMANN Luca,25,Bardiani - CSF,,,4:08:13,tour-of-the-alps/2017/stage-3,2017
103,103,107,+47:20,134,ZHUPA Eugert,27,Wilier Triestina - Selle Italia,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
104,104,102,+45:37,126,DE NEGRI Pier Paolo,30,Nippo - Vini Fantini ,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
105,105,117,+56:39,123,BERLATO Giacomo,25,Nippo - Vini Fantini ,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
106,106,101,+45:37,94,VELASCO Simone,21,Bardiani - CSF,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
107,107,124,+1:01:01,156,SALVIETTI Niccolò,23,Sangemini - MG.Kvis  ,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
108,108,116,+56:39,151,BERNARDINI Simone,25,Sangemini - MG.Kvis  ,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
109,109,109,+47:24,161,SCHWARZ Lucas,24,Tirol Cycling Team,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
110,110,111,+50:12,117,BRUTT Pavel,35,Gazprom-RusVelo,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
111,111,97,+42:17,144,KIPKEMBOI Salim,18, Bike Aid,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
112,112,110,+47:57,115,ARSLANOV Ildar,23,Gazprom-RusVelo,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
113,113,108,+47:20,62,BONNET William,34,FDJ,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
114,114,120,+56:39,116,NIKOLAEV Sergey,29,Gazprom-RusVelo,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
115,115,91,+40:45,63,LE BON Johan,26,FDJ,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
116,116,121,+56:39,84,FENN Andrew,26,Aqua Blue Sport,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
117,117,118,+56:39,85,KONING Peter,26,Aqua Blue Sport,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
118,118,119,+56:39,88,IRVINE Martyn,31,Aqua Blue Sport,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
119,119,125,+1:01:01,145,BICHLMANN Daniel,28, Bike Aid,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
120,120,126,+1:01:05,86,WATSON Calvin,24,Aqua Blue Sport,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
121,121,103,+45:37,177,BASSO Leonardo,23,Italy,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
122,122,127,+1:01:06,114,BOEV Igor,27,Gazprom-RusVelo,,,4:10:57,tour-of-the-alps/2017/stage-3,2017
123,123,122,+56:47,38,SCOTSON Miles,23,BMC Racing Team,,,4:11:05,tour-of-the-alps/2017/stage-3,2017
124,124,128,+1:01:14,146,SCHÄFER Timo,34, Bike Aid,,,4:11:05,tour-of-the-alps/2017/stage-3,2017
125,125,129,+1:01:23,142,RUGG Timothy,31, Bike Aid,,,4:11:05,tour-of-the-alps/2017/stage-3,2017
