,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,8,+3:55,0,ATAPUMA Darwin,24,Colombia - Coldeportes,20,30,4:37:03,tour-of-the-alps/2012/stage-4,2012
2,2,4,+1:42,0,BETANCUR Carlos,22,Acqua & Sapone,14,18,4:37:06,tour-of-the-alps/2012/stage-4,2012
3,3,1,+0:00,0,POZZOVIVO Domenico,29,Colnago CSF Bardiani,8,12,4:37:09,tour-of-the-alps/2012/stage-4,2012
4,4,3,+1:04,0,SZMYD Sylwester,34,Liquigas - Cannondale,7,7,4:37:20,tour-of-the-alps/2012/stage-4,2012
5,5,2,+0:40,0,CUNEGO Damiano,30,Lampre - ISD,6,4,4:37:20,tour-of-the-alps/2012/stage-4,2012
6,6,5,+2:07,0,RUJANO José Humberto,30,Androni Giocattoli - Venezuela,5,3,4:37:24,tour-of-the-alps/2012/stage-4,2012
7,7,7,+2:34,0,DUPONT Hubert,31,AG2R La Mondiale,4,2,4:37:33,tour-of-the-alps/2012/stage-4,2012
8,8,24,+8:47,0,SEELDRAEYERS Kevin,25,Astana Pro Team,2,1,4:38:09,tour-of-the-alps/2012/stage-4,2012
9,9,11,+4:27,0,RUBIANO Miguel Angel,27,Androni Giocattoli - Venezuela,,,4:38:23,tour-of-the-alps/2012/stage-4,2012
10,10,16,+6:47,0,ROLLAND Pierre,25,Team Europcar,,,4:38:30,tour-of-the-alps/2012/stage-4,2012
11,11,41,+20:13,0,RODRÍGUEZ Jackson,27,Androni Giocattoli - Venezuela,,,4:38:40,tour-of-the-alps/2012/stage-4,2012
12,12,14,+5:58,0,CAPECCHI Eros,25,Liquigas - Cannondale,,,4:38:43,tour-of-the-alps/2012/stage-4,2012
13,13,6,+2:33,0,KREUZIGER Roman,25,Astana Pro Team,,,4:38:48,tour-of-the-alps/2012/stage-4,2012
14,14,22,+7:59,0,BASSO Ivan,34,Liquigas - Cannondale,,,4:38:57,tour-of-the-alps/2012/stage-4,2012
15,15,19,+7:46,0,GADRET John,32,AG2R La Mondiale,,,4:39:06,tour-of-the-alps/2012/stage-4,2012
16,16,12,+5:03,0,SELLA Emanuele,31,Androni Giocattoli - Venezuela,,,4:39:07,tour-of-the-alps/2012/stage-4,2012
17,17,9,+4:01,0,PINOTTI Marco,36,BMC Racing Team,,,4:39:15,tour-of-the-alps/2012/stage-4,2012
18,18,45,+24:40,0,FELLINE Fabio,22,Androni Giocattoli - Venezuela,,,4:39:20,tour-of-the-alps/2012/stage-4,2012
19,19,17,+7:08,0,DE MAAR Marc,28,UnitedHealthcare Presented by Maxxis,,,4:39:24,tour-of-the-alps/2012/stage-4,2012
20,20,10,+4:05,0,FRANK Mathias,25,BMC Racing Team,,,4:39:28,tour-of-the-alps/2012/stage-4,2012
21,21,20,+7:49,0,OCHOA Carlos José,31,Androni Giocattoli - Venezuela,,,4:39:30,tour-of-the-alps/2012/stage-4,2012
22,22,13,+5:05,0,SERPA José Rodolfo,33,Androni Giocattoli - Venezuela,,,4:39:30,tour-of-the-alps/2012/stage-4,2012
23,23,28,+11:00,0,SARMIENTO Cayetano José,25,Liquigas - Cannondale,,,4:39:30,tour-of-the-alps/2012/stage-4,2012
24,24,21,+7:55,0,GAUTIER Cyril,24,Team Europcar,,,4:39:38,tour-of-the-alps/2012/stage-4,2012
25,25,26,+9:27,0,ROCHE Nicolas,27,AG2R La Mondiale,,,4:39:47,tour-of-the-alps/2012/stage-4,2012
26,26,38,+17:22,0,RODRIGUEZ Michael,22,Colombia - Coldeportes,,,4:39:53,tour-of-the-alps/2012/stage-4,2012
27,27,15,+6:20,0,REDA Francesco,29,Acqua & Sapone,,,4:40:27,tour-of-the-alps/2012/stage-4,2012
28,28,37,+17:17,0,NIEMIEC Przemysław,32,Lampre - ISD,,,4:40:59,tour-of-the-alps/2012/stage-4,2012
29,29,25,+9:09,0,BRAJKOVIČ Janez,28,Astana Pro Team,,,4:41:05,tour-of-the-alps/2012/stage-4,2012
30,30,18,+7:27,0,BISOLTI Alessandro,27,Team Idea,,,4:41:15,tour-of-the-alps/2012/stage-4,2012
31,31,48,+27:11,0,OSPINA Dalivier,26,Colombia - Coldeportes,,,4:41:38,tour-of-the-alps/2012/stage-4,2012
32,32,30,+11:06,0,TIRALONGO Paolo,34,Astana Pro Team,,,4:41:41,tour-of-the-alps/2012/stage-4,2012
33,33,42,+20:33,0,DI LUCA Danilo,36,Acqua & Sapone,,,4:41:50,tour-of-the-alps/2012/stage-4,2012
34,34,52,+30:50,0,MCCARTNEY Jason,38,UnitedHealthcare Presented by Maxxis,,,4:41:58,tour-of-the-alps/2012/stage-4,2012
35,35,32,+14:01,0,SALERNO Cristiano,27,Liquigas - Cannondale,,,4:42:07,tour-of-the-alps/2012/stage-4,2012
36,36,29,+11:00,0,MARZANO Marco,31,Lampre - ISD,,,4:42:31,tour-of-the-alps/2012/stage-4,2012
37,37,27,+10:40,0,PIRAZZI Stefano,25,Colnago CSF Bardiani,,,4:42:36,tour-of-the-alps/2012/stage-4,2012
38,38,35,+16:20,0,RABOTTINI Matteo,24,Farnese Vini-Neri-Sottoli,,,4:43:10,tour-of-the-alps/2012/stage-4,2012
39,39,43,+22:05,0,SANTAROMITA Ivan,27,BMC Racing Team,,,4:43:18,tour-of-the-alps/2012/stage-4,2012
40,40,40,+19:15,0,HOLLENSTEIN Reto,26,Team Netapp,,,4:43:53,tour-of-the-alps/2012/stage-4,2012
41,41,51,+30:48,0,CODOL Massimo,39,Acqua & Sapone,,,4:43:53,tour-of-the-alps/2012/stage-4,2012
42,42,36,+16:39,0,MIHOLJEVIĆ Vladimir,38,Acqua & Sapone,,,4:43:53,tour-of-the-alps/2012/stage-4,2012
43,43,39,+17:54,0,VANDBORG Brian Bach,30,Spidertech Powered by C10,,,4:43:55,tour-of-the-alps/2012/stage-4,2012
44,44,23,+8:39,0,HUZARSKI Bartosz,31,Team Netapp,,,4:43:56,tour-of-the-alps/2012/stage-4,2012
45,45,31,+13:41,0,KANGERT Tanel,25,Astana Pro Team,,,4:44:08,tour-of-the-alps/2012/stage-4,2012
46,46,87,+46:25,0,LEWIS Craig,27,Champion System Pro Cycling Team,,,4:44:13,tour-of-the-alps/2012/stage-4,2012
47,47,34,+16:19,0,BUTLER Chris,24,Champion System Pro Cycling Team,,,4:44:13,tour-of-the-alps/2012/stage-4,2012
48,48,33,+15:55,0,AGNOLI Valerio,27,Liquigas - Cannondale,,,4:44:48,tour-of-the-alps/2012/stage-4,2012
49,49,54,+31:37,0,BÉRARD Julien,24,AG2R La Mondiale,,,4:44:57,tour-of-the-alps/2012/stage-4,2012
50,50,67,+36:48,0,BOIFAVA Simone,26,Team Idea,,,4:46:46,tour-of-the-alps/2012/stage-4,2012
