,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,8,+1:36,116,O'CONNOR Ben,22,Team Dimension Data,20,30,3:30:05,tour-of-the-alps/2018/stage-3,2018
2,2,1,+0:00,141,PINOT Thibaut,27,Groupama - FDJ,10,18,3:30:10,tour-of-the-alps/2018/stage-3,2018
3,3,2,+0:15,155,POZZOVIVO Domenico,35,Bahrain Merida Pro Cycling Team,5,12,3:30:10,tour-of-the-alps/2018/stage-3,2018
4,4,6,+1:21,132,BENNETT George,28,Team LottoNL-Jumbo,,7,3:30:10,tour-of-the-alps/2018/stage-3,2018
5,5,7,+1:27,74,SÁNCHEZ Luis León,34,Astana Pro Team,,4,3:30:10,tour-of-the-alps/2018/stage-3,2018
6,6,4,+0:16,1,FROOME Chris,32,Team Sky,,3,3:30:10,tour-of-the-alps/2018/stage-3,2018
7,7,5,+0:50,31,ARU Fabio,27,UAE-Team Emirates,,2,3:30:10,tour-of-the-alps/2018/stage-3,2018
8,8,32,+8:43,166,SENNI Manuel,26,Bardiani - CSF,,1,3:30:10,tour-of-the-alps/2018/stage-3,2018
9,9,14,+2:40,12,GENIEZ Alexandre,30,AG2R La Mondiale,,,3:30:10,tour-of-the-alps/2018/stage-3,2018
10,10,11,+1:58,176,SCHLEGEL Michal,22,CCC Sprandi Polkowice ,,,3:30:10,tour-of-the-alps/2018/stage-3,2018
11,11,3,+0:15,71,LÓPEZ Miguel Ángel,24,Astana Pro Team,,,3:30:19,tour-of-the-alps/2018/stage-3,2018
12,12,16,+2:46,61,ZOIDL Riccardo,30,Team Felbermayr - Simplon Wels ,,,3:31:02,tour-of-the-alps/2018/stage-3,2018
13,13,38,+14:13,156,VISCONTI Giovanni,35,Bahrain Merida Pro Cycling Team,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
14,14,17,+2:54,153,PADUN Mark,21,Bahrain Merida Pro Cycling Team,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
15,15,35,+12:07,131,BATTAGLIN Enrico,28,Team LottoNL-Jumbo,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
16,16,25,+5:21,21,CUNEGO Damiano,36,Nippo - Vini Fantini - Europa Ovini,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
17,17,18,+3:31,133,BOUWMAN Koen,24,Team LottoNL-Jumbo,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
18,18,29,+7:23,14,DUPONT Hubert,37,AG2R La Mondiale,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
19,19,22,+4:17,76,VILLELLA Davide,26,Astana Pro Team,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
20,20,9,+1:45,163,CICCONE Giulio,23,Bardiani - CSF,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
21,21,15,+2:42,77,ZEITS Andrey,31,Astana Pro Team,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
22,22,31,+7:52,113,KUDUS Merhawi,24,Team Dimension Data,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
23,23,12,+2:02,193,HERMANS Ben,31,Israel Cycling Academy,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
24,24,36,+13:50,34,LAENGEN Vegard Stake,29,UAE-Team Emirates,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
25,25,20,+4:00,125,MASNADA Fausto,24,Androni Giocattoli - Sidermec,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
26,26,27,+5:36,82,BIZKARRA Mikel,28,Euskadi - Murias,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
27,27,28,+7:00,146,REICHENBACH Sébastien,28,Groupama - FDJ,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
28,28,19,+3:57,37,RAVASI Edward,23,UAE-Team Emirates,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
29,29,26,+5:33,25,SANTAROMITA Ivan,33,Nippo - Vini Fantini - Europa Ovini,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
30,30,24,+4:34,41,CONCI Nicola,21,Italy,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
31,31,13,+2:36,72,BILBAO Pello,28,Astana Pro Team,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
32,32,23,+4:30,114,MEINTJES Louis,26,Team Dimension Data,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
33,33,10,+1:55,73,HIRT Jan,27,Astana Pro Team,,,3:31:29,tour-of-the-alps/2018/stage-3,2018
34,34,30,+7:33,162,CARBONI Giovanni,22,Bardiani - CSF,,,3:31:45,tour-of-the-alps/2018/stage-3,2018
35,35,37,+13:58,187,VLASOV Aleksandr,21,Gazprom-RusVelo,,,3:31:45,tour-of-the-alps/2018/stage-3,2018
36,36,44,+20:26,75,STALNOV Nikita,26,Astana Pro Team,,,3:32:25,tour-of-the-alps/2018/stage-3,2018
38,38,21,+4:04,126,SOSA Iván Ramiro,20,Androni Giocattoli - Sidermec,,,3:34:14,tour-of-the-alps/2018/stage-3,2018
39,39,34,+10:20,3,ELISSONDE Kenny,26,Team Sky,,,3:38:05,tour-of-the-alps/2018/stage-3,2018
40,40,70,+29:49,52,FLÓREZ Miguel Eduardo,22,Wilier Triestina - Selle Italia,,,3:41:23,tour-of-the-alps/2018/stage-3,2018
41,41,49,+21:09,55,TURRIN Alex,25,Wilier Triestina - Selle Italia,,,3:41:23,tour-of-the-alps/2018/stage-3,2018
42,42,64,+27:13,66,RABITSCH Stephan,26,Team Felbermayr - Simplon Wels ,,,3:41:23,tour-of-the-alps/2018/stage-3,2018
43,43,39,+17:11,4,DE LA CRUZ David,28,Team Sky,,,3:41:23,tour-of-the-alps/2018/stage-3,2018
44,44,51,+22:53,22,BOU Joan,21,Nippo - Vini Fantini - Europa Ovini,,,3:42:02,tour-of-the-alps/2018/stage-3,2018
45,45,63,+26:45,17,JAUREGUI Quentin,23,AG2R La Mondiale,,,3:42:02,tour-of-the-alps/2018/stage-3,2018
46,46,66,+28:54,81,TXOPERENA Beñat,26,Euskadi - Murias,,,3:42:02,tour-of-the-alps/2018/stage-3,2018
47,47,76,+33:00,62,EIBEGGER Markus,33,Team Felbermayr - Simplon Wels ,,,3:42:02,tour-of-the-alps/2018/stage-3,2018
48,48,89,+36:49,43,MONACO Alessandro,20,Italy,,,3:42:02,tour-of-the-alps/2018/stage-3,2018
49,49,47,+20:49,161,ANDREETTA Simone,24,Bardiani - CSF,,,3:42:02,tour-of-the-alps/2018/stage-3,2018
50,50,40,+17:16,122,BISOLTI Alessandro,33,Androni Giocattoli - Sidermec,,,3:42:02,tour-of-the-alps/2018/stage-3,2018
