,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,1,+0:00,72,BILBAO Pello,28,Astana Pro Team,20,30,3:26:41,tour-of-the-alps/2018/stage-1,2018
2,2,2,+0:10,74,SÁNCHEZ Luis León,34,Astana Pro Team,10,18,3:26:47,tour-of-the-alps/2018/stage-1,2018
3,3,3,+0:12,126,SOSA Iván Ramiro,20,Androni Giocattoli - Sidermec,5,12,3:26:47,tour-of-the-alps/2018/stage-1,2018
4,4,4,+0:20,141,PINOT Thibaut,27,Groupama - FDJ,,7,3:26:51,tour-of-the-alps/2018/stage-1,2018
5,5,5,+0:20,1,FROOME Chris,32,Team Sky,,4,3:26:51,tour-of-the-alps/2018/stage-1,2018
6,6,6,+0:20,155,POZZOVIVO Domenico,35,Bahrain Merida Pro Cycling Team,,3,3:26:51,tour-of-the-alps/2018/stage-1,2018
7,7,7,+0:20,132,BENNETT George,28,Team LottoNL-Jumbo,,2,3:26:51,tour-of-the-alps/2018/stage-1,2018
8,8,8,+0:20,163,CICCONE Giulio,23,Bardiani - CSF,,1,3:26:51,tour-of-the-alps/2018/stage-1,2018
9,9,9,+0:20,193,HERMANS Ben,31,Israel Cycling Academy,,,3:26:51,tour-of-the-alps/2018/stage-1,2018
10,10,10,+0:24,31,ARU Fabio,27,UAE-Team Emirates,,,3:26:55,tour-of-the-alps/2018/stage-1,2018
11,11,11,+0:24,125,MASNADA Fausto,24,Androni Giocattoli - Sidermec,,,3:26:55,tour-of-the-alps/2018/stage-1,2018
12,12,12,+0:24,153,PADUN Mark,21,Bahrain Merida Pro Cycling Team,,,3:26:55,tour-of-the-alps/2018/stage-1,2018
13,13,13,+0:24,73,HIRT Jan,27,Astana Pro Team,,,3:26:55,tour-of-the-alps/2018/stage-1,2018
14,14,14,+0:24,71,LÓPEZ Miguel Ángel,24,Astana Pro Team,,,3:26:55,tour-of-the-alps/2018/stage-1,2018
15,15,15,+0:28,77,ZEITS Andrey,31,Astana Pro Team,,,3:26:59,tour-of-the-alps/2018/stage-1,2018
16,16,16,+1:14,37,RAVASI Edward,23,UAE-Team Emirates,,,3:27:45,tour-of-the-alps/2018/stage-1,2018
17,17,17,+1:14,41,CONCI Nicola,21,Italy,,,3:27:45,tour-of-the-alps/2018/stage-1,2018
18,18,18,+1:17,146,REICHENBACH Sébastien,28,Groupama - FDJ,,,3:27:48,tour-of-the-alps/2018/stage-1,2018
19,19,19,+1:17,36,PETILLI Simone,24,UAE-Team Emirates,,,3:27:48,tour-of-the-alps/2018/stage-1,2018
20,20,20,+1:17,76,VILLELLA Davide,26,Astana Pro Team,,,3:27:48,tour-of-the-alps/2018/stage-1,2018
