,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,2,+0:08,25,KANGERT Tanel,29,Astana Pro Team,20,30,5:05:27,tour-of-the-alps/2016/stage-3,2016
2,2,6,+0:20,94,KONRAD Patrick,24,Bora - Argon 18,10,18,5:05:37,tour-of-the-alps/2016/stage-3,2016
3,3,5,+0:20,11,BARDET Romain,25,AG2R La Mondiale,5,12,5:05:37,tour-of-the-alps/2016/stage-3,2016
4,4,3,+0:10,24,FUGLSANG Jakob,31,Astana Pro Team,,7,5:05:37,tour-of-the-alps/2016/stage-3,2016
5,5,4,+0:15,62,FIRSANOV Sergey,33,Gazprom-RusVelo,,4,5:05:37,tour-of-the-alps/2016/stage-3,2016
6,6,1,+0:00,1,LANDA Mikel,26,Team Sky,,3,5:05:37,tour-of-the-alps/2016/stage-3,2016
7,7,8,+0:26,92,BUCHMANN Emanuel,23,Bora - Argon 18,,2,5:05:37,tour-of-the-alps/2016/stage-3,2016
8,8,9,+0:38,17,PERAUD Jean-Christophe,38,AG2R La Mondiale,,1,5:05:37,tour-of-the-alps/2016/stage-3,2016
9,9,13,+1:31,42,BERNAL Egan,19,Androni Giocattoli - Sidermec,,,5:05:37,tour-of-the-alps/2016/stage-3,2016
10,10,7,+0:24,18,POZZOVIVO Domenico,33,AG2R La Mondiale,,,5:05:37,tour-of-the-alps/2016/stage-3,2016
11,11,12,+1:13,82,BUSATO Matteo,28,Wilier - Southeast,,,5:05:47,tour-of-the-alps/2016/stage-3,2016
12,12,10,+0:52,14,DUPONT Hubert,35,AG2R La Mondiale,,,5:05:47,tour-of-the-alps/2016/stage-3,2016
13,13,19,+2:31,31,FINETTO Mauro,30,Italy,,,5:06:19,tour-of-the-alps/2016/stage-3,2016
14,14,14,+1:50,153,GAZZARA Michele,25,Norda-MG.Kvis Vega,,,5:06:19,tour-of-the-alps/2016/stage-3,2016
15,15,18,+2:15,128,PINTO Edgar,30,Skydive Dubai Pro Cycling Team - Al Ahli Club,,,5:06:19,tour-of-the-alps/2016/stage-3,2016
16,16,20,+2:37,172,CELANO Danilo,26,Amore & Vita - Selle SMP,,,5:06:19,tour-of-the-alps/2016/stage-3,2016
17,17,15,+1:55,53,PIRAZZI Stefano,29,Bardiani - CSF,,,5:06:19,tour-of-the-alps/2016/stage-3,2016
18,18,11,+1:04,28,SCARPONI Michele,36,Astana Pro Team,,,5:06:19,tour-of-the-alps/2016/stage-3,2016
19,19,16,+2:00,103,PARDILLA Sergio,32,Caja Rural - Seguros RGA,,,5:06:19,tour-of-the-alps/2016/stage-3,2016
20,20,17,+2:03,48,TORRES Rodolfo Andrés,29,Androni Giocattoli - Sidermec,,,5:06:19,tour-of-the-alps/2016/stage-3,2016
21,21,29,+4:01,107,FERRARI Fabricio,30,Caja Rural - Seguros RGA,,,5:07:45,tour-of-the-alps/2016/stage-3,2016
22,22,31,+4:06,101,PRADES Eduard,28,Caja Rural - Seguros RGA,,,5:07:54,tour-of-the-alps/2016/stage-3,2016
23,23,30,+4:03,161,FANKHAUSER Clemens,30,Tirol Cycling Team,,,5:07:54,tour-of-the-alps/2016/stage-3,2016
24,24,23,+3:01,52,CICCONE Giulio,21,Bardiani - CSF,,,5:07:54,tour-of-the-alps/2016/stage-3,2016
25,25,26,+3:43,81,AMEZQUETA Julen,22,Wilier - Southeast,,,5:07:54,tour-of-the-alps/2016/stage-3,2016
26,26,27,+3:44,55,CHIRICO Luca,23,Bardiani - CSF,,,5:07:54,tour-of-the-alps/2016/stage-3,2016
27,27,28,+4:00,114,MANNION Gavin,24,Drapac Professional Cycling,,,5:07:54,tour-of-the-alps/2016/stage-3,2016
28,28,33,+5:16,87,RODRÍGUEZ Cristián,21,Wilier - Southeast,,,5:07:54,tour-of-the-alps/2016/stage-3,2016
29,29,24,+3:34,86,MARTÍNEZ Daniel Felipe,19,Wilier - Southeast,,,5:07:54,tour-of-the-alps/2016/stage-3,2016
30,30,25,+3:37,67,ARSLANOV Ildar,22,Gazprom-RusVelo,,,5:07:54,tour-of-the-alps/2016/stage-3,2016
31,31,32,+4:22,22,AGNOLI Valerio,31,Astana Pro Team,,,5:07:54,tour-of-the-alps/2016/stage-3,2016
32,32,21,+2:45,21,NIBALI Vincenzo,31,Astana Pro Team,,,5:07:54,tour-of-the-alps/2016/stage-3,2016
33,33,38,+7:01,66,FOLIFOROV Alexander,24,Gazprom-RusVelo,,,5:07:54,tour-of-the-alps/2016/stage-3,2016
34,34,34,+5:23,27,MALACARNE Davide,28,Astana Pro Team,,,5:07:54,tour-of-the-alps/2016/stage-3,2016
35,35,22,+2:55,4,BOSWELL Ian,25,Team Sky,,,5:07:54,tour-of-the-alps/2016/stage-3,2016
