,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,10,+1:35,95,MASNADA Fausto,25,Androni Giocattoli - Sidermec,20,30,2:58:08,tour-of-the-alps/2019/stage-3,2019
2,2,5,+0:37,53,GEOGHEGAN HART Tao,24,Team Sky,10,18,2:58:13,tour-of-the-alps/2019/stage-3,2019
3,3,4,+0:35,13,MAJKA Rafał,29,BORA - hansgrohe,5,12,2:58:13,tour-of-the-alps/2019/stage-3,2019
4,4,6,+0:39,1,NIBALI Vincenzo,34,Bahrain Merida,,7,2:58:13,tour-of-the-alps/2019/stage-3,2019
5,5,19,+2:58,23,CATALDO Dario,34,Astana Pro Team,,4,2:58:13,tour-of-the-alps/2019/stage-3,2019
6,6,9,+1:24,41,VLASOV Aleksandr,23,Gazprom-RusVelo,,3,2:58:13,tour-of-the-alps/2019/stage-3,2019
7,7,1,+0:00,55,SIVAKOV Pavel,21,Team Sky,,2,2:58:13,tour-of-the-alps/2019/stage-3,2019
8,8,2,+0:08,24,HIRT Jan,28,Astana Pro Team,,1,2:58:13,tour-of-the-alps/2019/stage-3,2019
9,9,8,+1:08,142,THALMANN Roland,25,Team Vorarlberg Santic,,,2:58:13,tour-of-the-alps/2019/stage-3,2019
10,10,3,+0:23,93,CATTANEO Mattia,28,Androni Giocattoli - Sidermec,,,2:58:13,tour-of-the-alps/2019/stage-3,2019
11,11,11,+1:47,112,CARBONI Giovanni,23,Bardiani - CSF,,,2:58:13,tour-of-the-alps/2019/stage-3,2019
12,12,12,+1:54,52,FROOME Chris,33,Team Sky,,,2:58:23,tour-of-the-alps/2019/stage-3,2019
13,13,24,+5:16,81,REYES Aldemar,24,Manzana Postobon,,,2:58:35,tour-of-the-alps/2019/stage-3,2019
14,14,17,+2:43,27,ZEITS Andrey,32,Astana Pro Team,,,2:58:35,tour-of-the-alps/2019/stage-3,2019
15,15,29,+6:40,121,BIZKARRA Mikel,29,Euskadi Basque Country - Murias,,,2:58:35,tour-of-the-alps/2019/stage-3,2019
