,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,2,+0:58,101,BILBAO Pello,31,Bahrain - Victorious,20,30,4:39:42,tour-of-the-alps/2021/stage-4,2021
2,2,3,+1:06,31,VLASOV Aleksandr,24,Astana - Premier Tech,10,18,4:39:42,tour-of-the-alps/2021/stage-4,2021
3,3,1,+0:00,51,YATES Simon,28,Team BikeExchange,5,12,4:39:42,tour-of-the-alps/2021/stage-4,2021
4,4,7,+2:54,151,QUINTANA Nairo,31,Team Arkéa Samsic,,7,4:40:40,tour-of-the-alps/2021/stage-4,2021
5,5,4,+2:18,132,CEPEDA Jefferson Alexander,22,Androni Giocattoli - Sidermec,,4,4:40:48,tour-of-the-alps/2021/stage-4,2021
6,6,6,+2:37,62,CARTHY Hugh,26,EF Education - Nippo,,3,4:40:48,tour-of-the-alps/2021/stage-4,2021
7,7,8,+3:12,63,GUERREIRO Ruben,26,EF Education - Nippo,,2,4:40:58,tour-of-the-alps/2021/stage-4,2021
8,8,9,+3:12,121,BARDET Romain,30,Team DSM,,1,4:40:58,tour-of-the-alps/2021/stage-4,2021
9,9,16,+4:19,21,BRAMBILLA Gianluca,33,Trek - Segafredo,,,4:40:58,tour-of-the-alps/2021/stage-4,2021
10,10,13,+3:59,41,FABBRO Matteo,26,BORA - hansgrohe,,,4:41:04,tour-of-the-alps/2021/stage-4,2021
11,11,17,+4:25,182,OSORIO Alejandro,22,Caja Rural - Seguros RGA,,,4:41:04,tour-of-the-alps/2021/stage-4,2021
12,12,18,+5:01,85,POZZOVIVO Domenico,38,Team Qhubeka ASSOS,,,4:41:18,tour-of-the-alps/2021/stage-4,2021
13,13,10,+3:36,57,SCHULTZ Nick,26,Team BikeExchange,,,4:41:22,tour-of-the-alps/2021/stage-4,2021
14,14,12,+3:53,112,BOUCHARD Geoffrey,29,AG2R Citroën Team,,,4:41:22,tour-of-the-alps/2021/stage-4,2021
15,15,5,+2:37,1,SIVAKOV Pavel,23,INEOS Grenadiers,,,4:41:30,tour-of-the-alps/2021/stage-4,2021
16,16,15,+4:14,3,MARTÍNEZ Daniel Felipe,24,INEOS Grenadiers,,,4:41:34,tour-of-the-alps/2021/stage-4,2021
17,17,20,+5:56,201,LIPOWITZ Florian,20,Tirol KTM Cycling Team,,,4:41:48,tour-of-the-alps/2021/stage-4,2021
18,18,11,+3:50,123,HINDLEY Jai,24,Team DSM,,,4:42:01,tour-of-the-alps/2021/stage-4,2021
19,19,27,+7:08,171,RAVASI Edward,26,EOLO-Kometa,,,4:42:17,tour-of-the-alps/2021/stage-4,2021
20,20,31,+8:20,71,ARDILA Andrés Camilo,21,UAE-Team Emirates,,,4:42:30,tour-of-the-alps/2021/stage-4,2021
21,21,32,+9:08,47,ZWIEHOFF Ben,27,BORA - hansgrohe,,,4:42:35,tour-of-the-alps/2021/stage-4,2021
22,22,19,+5:42,104,PERNSTEINER Hermann,30,Bahrain - Victorious,,,4:42:35,tour-of-the-alps/2021/stage-4,2021
23,23,14,+4:01,96,MARTIN Dan,34,Israel Start-Up Nation,,,4:42:35,tour-of-the-alps/2021/stage-4,2021
24,24,21,+6:20,73,DOMBROWSKI Joe,29,UAE-Team Emirates,,,4:42:37,tour-of-the-alps/2021/stage-4,2021
